sch:kfdantavattvaboDinI,11178:kfdantavattvaboDinI:n:kfd
acc:kfdvftti,4559:kfdvftti:n:kfd
acc:kfzRarAjasArvaBOmAzwottaratriSatI,4784:kfzRarAjasArvaBOmAzwottaratriSatI:n:wot,zwo
acc:kfzRarAjasArvaBOmAzwottaraSata,4785:kfzRarAjasArvaBOmAzwottaraSata:n:wot,zwo
pui:kfzRANgamaRipurIjakas,3546:kfzRANgamaRipurIjakas:n:rIj
acc:kokilAvratakaTApUjAviDi,5083:kokilAvratakaTApUjAviDi:n:jAv
pui:kratuputras,3763:kratuputras:n:tup
bur:krIl,5260:krIl:n:rIl
acc:krIlikopanizad,5272:krIlikopanizad:n:rIl
mw:kroqA,58422:kroqA:n:oqA
mw:kzamAliNgAtmapIqAvat,59087:kzamAliNgAtmapIqAvat:n:qAv
skd:kzIrapAyI,9575:kzIrapAyI:n:AyI
acc:kzIriRIvanamAhAtmya,5305:kzIriRIvanamAhAtmya:n:RIv
acc:kzetreSapUjana,5321:kzetreSapUjana:n:reS
ap90:kzotriya,11973:kzotriya:n:zot
cae:KagaDipa,9007:KagaDipa:n:Kag
bhs:KagAnanA,5416:KagAnanA:n:Kag
pwg:KagAlikA,20770:KagAlikA:n:Kag
sch:Kaqatkfti,11795:Kaqatkfti:n:qat
mw:KaRqaSoBU,61140.3:KaRqaSoBU:n:oBU
vcp:KasAtsaja,16524:KasAtsaja:n:Kas
pw:KasAlmaja,33671:KasAlmaja:n:Kas
mw:KAdatAcamatA,61800:KAdatAcamatA:n:tAc
pw:KAdatAcAmatA,33739:KAdatAcAmatA:n:tAc
mw:KArdaBImuKa,61876:KArdaBImuKa:n:Imu
acc:gaReSatApinyupanizad,5696:gaReSatApinyupanizad:n:ReS
acc:gaReSanAmadvAdaSastotra,5705:gaReSanAmadvAdaSastotra:n:ReS
acc:gaReSanAmAzwaSataka,5706:gaReSanAmAzwaSataka:n:ReS,waS
acc:gaReSapaYjarastotra,5709:gaReSapaYjarastotra:n:ReS
acc:gaReSabrahmaviveka,5714:gaReSabrahmaviveka:n:ReS
acc:gaReSayantrapUjA,5718:gaReSayantrapUjA:n:ReS
acc:gaReSalokavarRanAdi,5720:gaReSalokavarRanAdi:n:ReS
acc:gaReSasahasranAmavyAKyA,5723:gaReSasahasranAmavyAKyA:n:ReS
acc:gaReSANkanivAsinIprakaraRa,5729:gaReSANkanivAsinIprakaraRa:n:ReS
acc:gaReSArcanacandrikA,5732:gaReSArcanacandrikA:n:ReS
acc:gaReSArcanadIpikA,5733:gaReSArcanadIpikA:n:ReS
acc:gaReSAvatAravarRana,5735:gaReSAvatAravarRana:n:ReS
pgn:gaReSvaravitAlapuzkariRI,444:gaReSvaravitAlapuzkariRI:n:ReS
acc:gaRqAntAdidozavicAra,5751:gaRqAntAdidozavicAra:n:ido
ccs:gatiBaqga,5995:gatiBaqga:n:Baq
mw:gadAgrapARi,62901:gadAgrapARi:n:dAg
wil:ganDapiSAtrikA,13177:ganDapiSAtrikA:n:Dap
bhs:gamBIreSvara,5672:gamBIreSvara:n:reS,Ire
ieg:garjanakADirAja,1925:garjanakADirAja:n:kAD
bur:gAdayAmi,5821:gAdayAmi:n:gAd
mw:gAdAyana,64755:gAdAyana:n:gAd
acc:gAyatrISatamazwottaraSatanAman,32597:gAyatrISatamazwottaraSatanAman:n:wot,rIS,zwo
acc:gAyatryazwottara,5932:gAyatryazwottara:n:wot,zwo
acc:gAyatryazwottaraSatadivyanAmAmftastotra,5933:gAyatryazwottaraSatadivyanAmAmftastotra:n:wot,zwo
