pui:akArAdikzakArAntavarRamUrti,11:akArAdikzakArAntavarRamUrti:n:rti
acc:nayanAmayavarti,44231:nayanAmayavarti:n:rti
sch:nAkivaDU,16528:nAkivaDU:n:kiv
pui:nAgeyas,7026:nAgeyas:n:Age
mw:nAgeSvarI,105198:nAgeSvarI:n:Age
pui:nAqAyanIya,7032:nAqAyanIya:n:AqA
ccs:niHsIsan,12654:niHsIsan:n:HsI
bur:niHstvana,10221:niHstvana:n:Hst
mw:nityartu,108394:nityartu:n:rtu
ieg:niDinikzepAputrakaDanadaRqopajAtakasahita,6950:niDinikzepAputrakaDanadaRqopajAtakasahita:n:qop
bhs:nindiya,8264:nindiya:n:diy
acc:nimbAdityavratasidDAntajyotsnA,44408:nimbAdityavratasidDAntajyotsnA:n:bAd
acc:nimbArkakulakIrtiprakASikA,44411:nimbArkakulakIrtiprakASikA:n:rti
pwg:nirgOrva,39396:nirgOrva:n:rgO
bur:nirvarte,10024:nirvarte:n:rte
gra:nfjIt,5064:nfjIt:n:jIt
mw:nEkadravyoccayavat,102701:nEkadravyoccayavat:n:yoc
pw:nEkinI,61178:nEkinI:n:Eki
acc:nyAyAmAlAvEyAsikI,34255:nyAyAmAlAvEyAsikI:n:AvE
vcp:paYcasidDIzaDika,30173:paYcasidDIzaDika:n:DIz
ieg:pabAsaRa,3889:pabAsaRa:n:bAs
bhs:parApfzWIkaraRa,8931:parApfzWIkaraRa:n:WIk
mw:pariniHstan,117812:pariniHstan:n:Hst
bur:parivarte,10685:parivarte:n:rte
mw:parihRuta,119202:parihRuta:n:hRu
bur:paryavarte,10842:paryavarte:n:rte
mw:paryUrRu,119912:paryUrRu:n:ryU
pw:paryetave,64851:paryetave:n:rye
bhs:paScAcCirASayana,9329:paScAcCirASayana:n:Cir
vcp:pAritIzika,31842:pAritIzika:n:tIz
sch:pArihIRika,18397:pArihIRika:n:IRi
bhs:piRqopaDAna,9522:piRqopaDAna:n:qop
gra:puraHstAtf,5534:puraHstAtf:n:Hst
vcp:pUrvottarA,33065:pUrvottarA:n:rvo
mw:pUrvottare,128240:pUrvottare:n:rvo
bur:pratinivarte,11604:pratinivarte:n:rte
bur:pratimode,11643:pratimode:n:ode
bur:prativarte,11664:prativarte:n:rte
bur:pratIzizAmi,11745:pratIzizAmi:n:tIz
acc:praTamacakravartilakzaRakroqa,14117:praTamacakravartilakzaRakroqa:n:rti
acc:praTamacakravartilakzaRavivecana,14119:praTamacakravartilakzaRavivecana:n:rti
mw:prapannArtihara,135135:prapannArtihara:n:rti
ap90:praBrAMSeta,20509:praBrAMSeta:n:Set
bur:pravarte,12008:pravarte:n:rte
acc:praSnAdarSa,34846:praSnAdarSa:n:SnA
acc:praSnAmfta,34847:praSnAmfta:n:SnA
acc:praSnArka,34848:praSnArka:n:SnA
inm:prAtIpIya,8625:prAtIpIya:n:IpI
yat:prATya,26576:prATya:n:ATy
mw:prAptartu,140069:prAptartu:n:rtu
ieg:prAyopaveSADikfta,4613:prAyopaveSADikfta:n:SAD
sch:prAvartima,19800:prAvartima:n:rti
bhs:prItisOmanasyajAta,10759:prItisOmanasyajAta:n:isO
mw:plok,141579.1:plok:n:plo
bhs:plozwa,10790:plozwa:n:plo
sch:plozwar,19905:plozwar:n:plo
vcp:Paguna,35029:Paguna:n:Pag
vcp:bahuballI,35418:bahuballI:n:hub
bhs:bahubudDasUtra,10901:bahubudDasUtra:n:hub
pui:bAdIya,8993:bAdIya:n:bAd
mw72:bADyogAyaRa,34589:bADyogAyaRa:n:Dyo
bur:buboDizAmi,12563:buboDizAmi:n:bub
mw:bfhacCiras,146071.1:bfhacCiras:n:Cir
inm:brahmapraSnAnuSAsana,1774:brahmapraSnAnuSAsana:n:SnA
bhs:BagnapfzWIkaroti,11111:BagnapfzWIkaroti:n:WIk
mw:BARqopapurARa,149821:BARqopapurARa:n:qop
mw:BAvEkarasa,150339:BAvEkarasa:n:AvE
acc:BAvEraNkaritapadyawIkA,35278:BAvEraNkaritapadyawIkA:n:AvE
vcp:BUnimbAdya,36805:BUnimbAdya:n:bAd
pw:maTitos,82085:maTitos:n:tos
mw72:maDuzWIka,36305:maDuzWIka:n:WIk
bur:mandoBUta,13037:mandoBUta:n:doB
mci:martikAvata,2458:martikAvata:n:rti
pui:malavartikas,10274:malavartikas:n:rti
acc:mahajjYAnapraSnAvalI,35530:mahajjYAnapraSnAvalI:n:SnA
ieg:mahAmeruSrIkIrtistamBa,3168:mahAmeruSrIkIrtistamBa:n:rti
bhs:mahAvEstAra,11868:mahAvEstAra:n:AvE
acc:mahimnaHstava,17370:mahimnaHstava:n:Hst
acc:mahimnaHstotra,35637:mahimnaHstotra:n:Hst
acc:mahimnaHstotraMrAmasya,17372:mahimnaHstotraMrAmasya:n:Hst
mw:mAyAvAdaKaRqavivaraRa,163147.3:mAyAvAdaKaRqavivaraRa:n:daK
acc:mukundaBawwagAqagila,17895:mukundaBawwagAqagila:n:gAq
acc:muhUrtakalpadrumIyasaMkrAntisaMjYakusuma,18048:muhUrtakalpadrumIyasaMkrAntisaMjYakusuma:n:umI
mw:muhUrtakalpadrumIyasaMkrAntisaMjYAkusuma,166070.1:muhUrtakalpadrumIyasaMkrAntisaMjYAkusuma:n:umI
mw:mUlamATurIya,166420:mUlamATurIya:n:ATu
pui:mfgazIrza,10952:mfgazIrza:n:azI
mw:meGAvatata,167707:meGAvatata:n:GAv
pui:mOhUrtikI,11115:mOhUrtikI:n:rti
inm:yakzarakzoDipa,12546:yakzarakzoDipa:n:zoD
ccs:yaddftta,19618:yaddftta:n:ddf
sch:yAgeSvara,22200:yAgeSvara:n:Age
bur:yuyUzAmi,13858:yuyUzAmi:n:uyU
pw:yotos,91493:yotos:n:tos
pwg:rajaqadvAsa,83007:rajaqadvAsa:n:jaq
mw:rantos,175085:rantos:n:tos
pui:ravimUrtis,11511:ravimUrtis:n:rti
acc:rAmanArAyaRaBawwAcAryacakravartin,20123:rAmanArAyaRaBawwAcAryacakravartin:n:rti
acc:rAvarAjavinayasiMhakIrtiraTa,40967:rAvarAjavinayasiMhakIrtiraTa:n:rti
ieg:rintakAvaqqi,4914:rintakAvaqqi:n:qqi
bur:rirye,14140:rirye:n:rye
pw:reBAy,94830:reBAy:n:eBA
acc:lakzavartidIpaprayoga,36555:lakzavartidIpaprayoga:n:rti
acc:lakzmaRamATurakAyasTavaMSa,20782:lakzmaRamATurakAyasTavaMSa:n:ATu
pw:vajjaqadeva,97407:vajjaqadeva:n:jaq
pui:varamUrtis,12231:varamUrtis:n:rti
bhs:vartitArTa,13343:vartitArTa:n:rti
pw:vastos,99611:vastos:n:tos
mw72:vitarturARa,42696:vitarturARa:n:rtu
acc:vidvanmodataraNgiRI,22368:vidvanmodataraNgiRI:n:nmo
bur:vinivarte,15497:vinivarte:n:rte
bur:vinizUde,15504:vinizUde:n:zUd
acc:vimarSADiroha,22485:vimarSADiroha:n:SAD
bhs:vivartiya,14193:vivartiya:n:rti
bur:vivartize,15764:vivartize:n:rti
bur:vivarte,15763:vivarte:n:rte
sch:vivraRayizo,24132:vivraRayizo:n:izo
acc:viSvanATadIkzitajaqe,22741:viSvanATadIkzitajaqe:n:jaq
ccs:vizajihU,23062:vizajihU:n:ihU
