skd:aMSaBAk,9:aMSaBAk:n:SaB
acc:gajagOrIvratakaTA,5538:gajagOrIvratakaTA:n:agO
pw:gaRatattvamahodaDi,34192:gaRatattvamahodaDi:n:hod
acc:gaRADyAya,5635:gaRADyAya:n:RAD
acc:gaReSAhnika,32544:gaReSAhnika:n:SAh
pw:ganDadvAru,34503:ganDadvAru:n:Dad
acc:garuqadvAdaSanAmastotra,5824:garuqadvAdaSanAmastotra:n:qad
vcp:garuqAsana,17150:garuqAsana:n:qAs
skd:garBapAkI,10696:garBapAkI:n:Bap
bhs:garBolika,5689:garBolika:n:rBo
vcp:galoddeSa,17285:galoddeSa:n:lod
acc:gANgoka,5874:gANgoka:n:gok
bur:gApayAmi,5841:gApayAmi:n:gAp
sch:giRigiRat,28628:giRigiRat:n:igi
sch:giricUrin,12293:giricUrin:n:icU
pe:girinATadIkzita,2440:girinATadIkzita:n:Tad
acc:girisundaridAsa,43051:girisundaridAsa:n:isu
sch:girisopAnagara,12307:girisopAnagara:n:iso
acc:guqadidAnapadDati,5994:guqadidAnapadDati:n:qad
vcp:guqapippalIvfta,17617:guqapippalIvfta:n:lIv
pw:guRaguRArAva,35692:guRaguRArAva:n:Rag
acc:guRaguRyanekaSaktivAda,5998:guRaguRyanekaSaktivAda:n:Rag
ccs:guRagrahin,6243:guRagrahin:n:Rag
sch:guRagrAhitA,12332:guRagrAhitA:n:Rag
bhs:guRacakravAqaSiru,5749:guRacakravAqaSiru:n:Rac
bhs:guRacakravAqaSrirAja,5748:guRacakravAqaSrirAja:n:Rac
pui:guptavaMSajas,4239:guptavaMSajas:n:Saj
sch:guptI,12362:guptI:n:ptI
yat:guruvARagarBa,13196:guruvARagarBa:n:Rag
acc:gurvaTadIpikA,6131:gurvaTadIpikA:n:Tad
pw:gulajihvikAnyAya,35997:gulajihvikAnyAya:n:hvi
acc:gulAbaSaMkara,43087:gulAbaSaMkara:n:baS
vcp:gUQavyaNgyA,17839:gUQavyaNgyA:n:Qav,gyA
vcp:gokirAwA,17992:gokirAwA:n:gok
pui:gokulAkIrRA,4298:gokulAkIrRA:n:gok
ieg:gokulADikArin,2016:gokulADikArin:n:gok
acc:gokulAzwamIvrata,6211:gokulAzwamIvrata:n:gok
sch:gokulikA,12481:gokulikA:n:gok
acc:gokuleSalIlAsuDAsinDu,39829:gokuleSalIlAsuDAsinDu:n:gok
acc:gokuleSvaramAhAtmya,6213:gokuleSvaramAhAtmya:n:gok
acc:gokulotsava,6214:gokulotsava:n:gok
pe:godila,2453:godila:n:god
acc:gopIndratippaBUpAla,6401:gopIndratippaBUpAla:n:BUp,opI
bhs:gopekzanetra,5881:gopekzanetra:n:ope
acc:goBilasaMDyAsUtra,43168:goBilasaMDyAsUtra:n:goB
acc:gomuktimAhAtmya,6423:gomuktimAhAtmya:n:omu
acc:gomuKaprasavAdiSAnti,6426:gomuKaprasavAdiSAnti:n:omu
acc:golokatApinyupanizad,6441:golokatApinyupanizad:n:olo
acc:govaqavAdiprasavanirRaya,6443:govaqavAdiprasavanirRaya:n:gov
skd:govatsAdI,11441:govatsAdI:n:gov
mw:govatsAri,67532:govatsAri:n:gov
acc:govindaBajanastotra,6561:govindaBajanastotra:n:gov
acc:govindarAmavidyASiromaRi,6578:govindarAmavidyASiromaRi:n:gov
acc:govindavinodavidyAvinodaBawwa,6585:govindavinodavidyAvinodaBawwa:n:gov
acc:govindasomasetu,6591:govindasomasetu:n:gov
acc:govindAcArya,6595:govindAcArya:n:gov
acc:govindAnandakavikaNkaRAcArya,6596:govindAnandakavikaNkaRAcArya:n:gov
pwg:govindArcanavasuDA,73107:govindArcanavasuDA:n:gov
acc:govindASrama,6600:govindASrama:n:gov
acc:goSakfnmUtramAhAtmya,32753:goSakfnmUtramAhAtmya:n:goS
inm:goSabdAtmaja,4178:goSabdAtmaja:n:goS
bhs:goSalIputra,5901:goSalIputra:n:goS
vcp:goSaSas,18307:goSaSas:n:goS
sch:goSAlIputra,12567:goSAlIputra:n:goS
mw:gOkakzyAyaRI,68081:gOkakzyAyaRI:n:gOk
mw:gOragrIvIya,68275:gOragrIvIya:n:IvI
acc:gOrIvallaBaSlokavyAKyAna,6689:gOrIvallaBaSlokavyAKyAna:n:BaS
acc:grahakOtUhalodAharaRa,6707:grahakOtUhalodAharaRa:n:lod
acc:grahaRADikAra,6733:grahaRADikAra:n:RAD
acc:grahalAGavawIkAmanoramA,6767:grahalAGavawIkAmanoramA:n:nor
vcp:grahADikaraRa,18505:grahADikaraRa:n:hAD
vcp:grahADISa,18506:grahADISa:n:hAD
ieg:grAmopahAra,2095:grAmopahAra:n:mop
skd:grIvI,11639:grIvI:n:IvI
pui:GawodarI,4466:GawodarI:n:wod
sch:Ganoru,12725:Ganoru:n:nor
bhs:GuRaGuRAyate,5978:GuRaGuRAyate:n:RaG
vcp:GusfRApiYjaratanu,18830:GusfRApiYjaratanu:n:RAp
bur:caNkzammi,6343:caNkzammi:n:mmi
mw:caccatpuwa,70762:caccatpuwa:n:cac
bhs:caccara,6025:caccara:n:cac
bur:caYcammi,6350:caYcammi:n:mmi
mw:caRqavegAsaMgamatIrTa,70984:caRqavegAsaMgamatIrTa:n:egA,gAs
cae:catuHsahatra,10268:catuHsahatra:n:uHs
ccs:caturTASa,6766:caturTASa:n:TAS
mw:caturTASrama,71367:caturTASrama:n:TAS
ccs:catuScatvAtiMSat,6793:catuScatvAtiMSat:n:tuS,uSc
vcp:catustriMSajjAtaka,19244:catustriMSajjAtaka:n:Saj
acc:candodayanAwakaprAkftavivfti,30711:candodayanAwakaprAkftavivfti:n:dod
acc:candrasUryagrahodAharaRa,43328:candrasUryagrahodAharaRa:n:hod
bhs:candrAMSujAlamaRqalagarBa,6117:candrAMSujAlamaRqalagarBa:n:Suj
bhs:candrolkADArin,6128:candrolkADArin:n:olk
acc:caraRacihnavarRanA,43347:caraRacihnavarRanA:n:Rac
pui:cARuramalla,4715:cARuramalla:n:Rur
bur:cikiwizAmi,6569:cikiwizAmi:n:wiz
bhs:cittaDArAbudDisaMkusumitAByudgata,6245:cittaDArAbudDisaMkusumitAByudgata:n:tAB
mw:citrakUwA,73709:citrakUwA:n:UwA
pw:cintAratnAy,40199:cintAratnAy:n:tnA
ieg:cIrRavratopAyanaka,1288:cIrRavratopAyanaka:n:top
bur:cukuwizAmi,6689:cukuwizAmi:n:wiz
bhs:cundadvIla,6313:cundadvIla:n:vIl
acc:cOlakarmaprayoga,7510:cOlakarmaprayoga:n:cOl
mw:cOlakAyana,75247:cOlakAyana:n:cOl
acc:cOlopanayana,43433:cOlopanayana:n:cOl
pui:cOlya,4892:cOlya:n:cOl
pw:CawAcCowA,40848:CawAcCowA:n:wAc
ccs:Cadmasfpin,7225:Cadmasfpin:n:fpi
acc:CandogAnIyAhnika,7554:CandogAnIyAhnika:n:ogA
acc:CandogAparasUtra,7555:CandogAparasUtra:n:ogA,gAp
acc:CandogAhnika,7556:CandogAhnika:n:ogA
acc:CandogAhnikAcAra,7558:CandogAhnikAcAra:n:ogA
acc:CandogAhnikodDAra,7559:CandogAhnikodDAra:n:ogA
bur:jagmaTus,6950:jagmaTus:n:Tus
vcp:jaYjaByamAna,20490:jaYjaByamAna:n:jaB
acc:jawodAharaRa,7748:jawodAharaRa:n:wod
acc:janakavasizWasaMvAda,7755:janakavasizWasaMvAda:n:Was
acc:janaboDinI,7757:janaboDinI:n:nab
mw:jabDa,77183.1:jabDa:n:jab
pgn:jayaBawwisvAmin,269:jayaBawwisvAmin:n:wis
acc:jayarAmanyAyapaYcAnanaBawwAcArya,7894:jayarAmanyAyapaYcAnanaBawwAcArya:n:wAc
acc:jayutuNgodaya,7835:jayutuNgodaya:n:god
sch:jayeSa,13727:jayeSa:n:yeS
vcp:jalodvatagati,20982:jalodvatagati:n:lod
skd:jAmbuvAn,13586:jAmbuvAn:n:buv
skd:jAyAnujIvI,13591:jAyAnujIvI:n:IvI
md:jAlodgIrRa,8035:jAlodgIrRa:n:lod
bur:jigAsAmi,7216:jigAsAmi:n:gAs
bur:jiGawize,7230:jiGawize:n:wiz
vcp:jitakrIDa,21220:jitakrIDa:n:rID
mw:jIvaMDaraRacaritra,79697:jIvaMDaraRacaritra:n:Rac
vcp:jYAnadagDadeha,21491:jYAnadagDadeha:n:Dad
bhs:jYAnabalaparvatateja,6683:jYAnabalaparvatateja:n:nab
bhs:jYAnolka,6716:jYAnolka:n:nol,olk
bhs:jYAnolkAvaBAsarAja,6717:jYAnolkAvaBAsarAja:n:nol,olk
skd:jyEzWasAmA,13892:jyEzWasAmA:n:Was
vcp:jyotoraTa,21559:jyotoraTa:n:oto
sch:qamBodBava,14139:qamBodBava:n:Bod
skd:RADa,14173:RADa:n:RAD
bhs:tawiskanDa,6790:tawiskanDa:n:wis
bhs:tataMjacala,6793:tataMjacala:n:jac
sch:taTAgatacintyaguhyanirdeSa,14231:taTAgatacintyaguhyanirdeSa:n:tac
acc:tadDitopadeSa,8695:tadDitopadeSa:n:top
mw:tanukeSA,82288:tanukeSA:n:uke
acc:tantroktacikitsA,8747:tantroktacikitsA:n:tac
mw:taraMgApatrasta,83060:taraMgApatrasta:n:gAp
acc:tarkaratnAkarasetu,8826:tarkaratnAkarasetu:n:tnA
sch:tAjaBaNga,14424:tAjaBaNga:n:jaB
pui:tigmAtma,5463:tigmAtma:n:gmA
acc:tiTiriktopavAsanirRaya,9037:tiTiriktopavAsanirRaya:n:top,kto
sch:tindukeri,14558:tindukeri:n:uke
acc:tippaBUpAla,9054:tippaBUpAla:n:BUp
ieg:tiladarBodakapavitrapARinA,7135:tiladarBodakapavitrapARinA:n:rBo,Bod
mw:tilodara,85304:tilodara:n:lod
pui:tIrTAdi,5493:tIrTAdi:n:TAd
acc:tuNgoka,9126:tuNgoka:n:gok
sch:turagAstaraRa,14669:turagAstaraRa:n:gAs
yat:turaNgAsya,17150:turaNgAsya:n:gAs
acc:tulasIvanamArkaRqeyaSrInivAsakzetramAhAtmya,43780:tulasIvanamArkaRqeyaSrInivAsakzetramAhAtmya:n:qey
cae:tuzAgri,12532:tuzAgri:n:zAg
