acc:daSaDAtmajanirRaya,9722:daSaDAtmajanirRaya:n:SaD
acc:daSaDenudAna,33583:daSaDenudAna:n:SaD
mw:dArARukramaRa,91679:dArARukramaRa:n:Ruk
md:dfzwyagocara,9549:dfzwyagocara:n:goc
skd:devadryaN,16960:devadryaN:n:dry
mw:devadryac,95745:devadryac:n:dry
pw:dEvadattyA,52908:dEvadattyA:n:tty
mw:dEvayajYapiRqasUrya,96818:dEvayajYapiRqasUrya:n:qas
acc:dEvikaDarmaMnirUpaRa,10435:dEvikaDarmaMnirUpaRa:n:Mni
inm:drazwAtman,3647:drazwAtman:n:wAt
mw:dvApaYcASadakzara,98174:dvApaYcASadakzara:n:cAS
vcp:dvEtAdvEta,26838:dvEtAdvEta:n:Adv
shs:DanacCu,20284:DanacCu:n:cCu
bhs:DarmacakracandrodgataSrI,7722:DarmacakracandrodgataSrI:n:odg
yat:DutAvaDi,20157:DutAvaDi:n:Dut
vcp:DUmAgni,27428:DUmAgni:n:UmA
acc:nAnUrinArAyaRa,11631:nAnUrinArAyaRa:n:AnU
ccs:nABAnedizwa,11786:nABAnedizwa:n:ned
mw72:nidiDyeya,24626:nidiDyeya:n:yey
acc:niyojyAnvaya,44416:niyojyAnvaya:n:ojy
bhs:nirnamayati,8395:nirnamayati:n:rna
mw:nisargeRa,111040:nisargeRa:n:rge
sch:nfpatI,17302:nfpatI:n:nfp
mw:nfpanApitaputranyAya,111860.1:nfpanApitaputranyAya:n:nfp
acc:nfpavaMSAvali,34190:nfpavaMSAvali:n:nfp
mw:nfpANganA,112003:nfpANganA:n:nfp
skd:nedIyAn,19636:nedIyAn:n:ned
mw:nEvaSASvatonASASvataSca,112562:nEvaSASvatonASASvataSca:n:onA
pw:nyUnAByaDika,61538:nyUnAByaDika:n:UnA
vcp:pakzADAta,29969:pakzADAta:n:zAD
ccs:paYcadaRqacCaktraprabanDa,13012:paYcadaRqacCaktraprabanDa:n:qac
vcp:paYcamUlyAdi,30136:paYcamUlyAdi:n:Uly
sch:paYcaSarAntaka,17528:paYcaSarAntaka:n:caS
acc:paYcaSlokitAjika,34328:paYcaSlokitAjika:n:caS,tAj
acc:paYcASannAman,40362:paYcASannAman:n:cAS
acc:padABinayamaYjarI,34377:padABinayamaYjarI:n:dAB
mw:padABilAzin,115379:padABilAzin:n:dAB
wil:padmapaba,23173:padmapaba:n:pab
pw:parABuve,63542:parABuve:n:ABu
mw:parituzwAtman,117656:parituzwAtman:n:wAt
acc:paryaNkASOcaviDi,34481:paryaNkASOcaviDi:n:ASO
bhs:paryaRWate,9244:paryaRWate:n:Wat
pui:pAYcASvameDika,7471:pAYcASvameDika:n:cAS
vcp:pAWi,31519:pAWi:n:AWi
vcp:pAdAByaYjana,31694:pAdAByaYjana:n:dAB
sch:pAdAByAsa,18329:pAdAByAsa:n:dAB
inm:pAScimAnUpaka,7800:pAScimAnUpaka:n:AnU
sch:pIyUzapAnAyate,18599:pIyUzapAnAyate:n:IyU
sch:puwApuwa,18622:puwApuwa:n:wAp
bhs:puwApuwI,9562:puwApuwI:n:wAp
pui:puRyeyu,7993:puRyeyu:n:yey,eyu
mw:puraskftamaDyamakrama,125919:puraskftamaDyamakrama:n:skf
mw:purastAj,125924:purastAj:n:tAj
mw:purARAvatAra,126026:purARAvatAra:n:RAv
mw:pulakodBeda,126677:pulakodBeda:n:dBe
acc:pUjyapAdadevatAnanda,10213:pUjyapAdadevatAnanda:n:Ujy
mw:pUrRAvatAra,127750:pUrRAvatAra:n:RAv
acc:pORqarIkARqapille,13887:pORqarIkARqapille:n:lle
mw:prakawAprakawa,129775:prakawAprakawa:n:wAp
sch:prakIrRottara,19017:prakIrRottara:n:rRo
bhs:prajYApAramitApaYcaSatikA,9898:prajYApAramitApaYcaSatikA:n:caS
mw:praRatASezasAmanta,131092:praRatASezasAmanta:n:tAS
bhs:pratitizWati,9981:pratitizWati:n:Wat
mw:pratisaMsaMskfta,133349:pratisaMsaMskfta:n:skf
bhs:pratyupatizWati,10297:pratyupatizWati:n:Wat
mw:prasUnAYjali,138089:prasUnAYjali:n:UnA
mw:prahfzwAtman,138706:prahfzwAtman:n:wAt
ieg:priyaSrAhagajamallagadyARa,7784:priyaSrAhagajamallagadyARa:n:hag
mw:banDulAnvaya,142814:banDulAnvaya:n:Dul
ccs:balAtkAr,16540:balAtkAr:n:Atk
mw:balAtkArABilAzin,143268:balAtkArABilAzin:n:Atk
vcp:bahuSatra,35446:bahuSatra:n:huS
acc:bAlaboDavivekinI,35002:bAlaboDavivekinI:n:eki
bhs:bAhuSrutIya,10943:bAhuSrutIya:n:huS
mw:bindupratizWAmaya,145170:bindupratizWAmaya:n:dup
mw:budDyatIta,145733:budDyatIta:n:dDy
bhs:budDyAyate,10990:budDyAyate:n:dDy
acc:brahmatattvasaMhitoddIpanI,15319:brahmatattvasaMhitoddIpanI:n:odd
mw:brahmasUtrAdvEtavftti,147118.45:brahmasUtrAdvEtavftti:n:Adv
bhs:brahmasvaranAdABinandita,11084:brahmasvaranAdABinandita:n:dAB
acc:brahmARqAnandanATa,35112:brahmARqAnandanATa:n:hmA
inm:brahmADipa,1715:brahmADipa:n:hmA
ieg:brahmADirAja,1059:brahmADirAja:n:hmA
pw:brahmAnandasUtraktAvali,78166:brahmAnandasUtraktAvali:n:hmA
mw:brahmAnandasUtramuktAvali,147172.3:brahmAnandasUtramuktAvali:n:hmA
mw:brahmAnandIya,147172.5:brahmAnandIya:n:hmA
acc:brahmAnuBavAzwaka,45193:brahmAnuBavAzwaka:n:hmA
vcp:brahmABijAtA,35952:brahmABijAtA:n:hmA
mw:brAhmaRAvekza,147420.1:brAhmaRAvekza:n:RAv
pwg:brAhmAdrijAtA,53676:brAhmAdrijAtA:n:hmA
pe:BagavadDyAnaparva,1000:BagavadDyAnaparva:n:dDy
acc:BagavadDyAnaviDi,45226:BagavadDyAnaviDi:n:dDy
shs:BAtfdvitIyA,29918:BAtfdvitIyA:n:tfd,fdv
pwg:BAdvAjI,54650:BAdvAjI:n:Adv
bhs:Bizawka,11253:Bizawka:n:wka,awk
pui:BrURahattyA,9851:BrURahattyA:n:tty
mw:maRqalitahastakARqa,154979:maRqalitahastakARqa:n:tah
inm:madranfpAnuja,6653:madranfpAnuja:n:nfp
mw:madryak,155282:madryak:n:dry
gra:madryac,6521:madryac:n:dry
