::::This is file of previously listed headwords
bur:jeGemi,7388:jeGemi:n:Ge
bhs:jYAnaparvataDarmaDAtudikpratapanatejorAja,6680:jYAnaparvataDarmaDAtudikpratapanatejorAja:n:kp
pw:jyotiHzwomika,43591:jyotiHzwomika:n:Hz
ccs:jyotiHzWoma,7937:jyotiHzWoma:n:Hz
sch:wikkaqauvAla,14123:wikkaqauvAla:n:au
mw:tejobalasamAyukta,86914:tejobalasamAyukta:n:ob
acc:towadaAcArya,9235:towadaAcArya:n:aA
pe:daksasAvarRi,1669:daksasAvarRi:n:ks
vcp:daDipayaAdi,24264:daDipayaAdi:n:aA
acc:danokaAcArya,43905:danokaAcArya:n:aA
bhs:diSadeSaAmuKajaga,7315:diSadeSaAmuKajaga:n:aA
vcp:duHzanDi,25269:duHzanDi:n:Hz
mw:duHzamA,93321:duHzamA:n:Hz
ccs:duruksaha,9926:duruksaha:n:ks
acc:dfkpakzasAraRI,33684:dfkpakzasAraRI:n:kp
sch:dOHzWulya,15772:dOHzWulya:n:Hz
acc:DarmakaraupADyAya,10675:DarmakaraupADyAya:n:au
pui:DAhakIKaRqa,6632:DAhakIKaRqa:n:IK
acc:nandISvaraAcAryagopAlASramarUpa,11030:nandISvaraAcAryagopAlASramarUpa:n:aA
pui:nAgda,7028:nAgda:n:gd
mw:nAnAdigdeSAt,105532:nAnAdigdeSAt:n:gd
acc:nArAyaRaBawwaAraqa,11666:nArAyaRaBawwaAraqa:n:aA
vcp:niHzanDi,28627:niHzanDi:n:Hz
ccs:niHzapanda,12621:niHzapanda:n:Hz
pw:niHzAmat,60323:niHzAmat:n:Hz
mw:niHzikta,107763:niHzikta:n:Hz
mw72:niHziDavan,24303:niHziDavan:n:Hz
mw:niHzupta,107778:niHzupta:n:Hz
bur:niHzeDAmi,10206:niHzeDAmi:n:Hz
mw:niHzku,107765.1:niHzku:n:Hz
pw:niHzWa,60329:niHzWa:n:Hz
bhs:niSCavIkftvA,8523:niSCavIkftvA:n:SC
sch:niSCidrIkfta,17078:niSCidrIkfta:n:SC
wil:nfpasaMSfya,22554:nfpasaMSfya:n:fy
pw:nEHzWika,61357:nEHzWika:n:Hz
acc:paYcolaAcArya,40364:paYcolaAcArya:n:aA
yat:payaHPenaniBa,22699:payaHPenaniBa:n:HP
mw:pARquloba,121615:pARquloba:n:ob
mw:pituHzvasf,124168:pituHzvasf:n:Hz
acc:peqqanaAcArya,13852:peqqanaAcArya:n:aA
ccs:pOrobAgya,15063:pOrobAgya:n:ob
vcp:pratyakpuzapI,33912:pratyakpuzapI:n:kp
mw:prAkpuRyapraBava,139239:prAkpuRyapraBava:n:kp
vcp:prAkSaNkavat,34536:prAkSaNkavat:n:kS
mw:priyavAksahita,140595.1:priyavAksahita:n:ks
acc:prItikaraAvasaTi,14701:prItikaraAvasaTi:n:aA
sch:bagaulI,19975:bagaulI:n:au
acc:badarInATaupADyAyamETila,14801:badarInATaupADyAyamETila:n:au
vei:bambaAjadviza,2135:bambaAjadviza:n:aA
acc:bADUlirAmAnujaAcArya,20296:bADUlirAmAnujaAcArya:n:aA
mw:bArhiHzada,144472.1:bArhiHzada:n:Hz
acc:bAlamukundaAcArya,15041:bAlamukundaAcArya:n:aA
vei:BayadaAsamAtya,2236:BayadaAsamAtya:n:aA
pui:BizagdvEtarata,9636:BizagdvEtarata:n:gd
inm:BImakadalIKaRqapraveSa,1470:BImakadalIKaRqapraveSa:n:IK
sch:BfNgAksI,20754:BfNgAksI:n:ks
ieg:BojanaAkzayanI,983:BojanaAkzayanI:n:aA
acc:maRqUriraGunATaAcArya,18865:maRqUriraGunATaAcArya:n:aA
mw:manovAgdehaja,157161:manovAgdehaja:n:gd
ieg:mahAsanDivigrahADikaraRaADikfta,3271:mahAsanDivigrahADikaraRaADikfta:n:aA
mw:mAtuHzvasf,162222:mAtuHzvasf:n:Hz
bhs:mAtfyo,11968:mAtfyo:n:fy
ccs:miTyAsAksin,18876:miTyAsAksin:n:ks
mw:yatAkzAsumanobudDi,170276:yatAkzAsumanobudDi:n:ob
acc:yAmunaAcAryasvAmin,18600:yAmunaAcAryasvAmin:n:aA
acc:raGunandanaAcAryaSiromaRi,18851:raGunandanaAcAryaSiromaRi:n:aA
acc:raNganATaAraqa,36096:raNganATaAraqa:n:aA
inm:rAjasUyasyaAramBa,8908:rAjasUyasyaAramBa:n:aA
acc:rowiveNkawaAcArya,23322:rowiveNkawaAcArya:n:aA
mw:vAkpuzwAwavI,189854:vAkpuzwAwavI:n:kp
acc:vAGelavaMSAvalI,46526:vAGelavaMSAvalI:n:Ge
acc:vAmanaAcAryakaraYjakavisArvaBOma,21873:vAmanaAcAryakaraYjakavisArvaBOma:n:aA
pe:viSAlAkSa,8484:viSAlAkSa:n:kS
skd:viSvakSenA,33275:viSvakSenA:n:kS
acc:vegawaAcArya,23307:vegawaAcArya:n:aA
acc:vedAntanayanaAcArya,23549:vedAntanayanaAcArya:n:aA
acc:vEkuRWanATaAcArya,23698:vEkuRWanATaAcArya:n:aA
acc:SatakarRaAcArya,24424:SatakarRaAcArya:n:aA
pui:SatadfkSakra,14017:SatadfkSakra:n:kS
ieg:SrIKaRqaGoqu,5611:SrIKaRqaGoqu:n:IK
mw:SrIKaRqANgarAga,222956:SrIKaRqANgarAga:n:IK
sch:SrIKaRqAdri,25364:SrIKaRqAdri:n:IK
acc:SrInivAcaAcArya,38083:SrInivAcaAcArya:n:aA
bop:saNGepa,8178:saNGepa:n:Ge
mw:samAhitamanobudDi,234217:samAhitamanobudDi:n:ob
pw:samAhitasanobudDi,120497:samAhitasanobudDi:n:ob
acc:surottaAcArya,28555:surottaAcArya:n:aA
acc:svamanoboDavAkyAni,41625:svamanoboDavAkyAni:n:ob
sch:haggaulI,27394:haggaulI:n:au
ccs:anaQuha,665:anaQuha:n:Qu
yat:aniHkkARa,1151:aniHkkARa:n:Hk
ap:utKapnAyate,8866:utKapnAyate:n:tK
bhs:utKAwayitar,3351:utKAwayitar:n:tK
ieg:utKewayitA,6239:utKewayitA:n:tK
acc:uzwrapayaHkalpa,2838:uzwrapayaHkalpa:n:Hk
acc:EtareyopanizatKaRqArTa,3042:EtareyopanizatKaRqArTa:n:tK
ieg:OtKewika,667:OtKewika:n:tK
sch:KaqatKaqiti,11796:KaqatKaqiti:n:tK
sch:KaRatKaRiti,11812:KaRatKaRiti:n:tK
pw:KaRatKaRI,33332:KaRatKaRI:n:tK
mw:KaRqaSaHkf,61140.1:KaRqaSaHkf:n:Hk
acc:cakzuHkarRasaMyogatAvAda,43281:cakzuHkarRasaMyogatAvAda:n:Hk
vcp:catuHkUwA,19146:catuHkUwA:n:Hk
inm:jagataHkoza,4689:jagataHkoza:n:Hk
acc:QuRqi,8455:QuRqi:n:Qu
acc:QuRQigaReSadaSaka,8458:QuRQigaReSadaSaka:n:Qu
acc:QuRQirAjalallopAKya,8464:QuRQirAjalallopAKya:n:Qu
acc:QuRQirAjavyAsayajvan,8466:QuRQirAjavyAsayajvan:n:Qu
mw:QuRQirAjAKyAna,81510:QuRQirAjAKyAna:n:Qu
acc:QuRQirAjAdistotra,43641:QuRQirAjAdistotra:n:Qu
bhs:duHk,7349:duHk:n:Hk
skd:naBaHkrAntI,18323:naBaHkrAntI:n:Hk
bhs:niHk,8200:niHk:n:Hk
mw:nirBararahaHkrIqA,107120:nirBararahaHkrIqA:n:Hk
pwg:paraHkazRa,42313:paraHkazRa:n:Hk
sch:pilapilatKalli,18544:pilapilatKalli:n:tK
mw:prAkftacCandaHkoSa,139056:prAkftacCandaHkoSa:n:Hk
mw:maDyamotKAta,156563:maDyamotKAta:n:tK
mw:manaHkzoBakara,156724.1:manaHkzoBakara:n:Hk
acc:miTaHkowijyAniGnaviDi,40751:miTaHkowijyAniGnaviDi:n:Hk
yat:rajaHkuRWamuKa,31344:rajaHkuRWamuKa:n:Hk
mw:rodaHkandarakuhara,179818:rodaHkandarakuhara:n:Hk
mw:lavalIPalapARqura,181976:lavalIPalapARqura:n:IP
bhs:varcaHkuwI,13318:varcaHkuwI:n:Hk
bhs:varcaHkumBikA,13319:varcaHkumBikA:n:Hk
ieg:akUracullakavEnASiKawvAvAsa,6889:akUracullakavEnASiKawvAvAsa:n:wv
ieg:aKawvAcullakavEnASika,6884:aKawvAcullakavEnASika:n:wv
ieg:acullakakUraKawvAgrahaRa,6874:acullakakUraKawvAgrahaRa:n:wv
ccs:atijoganmaftaka,348:atijoganmaftaka:n:af
yat:advEzwf,793:advEzwf:n:wf
mw72:arIlha,5799:arIlha:n:lh
pw:arTOga,9572:arTOga:n:TO
sch:arDakuRqalakafzin,4939:arDakuRqalakafzin:n:af
cae:azAlha,3590:azAlha:n:lh
pw:azwakawvaratEla,12017:azwakawvaratEla:n:wv
mw:ARUka,23316.2:ARUka:n:RU
ieg:ilampuYjE,7241:ilampuYjE:n:jE
sch:ucCIrza,7921:ucCIrza:n:CI
sch:ucCIrzIkfta,7922:ucCIrzIkfta:n:CI
ap90:uMCU,7686:uMCU:n:CU
ap:upakozwf,9421:upakozwf:n:wf
acc:kacaRabilhaRakavi,3143:kacaRabilhaRakavi:n:lh
pw:kawvaYjanI,23526:kawvaYjanI:n:wv
pw:kawvAYjanI,23530:kawvAYjanI:n:wv
pw:kaWorI,23567:kaWorI:n:Wo
vcp:kapIkacCU,11903:kapIkacCU:n:CU
vcp:kAzWoqumbarikA,13557:kAzWoqumbarikA:n:Wo
shs:krUgawfS,12062:krUgawfS:n:wf,Ug
mw:kzRU,60596:kzRU:n:RU
inm:caRUrAnDranizUdana,1989:caRUrAnDranizUdana:n:RU
inm:carAcarasyasrazwf,1995:carAcarasyasrazwf:n:wf
stc:CIwa,9418:CIwa:n:CI
sch:jaGanePala,13605:jaGanePala:n:eP
wil:jalocCUsa,16127:jalocCUsa:n:CU
pwg:jEkajihmi,74499:jEkajihmi:n:jE
mw:jEkaSUnya,80189:jEkaSUnya:n:jE
pui:jEtyadrORi,5194:jEtyadrORi:n:jE
acc:jEnamataKaRqana,8160:jEnamataKaRqana:n:jE
pw:jEnamatapustaka,43248:jEnamatapustaka:n:jE
acc:jEnAcArya,8161:jEnAcArya:n:jE
mw:jEnAyatana,80215:jEnAyatana:n:jE
acc:jEnendu,43568:jEnendu:n:jE
mw:jEmani,80224:jEmani:n:jE
acc:jEminInyAyamAlAvistara,8175:jEminInyAyamAlAvistara:n:jE
acc:jEminIyanyAyamAlAvistAra,8176:jEminIyanyAyamAlAvistAra:n:jE
acc:jEminIyasUtrasAra,43573:jEminIyasUtrasAra:n:jE
acc:jEminIyArTasaMgraha,33143:jEminIyArTasaMgraha:n:jE
ben:jEmUt,5491:jEmUt:n:jE
bur:jEhnamya,7416:jEhnamya:n:jE
mw:jEhnavaka,80258:jEhnavaka:n:jE
pw:jEhma,43271:jEhma:n:jE
mw:jEhmi,80263:jEhmi:n:jE
mw:jEhvalAyani,80266:jEhvalAyani:n:jE
pui:jEhvalAyanI,5201:jEhvalAyanI:n:jE
pw:jYAnafziBAskarAcArya,43344:jYAnafziBAskarAcArya:n:af
ieg:tfRakAzWodakopeta,7136:tfRakAzWodakopeta:n:Wo
acc:tryambakaBawwamolha,9471:tryambakaBawwamolha:n:lh
mw72:daMzwvA,21759:daMzwvA:n:wv
acc:devatAnukramafgvede,33693:devatAnukramafgvede:n:af
pwg:dvirePagaRasaMmitA,35807:dvirePagaRasaMmitA:n:eP
mw:dvirePagaRasammitA,98651:dvirePagaRasammitA:n:eP
bur:naMzwvA,9647:naMzwvA:n:wv
ieg:nikePoros,3780:nikePoros:n:eP
mw:paYcaKawvI,113577:paYcaKawvI:n:wv
shs:pApawfSvan,24476:pApawfSvan:n:wf
pw:pIWopamapAli,67279:pIWopamapAli:n:Wo
bur:prafRAmi,11390:prafRAmi:n:af
acc:pratizWotsavaprAyaScitta,14072:pratizWotsavaprAyaScitta:n:Wo
vcp:prabalhikA,34110:prabalhikA:n:lh
acc:prOQaprakASiko,14732:prOQaprakASiko:n:OQ
sch:prOQapriyApANganavotpala,19887:prOQapriyApANganavotpala:n:OQ
mw:prOQANganA,141382:prOQANganA:n:OQ
sch:bAlhaveya,20193:bAlhaveya:n:lh
inm:bAlhikAtmaja,1195:bAlhikAtmaja:n:lh
mw:bAlhikeyamiSra,144794:bAlhikeyamiSra:n:lh
mw:bAlhIkeSa,144826:bAlhIkeSa:n:lh
mw:bAlhISvara,144779:bAlhISvara:n:lh
pwg:bAlhyAyana,52558:bAlhyAyana:n:lh
acc:bilhaRapaYcASatpratyuttara,45115:bilhaRapaYcASatpratyuttara:n:lh
acc:bilhaRapUrvacatuHsaptati,45116:bilhaRapUrvacatuHsaptati:n:lh
ccs:bfbadukaTa,16832:bfbadukaTa:n:fb
mw:maWoSiloWikA,154576:maWoSiloWikA:n:Wo
bur:mIlhuz,13405:mIlhuz:n:lh
acc:muktakaRWollAsa,35774:muktakaRWollAsa:n:Wo
mw:mOKaryA,168683:mOKaryA:n:OK
