pe:aMSuDanapattana,222:aMSuDanapattana:n:SuD
mw:saMDicCeda,231679:saMDicCeda:n:Dic
mw:sannimitte,230346:sannimitte:n:tte
sch:samarTIkaraRa,25947:samarTIkaraRa:n:rTI,TIk
bur:samApyAye,17740:samApyAye:n:pyA
bhs:sarvavyADicikitsaka,16519:sarvavyADicikitsaka:n:Dic
mw:sasrIvfkza,239777:sasrIvfkza:n:Ivf
pw:sahArTI,123266:sahArTI:n:rTI
pw:sArTI,124534:sArTI:n:rTI
acc:sidDArikozWaprakAra,47864:sidDArikozWaprakAra:n:Wap
sch:sOsnAtikI,27041:sOsnAtikI:n:sOs
skd:strIpaRyopajIvI,40525:strIpaRyopajIvI:n:IvI
shs:sTApyApaharaRa,45581:sTApyApaharaRa:n:pyA
mw:sTApyAharaRa,255552:sTApyAharaRa:n:pyA
skd:snehA,40776:snehA:n:ehA
sch:snehAtmaka,27168:snehAtmaka:n:ehA
mw:snehAByakta,256422:snehAByakta:n:ehA
pw:sradBU,131838:sradBU:n:dBU
mw:svalpadehA,259432:svalpadehA:n:ehA
pw:svalpIyaMs,132758:svalpIyaMs:n:lpI
pui:halamulluYca,17271:halamulluYca:n:llu
mw:himotpanna,263116:himotpanna:n:mot
mw:hetuhetumadBAva,264044:hetuhetumadBAva:n:uhe
acc:horilaSarman,41682:horilaSarman:n:ori
skd:hraqa,42180:hraqa:n:raq
