bur:marmarmi,13110:marmarmi:n:rmi
mw:mAtrArDa,161749:mAtrArDa:n:ArD
sch:mAheca,21650:mAheca:n:hec
ap:murmiRI,26449:murmiRI:n:rmi
wil:yudGonmatta,31508:yudGonmatta:n:dGo
mw:rahasyatrayacudAmaRi,175960.2:rahasyatrayacudAmaRi:n:cud
mw:lipikarmanirmita,182626:lipikarmanirmita:n:rmi
mw:varmitANga,187822:varmitANga:n:rmi
shs:vAkvalaha,35679:vAkvalaha:n:Akv
sch:vArDakineya,23578:vArDakineya:n:ArD
pe:vArDakzemi,8033:vArDakzemi:n:ArD
mw:vArmika,191998:vArmika:n:rmi
acc:vAsizWayogakARqa,36879:vAsizWayogakARqa:n:Way
bur:vibIBayAmi,15590:vibIBayAmi:n:ibI
mw:vivAhecCu,200084:vivAhecCu:n:hec
vcp:viSudDAdvEta,41839:viSudDAdvEta:n:DAd
acc:vfndAvanacandratarkAlaMkAracakravartin,23272:vfndAvanacandratarkAlaMkAracakravartin:n:rti
mw:SivaBujaMgAzwaka,217731.2:SivaBujaMgAzwaka:n:gAz
acc:SivAdyazwottaraSatanAMman,25357:SivAdyazwottaraSatanAMman:n:Mma
mw:SElAlibrAhmana,221202:SElAlibrAhmana:n:lib
bhs:Sollaka,15215:Sollaka:n:Sol
pgn:saMGila,167:saMGila:n:Gil
bhs:samapEti,15973:samapEti:n:apE
bur:samvarte,18103:samvarte:n:rte
bhs:sarvarutasaMgrahaRIlipi,16505:sarvarutasaMgrahaRIlipi:n:RIl
ben:sADuSolatva,16006:sADuSolatva:n:Sol
bhs:sAMmitIya,16717:sAMmitIya:n:Mmi
bur:sAsvarmi,18521:sAsvarmi:n:rmi
mw:siMhapUrvArDakAyatA,243834:siMhapUrvArDakAyatA:n:ArD
mw:sIlanDra,245217.1:sIlanDra:n:sIl
pw:suDAdrav,126464:suDAdrav:n:DAd
bhs:sunirmitaDvajapradIpa,16970:sunirmitaDvajapradIpa:n:rmi
vei:sumitravADryasva,3617:sumitravADryasva:n:ADr
bhs:suviSudDaDarmaDAtujYAna,17183:suviSudDaDarmaDAtujYAna:n:tuj
sch:sUkaraGfzwaka,26876:sUkaraGfzwaka:n:aGf
sch:somArDaSiromaRi,26995:somArDaSiromaRi:n:ArD
pw:somArDAy,129752:somArDAy:n:ArD
mw:sTAlIbilya,255313.1:sTAlIbilya:n:Ibi
mw:sPig,256849:sPig:n:Pig
acc:smftikOstuBe,48016:smftikOstuBe:n:ikO
acc:haWayogADirAja,29358:haWayogADirAja:n:Way
bhs:harmika,17622:harmika:n:rmi
