pd:atikrAntABigamana,27448:atikrAntABigamana:n:
pd:atikrAntAyuktakaSata,27451:atikrAntAyuktakaSata:n:
pd:atikrAntArTa,27450:atikrAntArTa:n:
pd:atikzoBita,27567:atikzoBita:n:
pd:atiksipratva,27548:atiksipratva:n:
pd:atigAQaruj,27679:atigAQaruj:n:
pd:atigADatara,27672:atigADatara:n:
pd:atigOravApatti,27766:atigOravApatti:n:
pd:atigqUhaBAvA,27733:atigqUhaBAvA:n:
pd:aticiroparudDa,27981:aticiroparudDa:n:
pd:aticiroparoDa,27978:aticiroparoDa:n:
pd:atijivana,28089:atijivana:n:
pd:atijihma,28083:atijihma:n:
pd:atijf,28097:atijf:n:
pd:atijfmB,28095:atijfmB:n:
pd:atitaptAjya,28140:atitaptAjya:n:
pd:atitapsvitA,28133:atitapsvitA:n:
pd:atitfH,28309:atitfH:n:
pd:atitfwparIta,28286:atitfwparIta:n:
pd:atiTinirIkzaRa,28403:atiTinirIkzaRa:n:
pd:atiTinI,28401:atiTinI:n:
pd:atiTisatkAra,28499:atiTisatkAra:n:
pd:atiTisatkArapara,28494:atiTisatkArapara:n:
pd:atiTyarTin,28536:atiTyarTin:n:
pd:atiTyas,28535:atiTyas:n:
pd:atiduHsTitavapus,28908:atiduHsTitavapus:n:
pd:atidugDa,28756:atidugDa:n:
pd:atidurgAKyA,28784:atidurgAKyA:n:
pd:atidurgAmanu,28783:atidurgAmanu:n:
pd:atidurBarasaMramBa,28822:atidurBarasaMramBa:n:
pd:atidurBarasamBAvanA,28821:atidurBarasamBAvanA:n:
pd:atideSottarakAlakatva,29169:atideSottarakAlakatva:n:
pd:atideSottarakAlam,29168:atideSottarakAlam:n:
pd:atinipuRamati,29416:atinipuRamati:n:
pd:atinipuRasevA,29415:atinipuRasevA:n:
pd:atiniSacalaniScayA,29521:atiniSacalaniScayA:n:
pd:atiniSAta,29516:atiniSAta:n:
pd:atinizkranta,29541:atinizkranta:n:
pd:atinizkramya,29540:atinizkramya:n:
pd:atipurandara,29913:atipurandara:n:
pd:atipuram,29912:atipuram:n:
pd:atibalAsura,30470:atibalAsura:n:
pd:atibalAhvaya,30469:atibalAhvaya:n:
pd:atiBEravam,30770:atiBEravam:n:
pd:atiBEravArAva,30769:atiBEravArAva:n:
pd:atimanTaram,30864:atimanTaram:n:
pd:atimanTaravacanA,30863:atimanTaravacanA:n:
pd:ativarDamAna,32142:ativarDamAna:n:
pd:ativarDayat,32140:ativarDayat:n:
pd:ativirUQaja,32480:ativirUQaja:n:
pd:ativirUQamati,32479:ativirUQamati:n:
pd:ativyayin,32854:ativyayin:n:
pd:ativyavaDAna,32849:ativyavaDAna:n:
pd:ativyAkulatA,32864:ativyAkulatA:n:
pd:ativyAkulA,32863:ativyAkulA:n:
pd:atiSayin,33318:atiSayin:n:
pd:atiSayinI,33052:atiSayinI:n:
pd:atisarasvatI,33930:atisarasvatI:n:
pd:atisarUpa,33929:atisarUpa:n:
pd:atisuKoda,34093:atisuKoda:n:
pd:atisuKozRa,34092:atisuKozRa:n:
pd:atiharzayukta,34500:atiharzayukta:n:
pd:atiharzasamanvita,34499:atiharzasamanvita:n:
pd:atihimaprapAta,34547:atihimaprapAta:n:
pd:atihimam,34546:atihimam:n:
pd:atItAgatavastu,34854:atItAgatavastu:n:
pd:atItAgamana,34853:atItAgamana:n:
pd:atIndriyavid,35077:atIndriyavid:n:
pd:atIndriyaviDi,35057:atIndriyaviDi:n:
pd:atulaSORqi,35409:atulaSORqi:n:
pd:atulaSvAsozman,35408:atulaSvAsozman:n:
pd:atyadButavapuHSoBA,35841:atyadButavapuHSoBA:n:
pd:atyadButavapurDarA,35840:atyadButavapurDarA:n:
pd:atyantaduHsTita,36185:atyantaduHsTita:n:
pd:atyantaduravagAhatva,36142:atyantaduravagAhatva:n:
pd:atyantaniHsvAdu,36293:atyantaniHsvAdu:n:
pd:atyantanikawa,36222:atyantanikawa:n:
pd:atyantAntarBUta,37210:atyantAntarBUta:n:
pd:atyantAntika,37110:atyantAntika:n:
pd:atyantAsadarTa,37431:atyantAsadarTa:n:
pd:atyantAsadasaMsarga,37430:atyantAsadasaMsarga:n:
pd:atyahaHsvapna,37962:atyahaHsvapna:n:
pd:atyahaMkartfkarmA,37957:atyahaMkartfkarmA:n:
pd:atyASrAvita,38173:atyASrAvita:n:
pd:atyASru,38172:atyASru:n:
pd:atyugradaMzwra,38251:atyugradaMzwra:n:
pd:atyugradaRqa,38250:atyugradaRqa:n:
pd:atryArzeyavat,38903:atryArzeyavat:n:
pd:atlnibiqavigraha,29425:atlnibiqavigraha:n:
