ap:anugrAhya,1733:anugrAhya:n:
ap:anucarciH,1742:anucarciH:n:
ap:anucArakaH,1741:anucArakaH:n:
ap:anuja,1750:anuja:n:
ap:anujan,1749:anujan:n:
ap:anutaram,1775:anutaram:n:
ap:anutarzaH,1768:anutarzaH:n:
ap:anutarzaRam,1769:anutarzaRam:n:
ap:anutApaH,1764:anutApaH:n:
ap:anutUlanam,1773:anutUlanam:n:
ap:anutUlayati,1772:anutUlayati:n:
ap:anudarSanam,1807:anudarSanam:n:
ap:anudA,1796:anudA:n:
ap:anudfzwi,1808:anudfzwi:n:
ap:anudeyI,1797:anudeyI:n:
ap:anudErGya,1810:anudErGya:n:
ap:anuddaS,1806:anuddaS:n:
ap:anudyoga,1820:anudyoga:n:
ap:anudrazwf,1809:anudrazwf:n:
ap:anuDyeya,1833:anuDyeya:n:
ap:anuDyE,1829:anuDyE:n:
ap:anunayin,1846:anunayin:n:
ap:anunAdaH,1835:anunAdaH:n:
ap:anunAyika,1849:anunAyika:n:
ap:anunAsika,1839:anunAsika:n:
ap:anupadavI,1872:anupadavI:n:
ap:anupadika,1869:anupadika:n:
ap:anupamardanam,1881:anupamardanam:n:
ap:anupameya,1880:anupameya:n:
ap:anupaskAra,1896:anupaskAra:n:
ap:anupaskfta,1895:anupaskfta:n:
ap:anupAtakam,1913:anupAtakam:n:
ap:anupAtam,1912:anupAtam:n:
ap:anupAtam,1912:anupAtam:n:
ap:anupAtin,1864:anupAtin:n:
ap:anupAnatka,1915:anupAnatka:n:
ap:anupAnam,1905:anupAnam:n:
ap:anupArSva,1918:anupArSva:n:
ap:anupAlaH,1916:anupAlaH:n:
ap:anupAlaH,1916:anupAlaH:n:
ap:anupAlanam,1908:anupAlanam:n:
ap:anuplavaH,1954:anuplavaH:n:
ap:anuplu,1953:anuplu:n:
ap:anubadDa,1956:anubadDa:n:
ap:anubanD,1955:anubanD:n:
ap:anuBartf,1986:anuBartf:n:
ap:anuBava,1969:anuBava:n:
ap:anuBavaH,1977:anuBavaH:n:
ap:anuBAjita,1970:anuBAjita:n:
ap:anuBAvin,1982:anuBAvin:n:
ap:anuBAzaRam,1971:anuBAzaRam:n:
ap:anuBf,1985:anuBf:n:
ap:anuBogaH,1975:anuBogaH:n:
ap:anumatiH,1993:anumatiH:n:
ap:anumatta,1989:anumatta:n:
ap:anumatta,1989:anumatta:n:
ap:anumad,1988:anumad:n:
ap:anumAtrA,2005:anumAtrA:n:
ap:anumAdya,1990:anumAdya:n:
ap:anumAsaH,2013:anumAsaH:n:
ap:anumitiH,2008:anumitiH:n:
ap:anumf,2017:anumf:n:
ap:anumeya,2010:anumeya:n:
ap:anuyAjaH,2027:anuyAjaH:n:
ap:anuyAtf,2022:anuyAtf:n:
ap:anuyugam,2031:anuyugam:n:
ap:anuyuj,2028:anuyuj:n:
ap:anuyojanam,2037:anuyojanam:n:
ap:anuyojya,2036:anuyojya:n:
ap:anuraktiH,2040:anuraktiH:n:
ap:anuraYj,2038:anuraYj:n:
ap:anurasaH,2051:anurasaH:n:
ap:anurasita,2050:anurasita:n:
ap:anurahasa,2053:anurahasa:n:
ap:anurAga,2044:anurAga:n:
ap:anurudDa,2060:anurudDa:n:
ap:anuruD,2059:anuruD:n:
ap:anurUpataH,2066:anurUpataH:n:
ap:anurodanam,2058:anurodanam:n:
ap:anulIna,2074:anulIna:n:
ap:anulepaH,2072:anulepaH:n:
ap:anuvaktf,2083:anuvaktf:n:
ap:anuvac,2082:anuvac:n:
ap:anuvartin,2128:anuvartin:n:
ap:anuvartman,2097:anuvartman:n:
ap:anuvahaH,2103:anuvahaH:n:
ap:anuvAkaH,2085:anuvAkaH:n:
ap:anuvAtaH,2104:anuvAtaH:n:
ap:anuvAdaH,2093:anuvAdaH:n:
ap:anuvAsita,2108:anuvAsita:n:
ap:anuvAsin,2101:anuvAsin:n:
ap:anuvittiH,2111:anuvittiH:n:
ap:anuvid,2109:anuvid:n:
ap:anuvidDa,2113:anuvidDa:n:
ap:anuviDa,2112:anuviDa:n:
ap:anuvizwamBaH,2125:anuvizwamBaH:n:
ap:anuvihita,2117:anuvihita:n:
ap:anuveDaH,2139:anuveDaH:n:
ap:anuvelam,2133:anuvelam:n:
ap:anuvellita,2134:anuvellita:n:
ap:anuveSaH,2121:anuveSaH:n:
ap:anuvrata,2147:anuvrata:n:
ap:anuvrAjya,2146:anuvrAjya:n:
ap:anuSayin,2164:anuSayin:n:
ap:anuSaraH,2150:anuSaraH:n:
ap:anuSAyin,2165:anuSAyin:n:
ap:anuSAlA,2152:anuSAlA:n:
ap:anuSiSuH,2160:anuSiSuH:n:
ap:anuSizwa,2157:anuSizwa:n:
ap:anuSravika,2175:anuSravika:n:
ap:anuSru,2173:anuSru:n:
ap:anuzaNgin,2182:anuzaNgin:n:
ap:anuzaYj,2177:anuzaYj:n:
ap:anuzWa,2190:anuzWa:n:
