skd:AbidDaH,3568:AbidDaH:n:
skd:ABIkzRaM,3590:ABIkzRaM:n:
skd:ABIraH,3584:ABIraH:n:
skd:AyuryogaH,3668:AyuryogaH:n:
skd:AyurvvedaH,3666:AyurvvedaH:n:
skd:ArGA,3725:ArGA:n:
skd:ArGyaM,3271:ArGyaM:n:
skd:AvarttanamaRiH,3810:AvarttanamaRiH:n:
skd:AvarttanI,3809:AvarttanI:n:
skd:ASI,3873:ASI:n:
skd:ASIH,3872:ASIH:n:
skd:ASritaH,3893:ASritaH:n:
skd:ASru,3877:ASru:n:
skd:ASru,3877:ASru:n:
skd:ASruH,3876:ASruH:n:
skd:AsaktaM,3915:AsaktaM:n:
skd:AsaktaH,3914:AsaktaH:n:
skd:AsuraM,3936:AsuraM:n:
skd:AsuraH,3935:AsuraH:n:
skd:iw,4075:iw:n:
skd:iwa,4074:iwa:n:
skd:indravfkzaH,4175:indravfkzaH:n:
skd:indravfdDA,4174:indravfdDA:n:
skd:izwiH,4261:izwiH:n:
skd:izwikA,4254:izwikA:n:
skd:izwuH,4265:izwuH:n:
skd:izWArTodyuktaH,4260:izWArTodyuktaH:n:
skd:IkzaRikA,4282:IkzaRikA:n:
skd:IKa,4279:IKa:n:
skd:utaplavanaM,4592:utaplavanaM:n:
skd:utAho,4462:utAho:n:
skd:utkalaM,4477:utkalaM:n:
skd:utkalaH,4476:utkalaH:n:
skd:utkuRaH,4484:utkuRaH:n:
skd:utkUwaM,4483:utkUwaM:n:
skd:udararogaH,4655:udararogaH:n:
skd:udaravyADiH,4654:udaravyADiH:n:
skd:udDataM,4733:udDataM:n:
skd:udDataH,4732:udDataH:n:
skd:udDAraM,4743:udDAraM:n:
skd:udDAraH,4742:udDAraH:n:
skd:upasaMhAraH,5023:upasaMhAraH:n:
skd:upasaMgrahaH,5020:upasaMgrahaH:n:
skd:upAMSu,5053:upAMSu:n:
skd:upAMSuH,5052:upAMSuH:n:
skd:uSI,5206:uSI:n:
skd:uSIk,5204:uSIk:n:
skd:UrvyaNgaM,5329:UrvyaNgaM:n:
skd:UrvvarA,5326:UrvvarA:n:
skd:fziproktA,5421:fziproktA:n:
skd:fzIkaH,5418:fzIkaH:n:
skd:E,5583:E:n:
skd:La,42199:La:n:
skd:ozWopamaPalA,5675:ozWopamaPalA:n:
skd:o~,5629:o~:n:
skd:OzmyaM,5733:OzmyaM:n:
skd:O~,5678:O~:n:
skd:kaMsodBavA,5754:kaMsodBavA:n:
skd:kaH,5740:kaH:n:
skd:kakudmatI,5763:kakudmatI:n:
skd:kakudmAn,5762:kakudmAn:n:
skd:kaYcikA,5876:kaYcikA:n:
skd:kaYcI,5864:kaYcI:n:
skd:kaRakadaRqakaM,6180:kaRakadaRqakaM:n:
skd:kaRagugguluH,6021:kaRagugguluH:n:
skd:kaRWapASakaH,6085:kaRWapASakaH:n:
skd:kaRWaPalaH,6070:kaRWaPalaH:n:
skd:kaRWekAlaH,6096:kaRWekAlaH:n:
skd:kaRWyaH,6088:kaRWyaH:n:
skd:kaRWyaH,6088:kaRWyaH:n:
skd:kaRqakinI,6056:kaRqakinI:n:
skd:kanqarpamuzalaH,6225:kanqarpamuzalaH:n:
skd:kantuH,6203:kantuH:n:
skd:kapilAkzI,6317:kapilAkzI:n:
skd:kapilADArA,6314:kapilADArA:n:
skd:kam,6370:kam:n:
skd:kama,6368:kama:n:
skd:karRajit,6617:karRajit:n:
skd:karRat,6606:karRat:n:
skd:kartftvaM,6671:kartftvaM:n:
skd:kartta,6662:kartta:n:
skd:karmmakzamaH,6741:karmmakzamaH:n:
skd:karmmajaH,6718:karmmajaH:n:
skd:karmmendriyaM,6748:karmmendriyaM:n:
skd:karmmoraH,6747:karmmoraH:n:
skd:karvvarI,6754:karvvarI:n:
skd:karvvuraH,6753:karvvuraH:n:
skd:kalahaMsaH,6827:kalahaMsaH:n:
skd:kalahaH,6825:kalahaH:n:
skd:kavivAlmIkiH,6957:kavivAlmIkiH:n:
skd:kavivedI,6953:kavivedI:n:
skd:kARqavAn,7182:kARqavAn:n:
skd:kARqavAriRI,7179:kARqavAriRI:n:
skd:kAmavfkzaH,7305:kAmavfkzaH:n:
skd:kAmavfdDiH,7303:kAmavfdDiH:n:
skd:kAramihikA,7380:kAramihikA:n:
skd:kAramBA,7372:kAramBA:n:
skd:kArpAsaM,7417:kArpAsaM:n:
skd:kArpAsaH,7416:kArpAsaH:n:
skd:kiriwI,7736:kiriwI:n:
skd:kirIwaH,7735:kirIwaH:n:
skd:kukkuwamastakaM,7846:kukkuwamastakaM:n:
skd:kukkuwavrataM,7844:kukkuwavrataM:n:
skd:kuYjarakzAramUlaM,7897:kuYjarakzAramUlaM:n:
skd:kuYjarapippalI,7896:kuYjarapippalI:n:
skd:kuddAlaH,8045:kuddAlaH:n:
skd:kudmalaM,7954:kudmalaM:n:
skd:kulanakzatraM,8240:kulanakzatraM:n:
skd:kulanAyikA,8239:kulanAyikA:n:
skd:kuSalapraSnaH,8343:kuSalapraSnaH:n:
skd:kuSalavO,8342:kuSalavO:n:
skd:kUwapAlakaH,8463:kUwapAlakaH:n:
skd:kUwapUrvvaM,8462:kUwapUrvvaM:n:
skd:kUwasAkzI,8469:kUwasAkzI:n:
skd:kUwasTaM,8468:kUwasTaM:n:
skd:kUwasTaM,8468:kUwasTaM:n:
skd:kUwasTaH,8467:kUwasTaH:n:
skd:kfzRapakzaH,8693:kfzRapakzaH:n:
skd:kfzRaparRI,8692:kfzRaparRI:n:
skd:kfzRavarvvarakaH,8724:kfzRavarvvarakaH:n:
skd:kfzRavallikA,8723:kfzRavallikA:n:
skd:kfzRavallikA,8723:kfzRavallikA:n:
skd:kfzRavallI,8722:kfzRavallI:n:
skd:koqIkftiH,9306:koqIkftiH:n:
skd:koRaH,8985:koRaH:n:
skd:kozeyaM,9152:kozeyaM:n:
skd:kozWaH,9061:kozWaH:n:
skd:kriyAvAdI,9255:kriyAvAdI:n:
skd:kriyAvAn,9254:kriyAvAn:n:
skd:klIvaH,9360:klIvaH:n:
skd:klIvakaM,9356:klIvakaM:n:
skd:kzadrakaRwakArI,9635:kzadrakaRwakArI:n:
skd:kzantA,9426:kzantA:n:
skd:kzAramelakaH,9491:kzAramelakaH:n:
skd:kzAravfkzaH,9486:kzAravfkzaH:n:
skd:kzIrakaRwakaH,9558:kzIrakaRwakaH:n:
skd:kzIrakaRWaH,9557:kzIrakaRWaH:n:
skd:kzIrakzavaH,9594:kzIrakzavaH:n:
skd:kzIrajaM,9566:kzIrajaM:n:
skd:kzud,9631:kzud:n:
skd:kzuda,9630:kzuda:n:
skd:kzudrakAralikA,9639:kzudrakAralikA:n:
skd:kzudrakAravellI,9638:kzudrakAravellI:n:
skd:kzudratulasI,9655:kzudratulasI:n:
skd:kzudratvaM,9654:kzudratvaM:n:
skd:kzudravArttAkinI,9678:kzudravArttAkinI:n:
skd:kzudravArttAkI,9677:kzudravArttAkI:n:
skd:kzuDABijananaH,9718:kzuDABijananaH:n:
skd:kzuDArttaH,9717:kzuDArttaH:n:
skd:kzupaqoqamuzwiH,9727:kzupaqoqamuzwiH:n:
skd:kzupAluH,9726:kzupAluH:n:
skd:kzetrajIvaH,9779:kzetrajIvaH:n:
skd:kzetrajYaH,9763:kzetrajYaH:n:
skd:KadarikA,10023:KadarikA:n:
skd:KadikA,10018:KadikA:n:
skd:KedinI,10251:KedinI:n:
skd:KemaRiH,10041:KemaRiH:n:
skd:gajitaH,10667:gajitaH:n:
skd:gajezwA,10346:gajezwA:n:
skd:gaqadeSajaM,10358:gaqadeSajaM:n:
skd:gaqayantaH,10356:gaqayantaH:n:
skd:gaqqakaH,10367:gaqqakaH:n:
skd:gaqqarikA,10366:gaqqarikA:n:
skd:garalAriH,10637:garalAriH:n:
skd:garavrataH,10634:garavrataH:n:
skd:garumarddalaH,11085:garumarddalaH:n:
skd:gargaH,10654:gargaH:n:
skd:garddaBarSAKI,10676:garddaBarSAKI:n:
skd:garddaBaSAkaH,10674:garddaBaSAkaH:n:
skd:gArBiRaM,10865:gArBiRaM:n:
skd:gArmBIryyaM,10847:gArmBIryyaM:n:
skd:gfhameDinI,11206:gfhameDinI:n:
skd:gfhameDI,11205:gfhameDI:n:
skd:goGftaM,11275:goGftaM:n:
skd:goGnaH,11274:goGnaH:n:
skd:GarmmAntakAmukI,11764:GarmmAntakAmukI:n:
skd:Garvva,11759:Garvva:n:
skd:GulaGulAravaH,11816:GulaGulAravaH:n:
skd:GulaYcaH,11815:GulaYcaH:n:
skd:cakrasaMvaraH,11958:cakrasaMvaraH:n:
skd:cakrasaMjYaM,11957:cakrasaMjYaM:n:
skd:cakzuHSravAH,11980:cakzuHSravAH:n:
skd:cakzurvvahanaM,11979:cakzurvvahanaM:n:
skd:catustriMSajjAtajYaH,12106:catustriMSajjAtajYaH:n:
skd:catustriMSat,12105:catustriMSat:n:
skd:catustriMSat,12105:catustriMSat:n:
skd:catussamaM,12104:catussamaM:n:
skd:candanaM,12122:candanaM:n:
skd:candanaH,12121:candanaH:n:
skd:camba,12234:camba:n:
skd:camyAluH,12229:camyAluH:n:
skd:carmma,12277:carmma:n:
skd:carmmaM,12276:carmmaM:n:
skd:carmmataraNgaH,12291:carmmataraNgaH:n:
skd:carmmadaRqaH,12289:carmmadaRqaH:n:
skd:cAndramAsaH,12400:cAndramAsaH:n:
skd:cAndrAKyaM,12396:cAndrAKyaM:n:
skd:ciYcAsAraH,12492:ciYcAsAraH:n:
skd:ciYcI,12490:ciYcI:n:
skd:cit,12499:cit:n:
skd:cita,12496:cita:n:
skd:cumbanaM,12732:cumbanaM:n:
skd:cuMbraM,12729:cuMbraM:n:
skd:cullI,12747:cullI:n:
skd:cuva,12728:cuva:n:
skd:cella,12811:cella:n:
skd:cevI,12804:cevI:n:
skd:CardanaH,12933:CardanaH:n:
skd:Cardda,12930:Cardda:n:
skd:CAyAmfgaDaraH,12981:CAyAmfgaDaraH:n:
skd:CAyAvyavahAraH,12978:CAyAvyavahAraH:n:
skd:jagatI,13059:jagatI:n:
skd:jagatkarttA,13056:jagatkarttA:n:
skd:jattuH,13314:jattuH:n:
skd:jatru,13138:jatru:n:
skd:jam,13225:jam:n:
skd:jama,13224:jama:n:
skd:jambu,13235:jambu:n:
skd:jambuH,13234:jambuH:n:
skd:jaraRadrumaH,13283:jaraRadrumaH:n:
skd:jaraRA,13282:jaraRA:n:
skd:jaratI,13289:jaratI:n:
skd:jaratkAruH,13286:jaratkAruH:n:
skd:jalabindujA,13412:jalabindujA:n:
skd:jalabudbudaM,13381:jalabudbudaM:n:
skd:jalArRavaH,13446:jalArRavaH:n:
skd:jalArdraH,13444:jalArdraH:n:
skd:jalOkA,13480:jalOkA:n:
skd:jalOkAH,13479:jalOkAH:n:
skd:jahAnakaH,13505:jahAnakaH:n:
skd:jahilaH,13316:jahilaH:n:
skd:jAtarUpaM,13544:jAtarUpaM:n:
skd:jAtavedAH,13543:jAtavedAH:n:
skd:jfmBiRI,13819:jfmBiRI:n:
skd:jfmBitaM,13818:jfmBitaM:n:
skd:jyotizkA,13907:jyotizkA:n:
skd:jyotizkAH,13906:jyotizkAH:n:
skd:waWaWaM,14079:waWaWaM:n:
skd:wala,14054:wala:n:
skd:QAmarA,14150:QAmarA:n:
skd:QAlaM,14148:QAlaM:n:
skd:tagdozAriH,15730:tagdozAriH:n:
skd:taNkaH,14217:taNkaH:n:
skd:tati,14265:tati:n:
skd:tatiH,14264:tatiH:n:
skd:tantuniryAsaH,14340:tantuniryAsaH:n:
skd:tantuparvva,14338:tantuparvva:n:
skd:tAlapralambaM,14787:tAlapralambaM:n:
skd:tAlaBft,14786:tAlaBft:n:
skd:tITarAjI,15004:tITarAjI:n:
skd:tIma,14991:tIma:n:
skd:trivftA,15628:trivftA:n:
skd:trivftkaraRaM,15626:trivftkaraRaM:n:
skd:tvadIyaM,15741:tvadIyaM:n:
skd:tvanca,15739:tvanca:n:
skd:daMzwrI,15783:daMzwrI:n:
skd:daH,15773:daH:n:
skd:dattAnapakarmma,15874:dattAnapakarmma:n:
skd:dattApradAnikaM,15872:dattApradAnikaM:n:
skd:dantAyuDaH,15955:dantAyuDaH:n:
skd:dantArbbudaM,15954:dantArbbudaM:n:
skd:darvvawaH,16046:darvvawaH:n:
skd:darvvarIkaH,16045:darvvarIkaH:n:
skd:dasrasUH,16148:dasrasUH:n:
skd:dasrO,16146:dasrO:n:
skd:dArA,16239:dArA:n:
skd:dArAH,16238:dArAH:n:
skd:dikpAlaH,16331:dikpAlaH:n:
skd:dikvaH,16325:dikvaH:n:
skd:divAnDakI,16392:divAnDakI:n:
skd:divAnDA,16391:divAnDA:n:
skd:dizwyA,16444:dizwyA:n:
skd:dizWaH,16441:dizWaH:n:
skd:dIGatimizA,16530:dIGatimizA:n:
skd:dIdiviH,16455:dIdiviH:n:
skd:dugDabIjA,16632:dugDabIjA:n:
skd:dugDam,16623:dugDam:n:
skd:durdurUwaH,16698:durdurUwaH:n:
skd:durddinaM,16697:durddinaM:n:
skd:durdDurUwaH,16703:durdDurUwaH:n:
skd:durdritA,16699:durdritA:n:
skd:devajIvI,17028:devajIvI:n:
skd:devawaH,16938:devawaH:n:
skd:dyunivAsI,17211:dyunivAsI:n:
skd:dyuniSaM,17210:dyuniSaM:n:
skd:dravatpatrI,17248:dravatpatrI:n:
skd:dravatvaM,17247:dravatvaM:n:
skd:drARaH,17267:drARaH:n:
skd:drADimA,17264:drADimA:n:
skd:droRaduDA,17337:droRaduDA:n:
skd:droRaDA,17335:droRaDA:n:
skd:droRAyanaH,17354:droRAyanaH:n:
skd:droRiH,17344:droRiH:n:
skd:DarmmasAraH,17709:DarmmasAraH:n:
skd:DarmmasAvarRiH,17708:DarmmasAvarRiH:n:
skd:DImatI,17875:DImatI:n:
skd:DImAn,17874:DImAn:n:
skd:DIvarI,17887:DIvarI:n:
skd:DIvA,17885:DIvA:n:
skd:nakrA,18155:nakrA:n:
skd:nakva,18142:nakva:n:
skd:naramAnikA,18399:naramAnikA:n:
skd:naramAninI,18398:naramAninI:n:
skd:nikzepaH,19420:nikzepaH:n:
skd:niKarbbaM,18854:niKarbbaM:n:
skd:nirJariRI,19106:nirJariRI:n:
skd:nirJarI,19104:nirJarI:n:
skd:nirmuwaH,19152:nirmuwaH:n:
skd:nirmmadaH,19140:nirmmadaH:n:
skd:nirvyUQaM,19198:nirvyUQaM:n:
skd:nirvvapaRaM,19168:nirvvapaRaM:n:
skd:nizWevanaM,19350:nizWevanaM:n:
skd:nizWyUtaM,19347:nizWyUtaM:n:
skd:nistfhaH,19401:nistfhaH:n:
skd:nistejAH,19392:nistejAH:n:
skd:nihiMsanaM,19412:nihiMsanaM:n:
skd:nihitaM,19411:nihitaM:n:
skd:nihrAdaH,19416:nihrAdaH:n:
skd:nihrutiH,19415:nihrutiH:n:
skd:pakzasundaraH,19768:pakzasundaraH:n:
skd:pakzAGAtaH,19754:pakzAGAtaH:n:
skd:pakzveqanA,22556:pakzveqanA:n:
skd:paNkaH,19782:paNkaH:n:
skd:paNkaruhaM,19796:paNkaruhaM:n:
skd:paNkarvvawaH,19783:paNkarvvawaH:n:
skd:paYcatanmAtraM,19867:paYcatanmAtraM:n:
skd:paYcatapAH,19865:paYcatapAH:n:
skd:pawarUpaH,20013:pawarUpaH:n:
skd:pawalaM,19985:pawalaM:n:
skd:paRqitamAnI,20071:paRqitamAnI:n:
skd:paRqitammanyaH,20070:paRqitammanyaH:n:
skd:patiMvarA,20105:patiMvarA:n:
skd:patiH,20103:patiH:n:
skd:patradArakaH,20132:patradArakaH:n:
skd:patraDanA,20126:patraDanA:n:
skd:parAk,20412:parAk:n:
skd:parAkaH,20411:parAkaH:n:
skd:parivarttikA,20568:parivarttikA:n:
skd:parivarhaH,20546:parivarhaH:n:
skd:parivfttiH,20587:parivfttiH:n:
skd:parivfhitaM,20584:parivfhitaM:n:
skd:parivedanIyA,20592:parivedanIyA:n:
