yat:alpavidya,3020:alpavidya:n:
yat:alpavizaya,3019:alpavizaya:n:
yat:alpaSaH,3022:alpaSaH:n:
yat:alpaSakti,3021:alpaSakti:n:
yat:avakapuzpI,3355:avakapuzpI:n:
yat:avakampita,3037:avakampita:n:
yat:avagamya,3075:avagamya:n:
yat:avagAQa,3074:avagAQa:n:
yat:avicCeda,3424:avicCeda:n:
yat:avicyuta,3422:avicyuta:n:
yat:avinirmoka,3450:avinirmoka:n:
yat:avinivarttin,3449:avinivarttin:n:
yat:aSuBaSasin,3629:aSuBaSasin:n:
yat:aSuzka,3624:aSuzka:n:
yat:aSEryya,3642:aSEryya:n:
yat:aSoka,3632:aSoka:n:
yat:aSnItarpivatIyat,3644:aSnItarpivatIyat:n:
yat:aSnuvAna,3643:aSnuvAna:n:
yat:aSrama,3674:aSrama:n:
yat:aSravaRa,3673:aSravaRa:n:
yat:aSvArohin,3751:aSvArohin:n:
yat:aSvAvarohaka,3750:aSvAvarohaka:n:
yat:azwamaNgala,3780:azwamaNgala:n:
yat:azwamAMSa,3777:azwamAMSa:n:
yat:azwAgArGya,3792:azwAgArGya:n:
yat:azwAMga,3789:azwAMga:n:
yat:asaMSakta,3817:asaMSakta:n:
yat:asaMSaya,3815:asaMSaya:n:
yat:asAmAnya,3964:asAmAnya:n:
yat:asAmAsika,3963:asAmAsika:n:
yat:asidDi,3992:asidDi:n:
yat:asiDArA,3990:asiDArA:n:
yat:astu,4085:astu:n:
yat:astutya,4084:astutya:n:
yat:astracikitsA,4095:astracikitsA:n:
yat:astracuYcu,4093:astracuYcu:n:
yat:asvana,4189:asvana:n:
yat:asvanta,4188:asvanta:n:
yat:asvADIna,4198:asvADIna:n:
yat:asvADyAya,4197:asvADyAya:n:
yat:ahiMsaka,4243:ahiMsaka:n:
yat:ahiMsA,4242:ahiMsA:n:
yat:AkASabartman,4332:AkASabartman:n:
yat:AkASaBAzita,4326:AkASaBAzita:n:
yat:AgamApAyin,4433:AgamApAyin:n:
yat:Agamita,4432:Agamita:n:
yat:Agamita,4432:Agamita:n:
yat:Agamya,4431:Agamya:n:
yat:ANgulika,4474:ANgulika:n:
yat:AMgnatretA,222:AMgnatretA:n:
yat:AYjaniya,4554:AYjaniya:n:
yat:AYjaneya,4553:AYjaneya:n:
yat:AwarUza,4557:AwarUza:n:
yat:Awavika,4556:Awavika:n:
yat:AtmagataM,4622:AtmagataM:n:
yat:AtmaguptA,4613:AtmaguptA:n:
yat:AtmamAt,4663:AtmamAt:n:
yat:AtmamAnin,4639:AtmamAnin:n:
yat:Atmavftti,4655:Atmavftti:n:
yat:AtmavfdDi,4653:AtmavfdDi:n:
yat:AdirAja,4720:AdirAja:n:
yat:AdivarAha,4718:AdivarAha:n:
yat:AdyantAntaravarttin,44824:AdyantAntaravarttin:n:
yat:AdyamAnin,44784:AdyamAnin:n:
yat:Anulomika,4829:Anulomika:n:
yat:Anulomya,4828:Anulomya:n:
yat:AntarIkza,4844:AntarIkza:n:
yat:AntargaRika,4843:AntargaRika:n:
yat:AnDra,4855:AnDra:n:
yat:Anna,4854:Anna:n:
yat:ApadA,4876:ApadA:n:
yat:Apadgrasta,4874:Apadgrasta:n:
yat:AptagarBA,4909:AptagarBA:n:
yat:Aptagarvva,4908:Aptagarvva:n:
yat:AmayAvitva,4975:AmayAvitva:n:
yat:AmayAvin,4974:AmayAvin:n:
yat:Ayallaka,5051:Ayallaka:n:
yat:Ayavyaya,5050:Ayavyaya:n:
yat:Ayu,5063:Ayu:n:
yat:AyuHSeza,5062:AyuHSeza:n:
yat:ArttvijIRa,5155:ArttvijIRa:n:
yat:Arttvijya,5153:Arttvijya:n:
yat:ArdDika,5169:ArdDika:n:
yat:Ardra,5157:Ardra:n:
yat:AsADana,5431:AsADana:n:
yat:AsAnI,5423:AsAnI:n:
yat:AsvAdita,5491:AsvAdita:n:
yat:AsvAnta,5488:AsvAnta:n:
yat:ita,5613:ita:n:
yat:itaHitas,5612:itaHitas:n:
yat:idaMkAryyA,5639:idaMkAryyA:n:
yat:idam,5638:idam:n:
yat:indrapurohitA,5697:indrapurohitA:n:
yat:indrapuzpA,5696:indrapuzpA:n:
yat:indravfdDA,5712:indravfdDA:n:
yat:indravrata,5711:indravrata:n:
yat:ilbakA,5786:ilbakA:n:
yat:illala,5784:illala:n:
yat:IzatpralamBa,5903:IzatpralamBa:n:
yat:Izatsmaya,5887:Izatsmaya:n:
yat:ukzita,5943:ukzita:n:
yat:ukzukzati,5938:ukzukzati:n:
yat:ucciNgawa,6000:ucciNgawa:n:
yat:uccita,5998:uccita:n:
yat:ucCUsa,6040:ucCUsa:n:
yat:ucCUsana,6038:ucCUsana:n:
yat:ucCUsita,6039:ucCUsita:n:
yat:ucCfNKala,6027:ucCfNKala:n:
yat:utikzaptikA,6137:utikzaptikA:n:
yat:utka,6088:utka:n:
yat:uttarADikAritA,6201:uttarADikAritA:n:
yat:uttarADikArin,6200:uttarADikArin:n:
yat:uttAnagati,6220:uttAnagati:n:
yat:uttAnagA,6219:uttAnagA:n:
yat:utsakatA,6329:utsakatA:n:
yat:utsaNga,6303:utsaNga:n:
yat:udGawwita,6477:udGawwita:n:
yat:udGana,6475:udGana:n:
yat:udBAsita,6557:udBAsita:n:
yat:udBAsina,6556:udBAsina:n:
yat:upakxpta,6708:upakxpta:n:
yat:upakrantf,6702:upakrantf:n:
yat:upajAnvaratni,6750:upajAnvaratni:n:
yat:upajApa,6745:upajApa:n:
yat:upaDAryya,44922:upaDAryya:n:
yat:upaDAvana,44921:upaDAvana:n:
yat:upama,6841:upama:n:
yat:upamardda,6839:upamardda:n:
yat:uparatarAsa,44928:uparatarAsa:n:
yat:uparatavizayABilAza,44927:uparatavizayABilAza:n:
yat:uparija,6877:uparija:n:
yat:uparitana,6868:uparitana:n:
yat:upasaMhfti,6946:upasaMhfti:n:
yat:upasaMkzepa,6938:upasaMkzepa:n:
yat:upasTanigraha,6973:upasTanigraha:n:
yat:upasTapatra,6972:upasTapatra:n:
yat:upAgni,7012:upAgni:n:
yat:upAgrahaRa,7011:upAgrahaRa:n:
yat:uptima,7080:uptima:n:
yat:uptivid,7079:uptivid:n:
yat:uraHsUtrikA,7111:uraHsUtrikA:n:
yat:uraHsTala,7110:uraHsTala:n:
yat:uraBra,7122:uraBra:n:
yat:urarati,7112:urarati:n:
yat:ulba,7211:ulba:n:
yat:ulmuka,7186:ulmuka:n:
yat:ullAdya,7200:ullAdya:n:
yat:ullApa,7199:ullApa:n:
yat:uzmAgama,7269:uzmAgama:n:
yat:uzya,7235:uzya:n:
yat:UrjitASraya,7306:UrjitASraya:n:
yat:Urjjasvat,7302:Urjjasvat:n:
yat:fkzezwi,7394:fkzezwi:n:
yat:fksaMhitA,7386:fksaMhitA:n:
yat:fjvAyata,7413:fjvAyata:n:
yat:fYjasAna,7412:fYjasAna:n:
yat:ftuliNga,7451:ftuliNga:n:
yat:ftuvftti,7449:ftuvftti:n:
yat:fz,7471:fz:n:
yat:fza,7470:fza:n:
yat:x,7494:x:n:
yat:xYc,32622:xYc:n:
yat:evambiDa,7689:evambiDa:n:
