acc:nyAyaSiKAmaRi,12393:nyAyaSiKAmaRi:n:
acc:nyAyasudarSana,44531:nyAyasudarSana:n:
acc:nyAyasuDA,12422:nyAyasuDA:n:
acc:nyAyasUtrodDAra,44533:nyAyasUtrodDAra:n:
acc:nyAyasvarUpanirUpaRa,12426:nyAyasvarUpanirUpaRa:n:
acc:nyAyAdarSa,44534:nyAyAdarSa:n:
acc:nyAyADvadIpikA,12428:nyAyADvadIpikA:n:
acc:nyAyAmAlAvEyAsikI,34255:nyAyAmAlAvEyAsikI:n:
acc:nyAyAmfta,12429:nyAyAmfta:n:
acc:nyAyArTamaYjUzA,34278:nyAyArTamaYjUzA:n:
acc:nyAyArTalaGuboDinI,12431:nyAyArTalaGuboDinI:n:
acc:nyAsapadDati,34281:nyAsapadDati:n:
acc:nyAsaprakaraRa,12443:nyAsaprakaraRa:n:
acc:nyAsaviMSatiwIkA,44537:nyAsaviMSatiwIkA:n:
acc:nyAsavidyAdarpaRa,12445:nyAsavidyAdarpaRa:n:
acc:nyAsAdeSavivaraRa,31116:nyAsAdeSavivaraRa:n:
acc:nyAsoddyota,12450:nyAsoddyota:n:
acc:pakzatAkroqapattra,34284:pakzatAkroqapattra:n:
acc:pakzatAgranTarahasya,12453:pakzatAgranTarahasya:n:
acc:pakzatApUrvapakzagranTakroqa,12457:pakzatApUrvapakzagranTakroqa:n:
acc:pakzatApUrvapakzagranTawIkA,12456:pakzatApUrvapakzagranTawIkA:n:
acc:pakzatAvicAra,40344:pakzatAvicAra:n:
acc:pakzatAsidDAntagranTakroqa,12469:pakzatAsidDAntagranTakroqa:n:
acc:pakzatAsidDAntagranTakroqa,12469:pakzatAsidDAntagranTakroqa:n:
acc:pakzatAsidDAntagranTawIkA,12468:pakzatAsidDAntagranTawIkA:n:
acc:pakzitIrTamAhAtmya,44541:pakzitIrTamAhAtmya:n:
acc:pakzimanuzyAlayalakzaRa,12488:pakzimanuzyAlayalakzaRa:n:
acc:pakzirAjakavaca,44542:pakzirAjakavaca:n:
acc:pakzilasvAmin,12489:pakzilasvAmin:n:
acc:paYcakroSIyAtrA,44545:paYcakroSIyAtrA:n:
acc:paYcakroSIyAtrAviDi,12512:paYcakroSIyAtrAviDi:n:
acc:paYcagavyaviDi,34295:paYcagavyaviDi:n:
acc:paYcagOqabrAhmaRajAti,12515:paYcagOqabrAhmaRajAti:n:
acc:paYcacakrapUjana,34296:paYcacakrapUjana:n:
acc:paYcacAmara,12518:paYcacAmara:n:
acc:paYcatattvanirUpaRa,40345:paYcatattvanirUpaRa:n:
acc:paYcatattvaprakASa,12522:paYcatattvaprakASa:n:
acc:paYcatArAspazwIkaraRasAraRI,34299:paYcatArAspazwIkaraRasAraRI:n:
acc:paYcatriMSacClokI,12527:paYcatriMSacClokI:n:
acc:paYcadaSayantramAhAtmya,34300:paYcadaSayantramAhAtmya:n:
acc:paYcadaSavarRamAlikA,12531:paYcadaSavarRamAlikA:n:
acc:paYcadaSANkayantra,44549:paYcadaSANkayantra:n:
acc:paYcadaSI,12532:paYcadaSI:n:
acc:paYcadaSItiTiH,44551:paYcadaSItiTiH:n:
acc:paYcadaSIprakaraRa,12534:paYcadaSIprakaraRa:n:
acc:paYcadaSIviDAna,34303:paYcadaSIviDAna:n:
acc:paYcadaSIviveka,12536:paYcadaSIviveka:n:
acc:paYcaDAputradozanivAraRaviDi,44552:paYcaDAputradozanivAraRaviDi:n:
acc:paYcaDAbanDyAprakASa,12539:paYcaDAbanDyAprakASa:n:
acc:paYcapakzinirUpaRa,34304:paYcapakzinirUpaRa:n:
acc:paYcapakzipraSnagranTa,12545:paYcapakzipraSnagranTa:n:
acc:paYcapakziSakuna,34305:paYcapakziSakuna:n:
acc:paYcapakziSAstra,12546:paYcapakziSAstra:n:
acc:paYcapadI,34309:paYcapadI:n:
acc:paYcapadIvivfti,12552:paYcapadIvivfti:n:
acc:paYcapAdikAvivaraRa,40350:paYcapAdikAvivaraRa:n:
acc:paYcapAdI,12557:paYcapAdI:n:
acc:paYcamakAraSoDanaviDi,44557:paYcamakAraSoDanaviDi:n:
acc:paYcamavilAsa,12572:paYcamavilAsa:n:
acc:paYcamahAyajYaprayoga,34313:paYcamahAyajYaprayoga:n:
acc:paYcamahAyajYaviDi,12574:paYcamahAyajYaviDi:n:
acc:paYcamASramaviDi,34314:paYcamASramaviDi:n:
acc:paYcamiTyAtvawIkA,12575:paYcamiTyAtvawIkA:n:
acc:paYcamIvratodyApana,34315:paYcamIvratodyApana:n:
acc:paYcamIsADana,12579:paYcamIsADana:n:
acc:paYcamudrAprakaraRa,44562:paYcamudrAprakaraRa:n:
acc:paYcayAmala,34318:paYcayAmala:n:
acc:paYcayAmala,34318:paYcayAmala:n:
acc:paYcarakzA,12583:paYcarakzA:n:
acc:paYcaratnastotra,44564:paYcaratnastotra:n:
acc:paYcaratnAkarastotra,12591:paYcaratnAkarastotra:n:
acc:paYcavaktrapUjA,34326:paYcavaktrapUjA:n:
acc:paYcavaktrastotra,12609:paYcavaktrastotra:n:
acc:paYcavAda,44568:paYcavAda:n:
acc:paYcavAdakroqapattra,12612:paYcavAdakroqapattra:n:
acc:paYcaviDAna,44570:paYcaviDAna:n:
acc:paYcaSatI,12619:paYcaSatI:n:
acc:paYcaSlokitAjika,34328:paYcaSlokitAjika:n:
acc:paYcaSlokI,12624:paYcaSlokI:n:
acc:paYcasaMskArapramARaviDi,34331:paYcasaMskArapramARaviDi:n:
acc:paYcasaMskAraprayoga,12627:paYcasaMskAraprayoga:n:
acc:paYcasUtrIviDAna,44574:paYcasUtrIviDAna:n:
acc:paYcastava,12638:paYcastava:n:
acc:paYcasvara,44576:paYcasvara:n:
acc:paYcasvarA,12642:paYcasvarA:n:
acc:paYcAkaraRavArttika,34357:paYcAkaraRavArttika:n:
acc:paYcAkzara,12643:paYcAkzara:n:
acc:paYcAkzaraguru,44577:paYcAkzaraguru:n:
acc:paYcAkzaramAhAtmya,12645:paYcAkzaramAhAtmya:n:
acc:paYcAkzarImuktAvalI,34340:paYcAkzarImuktAvalI:n:
acc:paYcAkzarIyantropadeSa,12646:paYcAkzarIyantropadeSa:n:
acc:paYcAgniviDi,34342:paYcAgniviDi:n:
acc:paYcANga,12651:paYcANga:n:
acc:paYcANgadIpaka,44580:paYcANgadIpaka:n:
acc:paYcANganirRayakOmudI,34345:paYcANganirRayakOmudI:n:
acc:paYcANgapattraracanA,34346:paYcANgapattraracanA:n:
acc:paYcANgaPala,12656:paYcANgaPala:n:
acc:paYcANgarudrARAMnyAsapUrvakaMjapahomArcanABizekaviDiH,44581:paYcANgarudrARAMnyAsapUrvakaMjapahomArcanABizekaviDiH:n:
acc:paYcANgavidyADarI,34347:paYcANgavidyADarI:n:
acc:paYcANgavidyADarI,34347:paYcANgavidyADarI:n:
acc:paYcANgavinoda,12660:paYcANgavinoda:n:
acc:paYcADyAyopadeSa,34349:paYcADyAyopadeSa:n:
acc:paYcAnana,12671:paYcAnana:n:
acc:paYcAmftIkaraRa,34350:paYcAmftIkaraRa:n:
acc:paYcAyatanapadDati,12676:paYcAyatanapadDati:n:
acc:paYcAyatanapUjA,34351:paYcAyatanapUjA:n:
acc:paYcAyatanATarvaRaSIrzopanizad,12677:paYcAyatanATarvaRaSIrzopanizad:n:
acc:paYcASanniGaRwusAra,44582:paYcASanniGaRwusAra:n:
acc:paYcASikA,12685:paYcASikA:n:
acc:paYcolaAcArya,40364:paYcolaAcArya:n:
acc:paYcolI,12703:paYcolI:n:
acc:pawalasAra,44585:pawalasAra:n:
acc:pawu,12706:pawu:n:
acc:pawwavarDanamahAdevaBawwa,17104:pawwavarDanamahAdevaBawwa:n:
acc:pawwABirAmawippaRI,12709:pawwABirAmawippaRI:n:
acc:pawwABirAmawippaRI,12709:pawwABirAmawippaRI:n:
acc:pawwABirAmaSAstrin,12708:pawwABirAmaSAstrin:n:
acc:pawwABizekaviDi,34358:pawwABizekaviDi:n:
acc:pawwuBawwa,12711:pawwuBawwa:n:
acc:paRinIyaSikzA,40399:paRinIyaSikzA:n:
acc:paRwakerala,12714:paRwakerala:n:
acc:paRqitajonaka,8181:paRqitajonaka:n:
acc:paRqitaparitoza,12716:paRqitaparitoza:n:
acc:paRqitapAjaka,13265:paRqitapAjaka:n:
acc:paRqitapraSnottara,12717:paRqitapraSnottara:n:
acc:paRqitamadDaka,16685:paRqitamadDaka:n:
acc:paRqitarAja,12718:paRqitarAja:n:
acc:paRqitarUpadevakavi,20635:paRqitarUpadevakavi:n:
acc:paRqitavEvya,12721:paRqitavEvya:n:
acc:paRqitaSrIbaka,26151:paRqitaSrIbaka:n:
acc:paRqitasarvasva,12724:paRqitasarvasva:n:
acc:pattrapraSastikA,34362:pattrapraSastikA:n:
acc:pattrAvalambana,12737:pattrAvalambana:n:
acc:pattrAvalAmbana,34363:pattrAvalAmbana:n:
acc:paTyaviDAna,12738:paTyaviDAna:n:
acc:paTyApaTyaDanvantarIya,44589:paTyApaTyaDanvantarIya:n:
acc:paTyApaTyaniGaRwu,12740:paTyApaTyaniGaRwu:n:
acc:paTyApaTyavicAra,44591:paTyApaTyavicAra:n:
acc:paTyApaTyaviDAna,12742:paTyApaTyaviDAna:n:
acc:paTyApaTyADikAra,44594:paTyApaTyADikAra:n:
acc:padakArikAratnamAlA,12746:padakArikAratnamAlA:n:
acc:padaratnamUla,34374:padaratnamUla:n:
acc:padaratnAvalI,12772:padaratnAvalI:n:
acc:padavyavasTAsUtrakArikA,44597:padavyavasTAsUtrakArikA:n:
acc:padasaMdarBa,12777:padasaMdarBa:n:
acc:padAdivikftayaH,44599:padAdivikftayaH:n:
acc:padADyAhAravAda,12779:padADyAhAravAda:n:
acc:padAntadIpinI,44600:padAntadIpinI:n:
acc:padAntAdi,12780:padAntAdi:n:
acc:padABinayamaYjarI,34377:padABinayamaYjarI:n:
acc:padAmnAyasidDi,12781:padAmnAyasidDi:n:
acc:padArTatattvanirRayavivaraRa,34379:padArTatattvanirRayavivaraRa:n:
acc:padArTatattvavivecana,12795:padArTatattvavivecana:n:
acc:padArTapraveSanirRayawIkA,34382:padArTapraveSanirRayawIkA:n:
acc:padArTaboDa,12808:padArTaboDa:n:
acc:padDatikalpavallI,34386:padDatikalpavallI:n:
acc:padDaticandrikA,12828:padDaticandrikA:n:
acc:padDatiratnawIkA,44609:padDatiratnawIkA:n:
acc:padDatiratnamAlA,34388:padDatiratnamAlA:n:
acc:padDatiratnamAlA,34388:padDatiratnamAlA:n:
acc:padDatisAra,12833:padDatisAra:n:
acc:padmanABadatta,12859:padmanABadatta:n:
acc:padmanABadIkzita,12856:padmanABadIkzita:n:
acc:padmanABanibanDa,34400:padmanABanibanDa:n:
acc:padmanABaBawwa,12844:padmanABaBawwa:n:
acc:padmanABamiSra,34397:padmanABamiSra:n:
acc:padmapaRqita,12860:padmapaRqita:n:
acc:padmapuzpAYjaliBavAnIstotra,44617:padmapuzpAYjaliBavAnIstotra:n:
acc:padmapuzpAYjalistotra,12864:padmapuzpAYjalistotra:n:
acc:padmalalitA,44618:padmalalitA:n:
acc:padmalIlAvilAsinIkaraRagranTa,12868:padmalIlAvilAsinIkaraRagranTa:n:
acc:padmAkaradeva,12873:padmAkaradeva:n:
acc:padmAkaraBawwa,12872:padmAkaraBawwa:n:
acc:padmABAdraSuklA,44619:padmABAdraSuklA:n:
acc:padmAvatI,12877:padmAvatI:n:
acc:padmAvatyazwaka,44620:padmAvatyazwaka:n:
acc:padmopanizaddIpikA,12881:padmopanizaddIpikA:n:
acc:padyataraNgiRI,34408:padyataraNgiRI:n:
acc:padyatrayIvyAKyAna,12884:padyatrayIvyAKyAna:n:
acc:padyapaYjASikA,40376:padyapaYjASikA:n:
acc:padyapuzpAYjalistotra,34410:padyapuzpAYjalistotra:n:
acc:padyapuzpAYjalistotra,34410:padyapuzpAYjalistotra:n:
acc:padyaprasUnAYjali,12886:padyaprasUnAYjali:n:
acc:padyaveRI,34413:padyaveRI:n:
acc:padyaveRo,31121:padyaveRo:n:
acc:padyaveRo,31121:padyaveRo:n:
acc:padyaSataka,12890:padyaSataka:n:
acc:padyAbjamAlA,34415:padyAbjamAlA:n:
acc:padyAmftataraNgiRI,12893:padyAmftataraNgiRI:n:
acc:paratattvAYjana,44627:paratattvAYjana:n:
acc:paratantrahaMsopanizad,12907:paratantrahaMsopanizad:n:
acc:paradevatApUjApadDati,44628:paradevatApUjApadDati:n:
acc:paradevatAstuti,12909:paradevatAstuti:n:
acc:paradevatAstotra,44629:paradevatAstotra:n:
acc:paradevIsUkta,34420:paradevIsUkta:n:
acc:paradevIsUkta,34420:paradevIsUkta:n:
acc:parapraRava,12910:parapraRava:n:
acc:paramataKaRqana,34423:paramataKaRqana:n:
acc:paramataKaRqanasaMgraha,12920:paramataKaRqanasaMgraha:n:
acc:paramatattvaSivarahasyopanizad,44631:paramatattvaSivarahasyopanizad:n:
acc:paramataBaNga,12923:paramataBaNga:n:
acc:paramamahimnaHstotram,40379:paramamahimnaHstotram:n:
acc:paramarahasya,34425:paramarahasya:n:
acc:paramarahasya,34425:paramarahasya:n:
acc:paramarahasyajapasaMgraha,12930:paramarahasyajapasaMgraha:n:
acc:paramahaMsamantraviDi,44636:paramahaMsamantraviDi:n:
acc:paramahaMsasaMhitA,12950:paramahaMsasaMhitA:n:
acc:paramahaMsasaMnyAsaviDi,34432:paramahaMsasaMnyAsaviDi:n:
acc:paramahaMsasahasranAman,12951:paramahaMsasahasranAman:n:
acc:paramAcArya,34436:paramAcArya:n:
acc:paramAtmagatiprakASa,12958:paramAtmagatiprakASa:n:
acc:paramAdISvara,44640:paramAdISvara:n:
acc:paramAnanda,12964:paramAnanda:n:
acc:paramAnandaGana,34439:paramAnandaGana:n:
acc:paramAnandacakravartin,12967:paramAnandacakravartin:n:
acc:paramAnandatIrTa,44645:paramAnandatIrTa:n:
acc:paramAnandadAsa,12977:paramAnandadAsa:n:
acc:paramAnandanATa,12979:paramAnandanATa:n:
acc:paramAnandapAWaka,12966:paramAnandapAWaka:n:
acc:paramAnandamADavastava,34441:paramAnandamADavastava:n:
acc:paramAnandamiSra,34437:paramAnandamiSra:n:
acc:paramAnandamiSra,34437:paramAnandamiSra:n:
acc:paramAnandayogIndra,12969:paramAnandayogIndra:n:
acc:paramAnandaSarman,44642:paramAnandaSarman:n:
acc:paramAnandasarasvatI,12963:paramAnandasarasvatI:n:
acc:parameSAzwottarasahasranAman,44648:parameSAzwottarasahasranAman:n:
acc:parameSvara,13000:parameSvara:n:
acc:paravastuveNkawaraNga,46859:paravastuveNkawaraNga:n:
acc:paraSivamahimastotra,13015:paraSivamahimastotra:n:
acc:paraSivamahimnaHstotra,44650:paraSivamahimnaHstotra:n:
acc:paraSivendrasarasvatI,13016:paraSivendrasarasvatI:n:
acc:paraSurAmapratApa,13028:paraSurAmapratApa:n:
acc:paraSurAmamiSra,13018:paraSurAmamiSra:n:
acc:paraSurAmaSAstrin,34447:paraSurAmaSAstrin:n:
acc:paraSurAmasahasranAman,13029:paraSurAmasahasranAman:n:
acc:parANkuSAryayamin,34452:parANkuSAryayamin:n:
acc:parANkuSAzwaka,13036:parANkuSAzwaka:n:
acc:parAtantra,34454:parAtantra:n:
acc:parAtriMSikA,13039:parAtriMSikA:n:
acc:parAtriMSikAlaGuvftti,40384:parAtriMSikAlaGuvftti:n:
acc:parAdevIrahasyatantra,13040:parAdevIrahasyatantra:n:
acc:parAnandatantra,44652:parAnandatantra:n:
acc:parAnandapurARa,13041:parAnandapurARa:n:
acc:parAnizkalA,44653:parAnizkalA:n:
acc:parApUjA,13042:parApUjA:n:
acc:parAprasAdamahAmantra,44654:parAprasAdamahAmantra:n:
acc:parAmarSa,13044:parAmarSa:n:
acc:parAmarSawippaRi,44655:parAmarSawippaRi:n:
acc:parAmarSawippaRI,13049:parAmarSawippaRI:n:
acc:parAmarSapUrvapakzagranTakroqa,13051:parAmarSapUrvapakzagranTakroqa:n:
acc:parAmarSapUrvapakzagranTawIkA,13050:parAmarSapUrvapakzagranTawIkA:n:
acc:parAmarSasidDAntagranTakroqa,13062:parAmarSasidDAntagranTakroqa:n:
acc:parAmarSasidDAntagranTawIkA,13061:parAmarSasidDAntagranTawIkA:n:
acc:parAmarSahetutAvicAra,13067:parAmarSahetutAvicAra:n:
acc:parAmArTasAra,12994:parAmArTasAra:n:
acc:parArahasyesOBAgyacintAmaRiH,44659:parArahasyesOBAgyacintAmaRiH:n:
acc:parASara,13070:parASara:n:
acc:parASarajAtaka,34464:parASarajAtaka:n:
acc:parASaradaSAmArgajAta,13077:parASaradaSAmArgajAta:n:
acc:parASaraDarmaSAstra,44662:parASaraDarmaSAstra:n:
acc:parASarapadDatOjAtimAlA,34465:parASarapadDatOjAtimAlA:n:
acc:parASarapadDatOvarRajAtisaMkaramAlA,44663:parASarapadDatOvarRajAtisaMkaramAlA:n:
acc:parASarapurARa,13078:parASarapurARa:n:
acc:parASarapurARa,13078:parASarapurARa:n:
acc:parASaraBawwa,13075:parASaraBawwa:n:
acc:parASaropapurARa,44665:parASaropapurARa:n:
acc:parASivAmahiman,13090:parASivAmahiman:n:
acc:paritozamiSra,44666:paritozamiSra:n:
acc:parityAga,13093:parityAga:n:
acc:pariBAzAkaliNgadeSIyA,44667:pariBAzAkaliNgadeSIyA:n:
acc:pariBAzAkroqapattra,13098:pariBAzAkroqapattra:n:
acc:pariBAzApAWa,40387:pariBAzApAWa:n:
acc:pariBAzAprakaraRa,13102:pariBAzAprakaraRa:n:
acc:pariSizwAnukramaRI,44676:pariSizwAnukramaRI:n:
acc:pariSezaKaRqa,13150:pariSezaKaRqa:n:
acc:paryaNkASOcaviDi,34481:paryaNkASOcaviDi:n:
acc:paryAyapadamaYjarI,13162:paryAyapadamaYjarI:n:
acc:paryAyamaYjarI,34483:paryAyamaYjarI:n:
acc:paryAyamuktAvalI,13163:paryAyamuktAvalI:n:
acc:paryAyaSabdaratna,44678:paryAyaSabdaratna:n:
acc:paryAyaSastrARi,13166:paryAyaSastrARi:n:
acc:paryAyoktinizyanda,34486:paryAyoktinizyanda:n:
acc:parvakAlanirRaya,13168:parvakAlanirRaya:n:
acc:parvatanATa,34487:parvatanATa:n:
acc:parvatantraviDi,13170:parvatantraviDi:n:
acc:parvatavarDana,34488:parvatavarDana:n:
acc:parvanirRaya,13172:parvanirRaya:n:
acc:pallIpatanaviDi,40393:pallIpatanaviDi:n:
acc:pallIpatanaSarawaprarohaRayoHPalam,34490:pallIpatanaSarawaprarohaRayoHPalam:n:
acc:pallIpatanaSarawaprarohaRayoHPalam,34490:pallIpatanaSarawaprarohaRayoHPalam:n:
acc:pallIpatanaSAnti,13187:pallIpatanaSAnti:n:
acc:pallISarawayorviDAnam,40394:pallISarawayorviDAnam:n:
acc:pallISarawalakzaRa,34492:pallISarawalakzaRa:n:
acc:pallISarawalakzaRa,34492:pallISarawalakzaRa:n:
acc:pallISarawaviDAna,13193:pallISarawaviDAna:n:
acc:pavanapAvanaprayoga,34493:pavanapAvanaprayoga:n:
acc:pavanayogasaMgraha,13197:pavanayogasaMgraha:n:
acc:pavanavijayasvarodaya,44681:pavanavijayasvarodaya:n:
acc:pavamAna,13199:pavamAna:n:
acc:pavitrezwinirRaya,34497:pavitrezwinirRaya:n:
acc:pavitrezwipadDati,13213:pavitrezwipadDati:n:
acc:paSakArikA,40396:paSakArikA:n:
acc:paSukalpapadDati,13217:paSukalpapadDati:n:
acc:paSUpahAra,34508:paSUpahAra:n:
acc:paScimatantra,13246:paScimatantra:n:
acc:pAkayajYaEqa,44687:pAkayajYaEqa:n:
acc:pAkayajYanirRaya,13257:pAkayajYanirRaya:n:
acc:pAkasuDAkara,44690:pAkasuDAkara:n:
acc:pAkAdisaMgraha,13262:pAkAdisaMgraha:n:
acc:pAkArRava,34513:pAkArRava:n:
acc:pAkAvalI,13264:pAkAvalI:n:
acc:pAcakadaSAkrama,34515:pAcakadaSAkrama:n:
acc:pAYcarAtra,13266:pAYcarAtra:n:
acc:pAYcarAtrAgama,34517:pAYcarAtrAgama:n:
acc:pAYcarAtrArAsTApana,13277:pAYcarAtrArAsTApana:n:
acc:pAYcarAtropanizad,44693:pAYcarAtropanizad:n:
acc:pAYcAlajAtivivekaSivAgamokta,13279:pAYcAlajAtivivekaSivAgamokta:n:
acc:pAYcAlajAtivivekaSivAgamokta,13279:pAYcAlajAtivivekaSivAgamokta:n:
acc:pAYcAlabABravya,13278:pAYcAlabABravya:n:
acc:pAwIratna,34520:pAwIratna:n:
acc:pAwIlIlAvatI,13282:pAwIlIlAvatI:n:
acc:pARinIyavAdanakzatramAlA,34521:pARinIyavAdanakzatramAlA:n:
acc:pARinIyaSikzA,13294:pARinIyaSikzA:n:
acc:pARinIyasUtrArTasaMgraha,34523:pARinIyasUtrArTasaMgraha:n:
acc:pARqarAjayaSoBUzaRa,13296:pARqarAjayaSoBUzaRa:n:
acc:pARqurogacikitsA,34528:pARqurogacikitsA:n:
acc:pAtaYjala,13309:pAtaYjala:n:
acc:pAtaYjalarahasya,44698:pAtaYjalarahasya:n:
acc:pAtasAraRI,13311:pAtasAraRI:n:
acc:pAtityagrAmanirRaya,44699:pAtityagrAmanirRaya:n:
acc:pAtuka,13315:pAtuka:n:
acc:pAdaviDAnAnukramaRI,34531:pAdaviDAnAnukramaRI:n:
acc:pAdAdikeSastuti,13323:pAdAdikeSastuti:n:
acc:pAdAnukramaRI,13325:pAdAnukramaRI:n:
acc:pAdAravindaSataka,13324:pAdAravindaSataka:n:
acc:pAdmatantra,44701:pAdmatantra:n:
acc:pAdmanityapUjAviDi,13332:pAdmanityapUjAviDi:n:
acc:pApamocanikAcEtrakfzRA,44702:pApamocanikAcEtrakfzRA:n:
acc:pApayallayasUri,13345:pApayallayasUri:n:
acc:pApavinASamAhAtmya,44704:pApavinASamAhAtmya:n:
acc:pApAka,13346:pApAka:n:
acc:pApANkuSAASvinaSuklA,44705:pApANkuSAASvinaSuklA:n:
acc:pAmpaka,13347:pAmpaka:n:
acc:pAyaguRqa,34535:pAyaguRqa:n:
acc:pAyinImAhAtmya,13348:pAyinImAhAtmya:n:
acc:pArasIkaprakASa,44706:pArasIkaprakASa:n:
acc:pArasIjAtaka,13358:pArasIjAtaka:n:
acc:pAraskaragfhyamantra,13364:pAraskaragfhyamantra:n:
acc:pAraskaragfhyasUtra,13362:pAraskaragfhyasUtra:n:
acc:pAraskaragfhyasUtrapariSizwa,44708:pAraskaragfhyasUtrapariSizwa:n:
acc:pAraskaraSrAdDasUtravfttyarTasaMgraha,34539:pAraskaraSrAdDasUtravfttyarTasaMgraha:n:
acc:pAraskaraSrAdDasUtravfttyarTasaMgraha,34539:pAraskaraSrAdDasUtravfttyarTasaMgraha:n:
acc:pAraskarasmfti,13365:pAraskarasmfti:n:
acc:pArAyaRastotra,34540:pArAyaRastotra:n:
acc:pArArTyavivecana,13369:pArArTyavivecana:n:
acc:pArASarasUtra,40405:pArASarasUtra:n:
acc:pArASarahorA,13373:pArASarahorA:n:
acc:pArASarIya,44711:pArASarIya:n:
acc:pArASaryavijaya,13375:pArASaryavijaya:n:
acc:pArijAtaratnAkara,44712:pArijAtaratnAkara:n:
acc:pArijAtavfttaKaRqa,13380:pArijAtavfttaKaRqa:n:
acc:pArijAtaSuRWI,34545:pArijAtaSuRWI:n:
acc:pArijAtaharaRa,13382:pArijAtaharaRa:n:
acc:pArTivacintAmaRi,40406:pArTivacintAmaRi:n:
acc:pArTivapUjana,13392:pArTivapUjana:n:
acc:pArTivapUjAviDi,34548:pArTivapUjAviDi:n:
acc:pArTivaliNgapUjanaviDi,13395:pArTivaliNgapUjanaviDi:n:
acc:pArTivaliNgapUjAviDi,34550:pArTivaliNgapUjAviDi:n:
acc:pArTivaliNgamAhAtmya,13398:pArTivaliNgamAhAtmya:n:
acc:pArTivaSivaliNgapUjAviDi,34551:pArTivaSivaliNgapUjAviDi:n:
acc:pArTivArcanaviDi,13402:pArTivArcanaviDi:n:
acc:pArTiveSvarapUjana,34553:pArTiveSvarapUjana:n:
acc:pArTiveSvarapUjanaviDi,13405:pArTiveSvarapUjanaviDi:n:
acc:pArTiveSvaraprayogapadDati,44720:pArTiveSvaraprayogapadDati:n:
acc:pArvaRacawaSrAdDaprayoga,13406:pArvaRacawaSrAdDaprayoga:n:
acc:pArvaRaprayoga,44721:pArvaRaprayoga:n:
acc:pArvaRaSrAdDa,13408:pArvaRaSrAdDa:n:
acc:pArvaRAdiSrAdDatattva,44725:pArvaRAdiSrAdDatattva:n:
acc:pArvatInATa,13412:pArvatInATa:n:
acc:pArvatyaparADavrata,44727:pArvatyaparADavrata:n:
acc:pArSvacandra,13419:pArSvacandra:n:
acc:pAlakApya,13423:pAlakApya:n:
acc:pAlaBawwa,13422:pAlaBawwa:n:
acc:pAvakAcalamAhAtmya,34560:pAvakAcalamAhAtmya:n:
acc:pAvamAna,13427:pAvamAna:n:
acc:pASakAvalI,44730:pASakAvalI:n:
acc:pASAvalI,34563:pASAvalI:n:
acc:pASAvalI,34563:pASAvalI:n:
acc:pASuka,13429:pASuka:n:
acc:pASukAnicAturmAsyAni,34564:pASukAnicAturmAsyAni:n:
acc:pASupatabrahmopanizad,13432:pASupatabrahmopanizad:n:
acc:pASupatavrata,13434:pASupatavrata:n:
acc:pAScAtyanirRayAmfta,11923:pAScAtyanirRayAmfta:n:
acc:pAzaRqadalana,40411:pAzaRqadalana:n:
acc:pAzaRqamuKamardana,13437:pAzaRqamuKamardana:n:
acc:piNgalArTapradIpa,40412:piNgalArTapradIpa:n:
acc:piNgalAryA,13446:piNgalAryA:n:
acc:piNgalopanizad,34567:piNgalopanizad:n:
acc:piCilAtantra,13448:piCilAtantra:n:
acc:piRqAnayanopapatti,34570:piRqAnayanopapatti:n:
acc:piRqopanizad,13454:piRqopanizad:n:
acc:pitfgItAkaTana,34572:pitfgItAkaTana:n:
acc:pitfdayitA,13458:pitfdayitA:n:
acc:pitfBaktitaraNgiRo,34574:pitfBaktitaraNgiRo:n:
acc:pitfBUti,13463:pitfBUti:n:
acc:pitfmeDavivaraRa,44743:pitfmeDavivaraRa:n:
acc:pitfmeDavyAKyA,34576:pitfmeDavyAKyA:n:
acc:pitfmeDavyAKyA,34576:pitfmeDavyAKyA:n:
acc:pitfmeDasAra,13467:pitfmeDasAra:n:
acc:pitfmeDasArasaMgraha,34579:pitfmeDasArasaMgraha:n:
acc:pitfmeDasUtra,13468:pitfmeDasUtra:n:
acc:pitfyajYaprayoga,34580:pitfyajYaprayoga:n:
acc:pitfsaMhitA,13470:pitfsaMhitA:n:
acc:pitfsAMvatsarikaSrAdDaprayoga,34582:pitfsAMvatsarikaSrAdDaprayoga:n:
acc:pitfsUkta,13471:pitfsUkta:n:
acc:pitfstotra,34585:pitfstotra:n:
acc:pittamacaturveda,13472:pittamacaturveda:n:
acc:pippalamAhAtmya,44747:pippalamAhAtmya:n:
acc:pippalAdaSrAdDakalpa,13475:pippalAdaSrAdDakalpa:n:
acc:pizwapaSumImAMsAkArikAH,44749:pizwapaSumImAMsAkArikAH:n:
acc:pizwapaSusaraRi,13486:pizwapaSusaraRi:n:
acc:pItAmbaraBawwa,13506:pItAmbaraBawwa:n:
acc:pItAmbaraSarman,13500:pItAmbaraSarman:n:
acc:pItAmbarasUri,44750:pItAmbarasUri:n:
acc:pItAmbarApadDati,13507:pItAmbarApadDati:n:
acc:pItAmbarAstotra,44753:pItAmbarAstotra:n:
acc:pIyUzakaRikA,13508:pIyUzakaRikA:n:
acc:puMsavanaviDi,34592:puMsavanaviDi:n:
acc:puMsavanAdiprayoga,13515:puMsavanAdiprayoga:n:
acc:puMsUktaviDi,34593:puMsUktaviDi:n:
acc:puMsoka,13516:puMsoka:n:
