bur:ninaNkzAmi,9816:ninaNkzAmi:n:
bur:nizaRRaka,10112:nizaRRaka:n:
bur:nizadyA,10109:nizadyA:n:
bur:nizwaMsAmi,10146:nizwaMsAmi:n:
bur:nizwakzAmi,10143:nizwakzAmi:n:
bur:nihiMsana,10227:nihiMsana:n:
bur:nihita,10226:nihita:n:
bur:nud,10275:nud:n:
bur:nunutsAmi,10273:nunutsAmi:n:
bur:paMS,10902:paMS:n:
bur:pakkaRa,10370:pakkaRa:n:
bur:parADya,10508:parADya:n:
bur:parAnayAmi,10494:parAnayAmi:n:
bur:paridaMSita,10602:paridaMSita:n:
bur:paridadAmi,10599:paridadAmi:n:
bur:paripaWAmi,10620:paripaWAmi:n:
bur:paripaRa,10619:paripaRa:n:
bur:parivaMSayAmi,10690:parivaMSayAmi:n:
bur:parivatsara,10682:parivatsara:n:
bur:parisaMspfSAmi,10753:parisaMspfSAmi:n:
bur:parisaNKyAmi,10746:parisaNKyAmi:n:
bur:parEmi,10801:parEmi:n:
bur:parEzwukA,10799:parEzwukA:n:
bur:parzad,10866:parzad:n:
bur:parzayAmi,10865:parzayAmi:n:
bur:pAMsu,11049:pAMsu:n:
bur:pAka,10905:pAka:n:
bur:pAYcakapAla,10915:pAYcakapAla:n:
bur:pAYcajanya,10914:pAYcajanya:n:
bur:piMs,11127:piMs:n:
bur:pika,11052:pika:n:
bur:pinasa,11086:pinasa:n:
bur:pinahye,11085:pinahye:n:
bur:puMs,11244:puMs:n:
bur:pukkaSa,11147:pukkaSa:n:
bur:puroqASa,11217:puroqASa:n:
bur:purodaDAmi,11216:purodaDAmi:n:
bur:purodBavA,11219:purodBavA:n:
bur:puroDas,11218:puroDas:n:
bur:pUti,11254:pUti:n:
bur:pUtkArI,11252:pUtkArI:n:
bur:pUrDi,11268:pUrDi:n:
bur:pUrye,11265:pUrye:n:
bur:pedu,11314:pedu:n:
bur:pede,11313:pede:n:
bur:pOnaHpunya,11364:pOnaHpunya:n:
bur:pOnarBava,11363:pOnarBava:n:
bur:praRiMse,11527:praRiMse:n:
bur:praRikzAmi,11510:praRikzAmi:n:
bur:pratisaMharAmi,11715:pratisaMharAmi:n:
bur:pratisaYjAye,11703:pratisaYjAye:n:
bur:pratILe,11742:pratILe:n:
bur:pratIka,11732:pratIka:n:
bur:pratyEmi,11824:pratyEmi:n:
bur:pratyozAmi,11823:pratyozAmi:n:
bur:praDvaMsayAmi,11871:praDvaMsayAmi:n:
bur:praDvanAmi,11870:praDvanAmi:n:
bur:praSaMsAmi,12064:praSaMsAmi:n:
bur:praSatvan,12062:praSatvan:n:
bur:prastApayAmi,12121:prastApayAmi:n:
bur:prastAra,12114:prastAra:n:
bur:prAMSu,12254:prAMSu:n:
bur:prAk,12150:prAk:n:
bur:preLe,12279:preLe:n:
bur:prekze,12268:prekze:n:
bur:prerI,12277:prerI:n:
bur:prere,12276:prere:n:
bur:baMhizWa,12475:baMhizWa:n:
bur:baNga,12384:baNga:n:
bur:biBraMSizAmi,12536:biBraMSizAmi:n:
bur:biBramizAmi,12535:biBramizAmi:n:
bur:BAri,12730:BAri:n:
bur:BArika,12729:BArika:n:
bur:BfkuMsa,12806:BfkuMsa:n:
bur:Bfkuwi,12805:Bfkuwi:n:
bur:BraMs,12871:BraMs:n:
bur:BrakuMsa,12856:BrakuMsa:n:
bur:BrakuMsa,12856:BrakuMsa:n:
bur:Brakuwi,12855:Brakuwi:n:
bur:BrukuMsa,12883:BrukuMsa:n:
bur:Brukuwi,12882:Brukuwi:n:
bur:maMhizWa,13198:maMhizWa:n:
bur:makara,12899:makara:n:
bur:maMmaTye,13061:maMmaTye:n:
bur:mamre,13059:mamre:n:
bur:marmArjmi,13111:marmArjmi:n:
bur:marmika,13109:marmika:n:
