ccs:DanavfdDi,29860:DanavfdDi:n:
ccs:Danavyaya,10856:Danavyaya:n:
ccs:DanAgama,29861:DanAgama:n:
ccs:DanAQya,10862:DanAQya:n:
ccs:Danozman,29862:Danozman:n:
ccs:Danya,10889:Danya:n:
ccs:DarmakaYcuka,29863:DarmakaYcuka:n:
ccs:DarmakAmyA,10928:DarmakAmyA:n:
ccs:DUmodgAra,11190:DUmodgAra:n:
ccs:DUmya,11173:DUmya:n:
ccs:DruvasidDi,11299:DruvasidDi:n:
ccs:Druvase,11298:Druvase:n:
ccs:nagnaka,29869:nagnaka:n:
ccs:nagnakA,11402:nagnakA:n:
ccs:nat,11582:nat:n:
ccs:nata,11418:nata:n:
ccs:naBaHspfS,11488:naBaHspfS:n:
ccs:naBanu,11473:naBanu:n:
ccs:navedas,29870:navedas:n:
ccs:navoQA,11650:navoQA:n:
ccs:naS,11654:naS:n:
ccs:naSa,11339:naSa:n:
ccs:nAgAntara,29868:nAgAntara:n:
ccs:nAgAhvaya,11718:nAgAhvaya:n:
ccs:nAtiSlizwa,29872:nAtiSlizwa:n:
ccs:nAtisvasTa,11749:nAtisvasTa:n:
ccs:niHsvAmikA,12661:niHsvAmikA:n:
ccs:nikakza,11883:nikakza:n:
ccs:nideSakArin,29875:nideSakArin:n:
ccs:nidrA,12003:nidrA:n:
ccs:niDeya,12024:niDeya:n:
ccs:niDyarTin,12022:niDyarTin:n:
ccs:nirnASana,12294:nirnASana:n:
ccs:nirnikti,12262:nirnikti:n:
ccs:nirvartin,12363:nirvartin:n:
ccs:nirvaSa,12356:nirvaSa:n:
ccs:nivezwakAma,12478:nivezwakAma:n:
ccs:nivezwavya,12477:nivezwavya:n:
ccs:nizakti,12530:nizakti:n:
ccs:nizaNga,12527:nizaNga:n:
ccs:nEHsvya,12889:nEHsvya:n:
ccs:nEka,12834:nEka:n:
ccs:patitasAvitrIka,29885:patitasAvitrIka:n:
ccs:patitotTita,13160:patitotTita:n:
ccs:pattraka,13179:pattraka:n:
ccs:pattracCedaBakti,13178:pattracCedaBakti:n:
ccs:paty,13196:paty:n:
ccs:patrapASyA,13180:patrapASyA:n:
ccs:padArTa,13236:padArTa:n:
ccs:padi,13154:padi:n:
ccs:panu,13283:panu:n:
ccs:pantIka,13192:pantIka:n:
ccs:paraHsahasra,13382:paraHsahasra:n:
ccs:parakaTA,13323:parakaTA:n:
ccs:paraMjaya,14584:paraMjaya:n:
ccs:paratas,13328:paratas:n:
ccs:pariGarmya,13464:pariGarmya:n:
ccs:pariGastamBa,13463:pariGastamBa:n:
ccs:pariyatta,19488:pariyatta:n:
ccs:parirakzaka,13591:parirakzaka:n:
ccs:parut,29891:parut:n:
ccs:parutka,13742:parutka:n:
ccs:parvasaMDi,13831:parvasaMDi:n:
ccs:parvetezWA,13825:parvetezWA:n:
ccs:pIWasarpa,14420:pIWasarpa:n:
ccs:pIWikA,14417:pIWikA:n:
ccs:putrikA,29895:putrikA:n:
ccs:putriRyApta,14526:putriRyApta:n:
ccs:punaHsaMBava,14569:punaHsaMBava:n:
ccs:punar,14540:punar:n:
ccs:punAman,14573:punAman:n:
ccs:puMnapuMsaka,14570:puMnapuMsaka:n:
ccs:puraHsara,14601:puraHsara:n:
ccs:purajana,14582:purajana:n:
ccs:pUta,14795:pUta:n:
ccs:pUtadakza,14761:pUtadakza:n:
ccs:pUrRamA,14792:pUrRamA:n:
ccs:pUrRamAs,14787:pUrRamAs:n:
ccs:pUrvasAhasa,29897:pUrvasAhasa:n:
ccs:pUrvasU,14853:pUrvasU:n:
ccs:pftsuzu,14897:pftsuzu:n:
ccs:pftsuzutur,14896:pftsuzutur:n:
ccs:pOloma,15073:pOloma:n:
ccs:pOScalya,15034:pOScalya:n:
ccs:pOzya,15078:pOzya:n:
ccs:pOsna,15035:pOsna:n:
ccs:pracaRqapARqava,15165:pracaRqapARqava:n:
ccs:pracaRqAtapa,15164:pracaRqAtapa:n:
ccs:prajABAgin,29900:prajABAgin:n:
ccs:prajAyinI,15216:prajAyinI:n:
ccs:praTamasAhasa,29905:praTamasAhasa:n:
ccs:praTas,15566:praTas:n:
ccs:praBAsa,29906:praBAsa:n:
ccs:praBAsana,15667:praBAsana:n:
ccs:pramItapatikA,29907:pramItapatikA:n:
ccs:pramIti,15722:pramIti:n:
ccs:prayoktavya,15767:prayoktavya:n:
ccs:prayoga,15766:prayoga:n:
ccs:pralhAdin,16022:pralhAdin:n:
ccs:prava,15798:prava:n:
ccs:praSiTila,29910:praSiTila:n:
ccs:praSizwi,15899:praSizwi:n:
ccs:prasannarasa,29911:prasannarasa:n:
ccs:prasannasalila,15927:prasannasalila:n:
ccs:prasAdayitavya,15951:prasAdayitavya:n:
ccs:prasAdavitta,15950:prasAdavitta:n:
ccs:prasAdasumuKa,29912:prasAdasumuKa:n:
ccs:prasAdin,15952:prasAdin:n:
ccs:prAcC,16053:prAcC:n:
ccs:prAcya,16052:prAcya:n:
ccs:prARanta,16090:prARanta:n:
ccs:prARapriya,16075:prARapriya:n:
ccs:prAtaHsava,16110:prAtaHsava:n:
ccs:prAtar,16100:prAtar:n:
ccs:prADvana,16126:prADvana:n:
ccs:prADvam,16125:prADvam:n:
ccs:prItipUrvakam,29914:prItipUrvakam:n:
ccs:prItimant,16243:prItimant:n:
ccs:badDaparikara,29916:badDaparikara:n:
ccs:badDapallava,16450:badDapallava:n:
ccs:badDalakza,29917:badDalakza:n:
ccs:badDavat,16452:badDavat:n:
ccs:banDanakoSa,29918:banDanakoSa:n:
ccs:banDanasTa,16469:banDanasTa:n:
ccs:baBra,16488:baBra:n:
ccs:baBri,16487:baBri:n:
ccs:barhiHzWa,16514:barhiHzWa:n:
ccs:barhiRa,16509:barhiRa:n:
ccs:bahizpavamAna,29919:bahizpavamAna:n:
ccs:bahizprajYa,16578:bahizprajYa:n:
ccs:bAlAtapa,16688:bAlAtapa:n:
ccs:bAlApatya,16687:bAlApatya:n:
ccs:bIjakARqaruha,16779:bIjakARqaruha:n:
ccs:bIjakoSa,16775:bIjakoSa:n:
ccs:brahmaRa,17023:brahmaRa:n:
ccs:brahmaRaspati,16935:brahmaRaspati:n:
ccs:BaYjan,17113:BaYjan:n:
ccs:BaYjana,17112:BaYjana:n:
ccs:BavizyatpurARa,17244:BavizyatpurARa:n:
ccs:BavizyadvAcin,17242:BavizyadvAcin:n:
ccs:BazaRa,17372:BazaRa:n:
ccs:Bas,17252:Bas:n:
ccs:Buvanadvaya,17509:Buvanadvaya:n:
ccs:Buvanapati,17508:Buvanapati:n:
ccs:BUrivilambin,29927:BUrivilambin:n:
ccs:BUriSfNga,17581:BUriSfNga:n:
ccs:maNgalavacas,17807:maNgalavacas:n:
ccs:maNgalasamAlamBana,17806:maNgalasamAlamBana:n:
ccs:maT,17899:maT:n:
ccs:maTa,17898:maTa:n:
ccs:maDumADava,17978:maDumADava:n:
ccs:maDumAsa,17977:maDumAsa:n:
ccs:maDyamasAhasa,29929:maDyamasAhasa:n:
ccs:maDyamasvara,18016:maDyamasvara:n:
ccs:manaHsaMtApa,18049:manaHsaMtApa:n:
ccs:manana,18034:manana:n:
ccs:mantrika,18701:mantrika:n:
ccs:mantrita,18125:mantrita:n:
ccs:mayA,18718:mayA:n:
ccs:mayu,18205:mayu:n:
ccs:malaka,18771:malaka:n:
ccs:malaga,18287:malaga:n:
ccs:mava,29930:mava:n:
ccs:maSaka,18312:maSaka:n:
ccs:mahApraBa,18415:mahApraBa:n:
ccs:mahApraBAva,18414:mahApraBAva:n:
ccs:mAtratA,18632:mAtratA:n:
ccs:mAtrA,18630:mAtrA:n:
ccs:mADavAcarya,18653:mADavAcarya:n:
ccs:mADavikA,18651:mADavikA:n:
ccs:mADavImaRqapa,18655:mADavImaRqapa:n:
ccs:mADavIya,18654:mADavIya:n:
ccs:mADuparkika,29933:mADuparkika:n:
ccs:mADurI,18657:mADurI:n:
ccs:mADyaka,18665:mADyaka:n:
ccs:mADyaMdina,18659:mADyaMdina:n:
ccs:mArutAndolita,18746:mArutAndolita:n:
ccs:mAruti,18745:mAruti:n:
ccs:mitraDeya,29937:mitraDeya:n:
ccs:mitraBeda,18843:mitraBeda:n:
ccs:miTaHprasTAna,29938:miTaHprasTAna:n:
ccs:miTaHsamaya,18862:miTaHsamaya:n:
