wil:guRasampad,13658:guRasampad:n:
wil:gurupatra,13737:gurupatra:n:
wil:gurupramoda,13734:gurupramoda:n:
wil:gurumarddala,13738:gurumarddala:n:
wil:gururatna,13735:gururatna:n:
wil:gurvvaNganA,13751:gurvvaNganA:n:
wil:gurvvarTam,13750:gurvvarTam:n:
wil:gfhadruma,13844:gfhadruma:n:
wil:gfhadvAra,13843:gfhadvAra:n:
wil:gfhItadiS,13885:gfhItadiS:n:
wil:gfhItavidya,13884:gfhItavidya:n:
wil:gfhotpAta,13890:gfhotpAta:n:
wil:gfhopakaraRa,13889:gfhopakaraRa:n:
wil:gogfzwi,13928:gogfzwi:n:
wil:gogoyuga,13926:gogoyuga:n:
wil:goGfta,13933:goGfta:n:
wil:goGna,13932:goGna:n:
wil:gopikA,14007:gopikA:n:
wil:gopin,14006:gopin:n:
wil:gosagfha,14106:gosagfha:n:
wil:gosaMKya,14105:gosaMKya:n:
wil:grahaRIya,14194:grahaRIya:n:
wil:grahaRIruj,14193:grahaRIruj:n:
wil:grAmyakanda,14260:grAmyakanda:n:
wil:grAmyakarkkawI,14259:grAmyakarkkawI:n:
wil:glO,14307:glO:n:
wil:glOtf,14306:glOtf:n:
wil:GawwajIvin,14335:GawwajIvin:n:
wil:GawwanA,14334:GawwanA:n:
wil:GaRwAravA,14347:GaRwAravA:n:
wil:GaRwAvAdya,14345:GaRwAvAdya:n:
wil:Ganatola,14366:Ganatola:n:
wil:Ganatva,14365:Ganatva:n:
wil:GanasAra,14390:GanasAra:n:
wil:Ganasvana,14388:Ganasvana:n:
wil:GanoparudDa,14405:GanoparudDa:n:
wil:Ganopala,14404:Ganopala:n:
wil:GarmmAmbu,14423:GarmmAmbu:n:
wil:GarmmArtta,14422:GarmmArtta:n:
wil:GrAti,14552:GrAti:n:
wil:GrAtvA,14551:GrAtvA:n:
wil:cakravfdDi,14605:cakravfdDi:n:
wil:cakravyUha,14604:cakravyUha:n:
wil:caRqAMSu,14681:caRqAMSu:n:
wil:caRqAta,14676:caRqAta:n:
wil:catusriMSajjAtakajYa,14735:catusriMSajjAtakajYa:n:
wil:catussama,14734:catussama:n:
wil:candrakalA,14752:candrakalA:n:
wil:candrakavat,14751:candrakavat:n:
wil:candrapraBa,14763:candrapraBa:n:
wil:candraBAgA,14762:candraBAgA:n:
wil:candrABAsa,14791:candrABAsa:n:
wil:candrArdDa,14789:candrArdDa:n:
wil:caraRAravinda,14856:caraRAravinda:n:
wil:caraRArdDa,14851:caraRArdDa:n:
wil:caritaguRatva,14871:caritaguRatva:n:
wil:caritavya,14869:caritavya:n:
wil:carmmAra,14928:carmmAra:n:
wil:carmmAvakarttana,14923:carmmAvakarttana:n:
wil:cAturmAsya,14998:cAturmAsya:n:
wil:cAturmmAsa,14997:cAturmmAsa:n:
wil:cAndrAyaRaviDAna,15014:cAndrAyaRaviDAna:n:
wil:cAndrAyaRavrata,15013:cAndrAyaRavrata:n:
wil:cAritrya,15050:cAritrya:n:
wil:cArivAc,15048:cArivAc:n:
wil:cit,15116:cit:n:
wil:cita,15115:cita:n:
wil:cittaBeda,15140:cittaBeda:n:
wil:cittarAga,15130:cittarAga:n:
wil:cittasaMhati,15143:cittasaMhati:n:
wil:cittasaNKya,15141:cittasaNKya:n:
wil:cittahArin,15145:cittahArin:n:
wil:cittahft,15144:cittahft:n:
wil:citrakambala,15159:citrakambala:n:
wil:citrakara,15158:citrakara:n:
wil:citraliKita,15196:citraliKita:n:
wil:citraleKA,15195:citraleKA:n:
wil:cintanIya,15226:cintanIya:n:
wil:cintayat,15225:cintayat:n:
wil:cirapravAsin,15267:cirapravAsin:n:
wil:ciram,15266:ciram:n:
wil:cezwAnASa,15449:cezwAnASa:n:
wil:cezwAnirUpaRa,15448:cezwAnirUpaRa:n:
wil:cyuti,15508:cyuti:n:
wil:cyutotsAha,15507:cyutotsAha:n:
wil:Cardis,15564:Cardis:n:
wil:CarddiGna,15562:CarddiGna:n:
wil:Cikkaka,15608:Cikkaka:n:
wil:CikkaRa,15606:CikkaRa:n:
wil:Cid,15614:Cid:n:
wil:Cida,15613:Cida:n:
wil:jagadyoni,15714:jagadyoni:n:
wil:jagadvala,15713:jagadvala:n:
wil:janArddana,15824:janArddana:n:
wil:janAv,15821:janAv:n:
wil:japita,15874:japita:n:
wil:japitvA,15873:japitvA:n:
wil:jam,15879:jam:n:
