pe:anOpamyA,271:anOpamyA:n:
pe:antaka,340:antaka:n:
pe:antacAra,339:antacAra:n:
pe:antarIkza,348:antarIkza:n:
pe:antargiri,347:antargiri:n:
pe:antargiri,347:antargiri:n:
pe:antarDAna,344:antarDAna:n:
pe:antarDAna,344:antarDAna:n:
pe:antarDAmA,343:antarDAmA:n:
pe:antarvAsa,350:antarvAsa:n:
pe:anDa,275:anDa:n:
pe:anDakaram,283:anDakaram:n:
pe:anDakAraka,282:anDakAraka:n:
pe:aparanandA,395:aparanandA:n:
pe:aparabrahma,385:aparabrahma:n:
pe:aparavallava,399:aparavallava:n:
pe:aparaseka,398:aparaseka:n:
pe:aparaseka,398:aparaseka:n:
pe:aparAjita,386:aparAjita:n:
pe:aparAvidyA,400:aparAvidyA:n:
pe:apAntaratamas,383:apAntaratamas:n:
pe:apAntaratamA,384:apAntaratamA:n:
pe:apAlA,382:apAlA:n:
pe:apratizWa,404:apratizWa:n:
pe:aprAci,403:aprAci:n:
pe:apsuhomya,406:apsuhomya:n:
pe:abala,2:abala:n:
pe:aBinaya,9:aBinaya:n:
pe:aBiBu,5:aBiBu:n:
pe:aBimanyu,6:aBimanyu:n:
pe:aBizyanta,14:aBizyanta:n:
pe:aBizyanta,14:aBizyanta:n:
pe:aBisArI,13:aBisArI:n:
pe:aBisArI,13:aBisArI:n:
pe:aBIru,10:aBIru:n:
pe:amarakaRwaka,183:amarakaRwaka:n:
pe:amaragupta,181:amaragupta:n:
pe:amaragupta,181:amaragupta:n:
pe:amaracandra,180:amaracandra:n:
pe:amaraparvata,184:amaraparvata:n:
pe:amarahrada,182:amarahrada:n:
pe:amAvasu,188:amAvasu:n:
pe:amAvAsI,187:amAvAsI:n:
pe:amAvAsI,187:amAvAsI:n:
pe:amAhaWa,178:amAhaWa:n:
pe:amUrtarayas,227:amUrtarayas:n:
pe:amftam,217:amftam:n:
pe:amftam,217:amftam:n:
pe:amftA,216:amftA:n:
pe:amftA,216:amftA:n:
pe:amoGa,209:amoGa:n:
pe:ampiwwa,215:ampiwwa:n:
pe:ambarIza,193:ambarIza:n:
pe:ambazWam,198:ambazWam:n:
pe:ambA,190:ambA:n:
pe:ambUnadI,2859:ambUnadI:n:
pe:amBoruha,199:amBoruha:n:
pe:ayutAyus,673:ayutAyus:n:
pe:ayoDaDOmya,668:ayoDaDOmya:n:
pe:ayoDyA,669:ayoDyA:n:
pe:ayobAhu,667:ayobAhu:n:
pe:ayomuKI,670:ayomuKI:n:
pe:arakkillam,408:arakkillam:n:
pe:arawwa,414:arawwa:n:
pe:araRya,412:araRya:n:
pe:araRya,412:araRya:n:
pe:arantuka,410:arantuka:n:
pe:arayannam,415:arayannam:n:
pe:arA,407:arA:n:
pe:arizwanemi,432:arizwanemi:n:
pe:arizwA,429:arizwA:n:
pe:arizwA,429:arizwA:n:
pe:ariha,427:ariha:n:
pe:aruRasaMgamam,461:aruRasaMgamam:n:
pe:aruRA,459:aruRA:n:
pe:aruRodA,466:aruRodA:n:
pe:arunDatI,462:arunDatI:n:
pe:arupattimUvar,468:arupattimUvar:n:
pe:arulmoliTevar,451:arulmoliTevar:n:
pe:arUpA,467:arUpA:n:
pe:arkka,445:arkka:n:
pe:arkkaparRa,448:arkkaparRa:n:
pe:arGABihaRaparva,426:arGABihaRaparva:n:
pe:arGABihaRaparva,426:arGABihaRaparva:n:
pe:arcanAnas,419:arcanAnas:n:
pe:arcizmat,422:arcizmat:n:
pe:arcizmatI,420:arcizmatI:n:
pe:arjunavanavAsaparva,444:arjunavanavAsaparva:n:
pe:arjunABigamanaparva,442:arjunABigamanaparva:n:
pe:arRaSAlA,5066:arRaSAlA:n:
pe:arTam,449:arTam:n:
pe:arTam,449:arTam:n:
pe:arDakIlatIrTa,424:arDakIlatIrTa:n:
pe:arDakIlatIrTa,424:arDakIlatIrTa:n:
pe:arDadeva,423:arDadeva:n:
pe:arDasADaka,425:arDasADaka:n:
pe:arbuda,416:arbuda:n:
pe:aryaSva,472:aryaSva:n:
pe:arva,469:arva:n:
pe:arvAvasu,470:arvAvasu:n:
pe:alakanandA,161:alakanandA:n:
pe:alakanandA,161:alakanandA:n:
pe:alakA,160:alakA:n:
pe:alakA,160:alakA:n:
pe:alaGu,159:alaGu:n:
pe:alaNkAravatI,170:alaNkAravatI:n:
pe:alambatIrTa,163:alambatIrTa:n:
pe:alambatIrTa,163:alambatIrTa:n:
pe:alambala,162:alambala:n:
pe:alAyuDa,176:alAyuDa:n:
pe:alolupa,171:alolupa:n:
pe:avatAra,651:avatAra:n:
pe:avaDUteSvara,643:avaDUteSvara:n:
pe:avanti,647:avanti:n:
pe:avaBfTam,641:avaBfTam:n:
pe:avasAnam,650:avasAnam:n:
pe:avAkIrRa,646:avAkIrRa:n:
pe:avAkIrRa,646:avAkIrRa:n:
pe:avAcIna,642:avAcIna:n:
pe:avikzit,655:avikzit:n:
pe:avijYAtagati,653:avijYAtagati:n:
pe:avinDya,658:avinDya:n:
pe:avimukta,657:avimukta:n:
pe:avivAhita,660:avivAhita:n:
pe:avIci,652:avIci:n:
pe:avIci,652:avIci:n:
pe:avESAKa,645:avESAKa:n:
pe:avyaya,661:avyaya:n:
pe:aSani,475:aSani:n:
pe:aSUrbanipal,560:aSUrbanipal:n:
pe:aSoka,498:aSoka:n:
pe:aSokatIrTa,503:aSokatIrTa:n:
pe:aSokadatta,501:aSokadatta:n:
pe:aSokavanikA,504:aSokavanikA:n:
pe:aSokasundarI,502:aSokasundarI:n:
pe:aSokasundarI,502:aSokasundarI:n:
pe:aSmaka,489:aSmaka:n:
pe:aSvakfta,569:aSvakfta:n:
pe:aSvaketu,568:aSvaketu:n:
pe:aSvaketu,568:aSvaketu:n:
pe:aSvagrIva,566:aSvagrIva:n:
pe:aSvagrIva,566:aSvagrIva:n:
pe:aSvaGoza,565:aSvaGoza:n:
pe:aSvatTAmA,587:aSvatTAmA:n:
pe:aSvanadI,575:aSvanadI:n:
pe:aSvapati,578:aSvapati:n:
pe:aSvameDa,570:aSvameDa:n:
pe:aSvavAn,590:aSvavAn:n:
pe:aSvaSaNku,577:aSvaSaNku:n:
pe:aSvaSirasTAna,583:aSvaSirasTAna:n:
pe:aSvasena,580:aSvasena:n:
pe:aSvasena,580:aSvasena:n:
pe:aSvahfdaya,567:aSvahfdaya:n:
pe:aSvinIsuta,593:aSvinIsuta:n:
pe:azwaka,520:azwaka:n:
pe:azwakaraRa,525:azwakaraRa:n:
pe:azwakalAsya,523:azwakalAsya:n:
pe:azwakumBa,528:azwakumBa:n:
pe:azwakopavyasana,527:azwakopavyasana:n:
pe:azwakopavyasana,527:azwakopavyasana:n:
pe:azwaganDa,517:azwaganDa:n:
pe:azwaguRa,518:azwaguRa:n:
pe:azwacUrRa,508:azwacUrRa:n:
pe:azwatAraRI,543:azwatAraRI:n:
pe:azwadik,513:azwadik:n:
pe:azwadikpAlaka,514:azwadikpAlaka:n:
pe:azwadiggaja,512:azwadiggaja:n:
pe:azwadUtaguRa,516:azwadUtaguRa:n:
pe:azwadravya,515:azwadravya:n:
pe:azwadravya,515:azwadravya:n:
pe:azwaDarmamArga,510:azwaDarmamArga:n:
pe:azwapramARa,541:azwapramARa:n:
pe:azwabanDa,505:azwabanDa:n:
pe:azwabudDiguRa,507:azwabudDiguRa:n:
pe:azwaBAryA,506:azwaBAryA:n:
pe:azwamantrI,533:azwamantrI:n:
pe:azwamANgala,530:azwamANgala:n:
pe:azwayoginI,554:azwayoginI:n:
pe:azwarAgAdi,542:azwarAgAdi:n:
pe:azwarAgAdi,542:azwarAgAdi:n:
pe:azwaloha,529:azwaloha:n:
pe:azwaviDakuzWa,552:azwaviDakuzWa:n:
pe:azwaviDanAyikA,549:azwaviDanAyikA:n:
pe:azwavivAha,553:azwavivAha:n:
pe:azwANgayoga,540:azwANgayoga:n:
pe:azwANgayoga,540:azwANgayoga:n:
pe:azwANgahfdaya,539:azwANgahfdaya:n:
pe:azwANgahfdaya,539:azwANgahfdaya:n:
pe:azwAdaSapurARa,509:azwAdaSapurARa:n:
pe:azwAvaktra,546:azwAvaktra:n:
pe:azwAvakra,544:azwAvakra:n:
pe:azwopAya,555:azwopAya:n:
pe:asamaYjasa,473:asamaYjasa:n:
pe:asikfzRa,479:asikfzRa:n:
pe:asikni,477:asikni:n:
pe:asitakASyapa,487:asitakASyapa:n:
