sch:aMSu,9:aMSu:n:
sch:kalAlApa,10107:kalAlApa:n:
sch:kalAsikA,28431:kalAsikA:n:
sch:kali,10113:kali:n:
sch:kalpanokaha,10158:kalpanokaha:n:
sch:kalpapAdapa,10144:kalpapAdapa:n:
sch:kalyARakawaka,28434:kalyARakawaka:n:
sch:kalyARakara,10174:kalyARakara:n:
sch:kallolamAlin,28435:kallolamAlin:n:
sch:kallolayati,10185:kallolayati:n:
sch:kallolinIkAmuka,28436:kallolinIkAmuka:n:
sch:kalvowaka,10187:kalvowaka:n:
sch:kavitA,28439:kavitA:n:
sch:kavidIpikAniGaRwu,10217:kavidIpikAniGaRwu:n:
sch:kaSAmra,28440:kaSAmra:n:
sch:kaSipu,10228:kaSipu:n:
sch:kAMsyakAraka,28441:kAMsyakAraka:n:
sch:kAMsyatAla,10251:kAMsyatAla:n:
sch:kAkaRI,28443:kAkaRI:n:
sch:kAkatAlIya,10254:kAkatAlIya:n:
sch:kAkanASam,28444:kAkanASam:n:
sch:kAkanIla,10257:kAkanIla:n:
sch:kAkapadaka,28445:kAkapadaka:n:
sch:kAkapeya,10259:kAkapeya:n:
sch:kAkara,28446:kAkara:n:
sch:kAkaraRa,10261:kAkaraRa:n:
sch:kAkalikA,28447:kAkalikA:n:
sch:kAkalIka,10264:kAkalIka:n:
sch:kAkU,28448:kAkU:n:
sch:kAkodara,10274:kAkodara:n:
sch:kANka,28449:kANka:n:
sch:kANkz,10276:kANkz:n:
sch:kAcakarman,28451:kAcakarman:n:
sch:kAcakAcya,10280:kAcakAcya:n:
sch:kARqacCedana,28452:kARqacCedana:n:
sch:kARqapawa,10305:kARqapawa:n:
sch:kARqabIja,28453:kARqabIja:n:
sch:kARqarika,10310:kARqarika:n:
sch:kARqarika,10310:kARqarika:n:
sch:kARqalavaRa,10306:kARqalavaRa:n:
sch:kAtyayinI,10319:kAtyayinI:n:
sch:kAtyAyanI,10318:kAtyAyanI:n:
sch:kAntanAvaka,28455:kAntanAvaka:n:
sch:kAntaloha,10333:kAntaloha:n:
sch:kAntAraka,28456:kAntAraka:n:
sch:kAntAramaRqUka,10335:kAntAramaRqUka:n:
sch:kAntIrarAzwraka,28458:kAntIrarAzwraka:n:
sch:kAndarpa,10341:kAndarpa:n:
sch:kAnhaqadeva,28460:kAnhaqadeva:n:
sch:kApawa,10344:kApawa:n:
sch:kApawya,28461:kApawya:n:
sch:kApila,10346:kApila:n:
sch:kAmakAraRIya,28462:kAmakAraRIya:n:
sch:kAmakft,10356:kAmakft:n:
sch:kAmaRqaluka,28463:kAmaRqaluka:n:
sch:kAmatA,10360:kAmatA:n:
sch:kAmuka,28464:kAmuka:n:
sch:kAmeSvara,10396:kAmeSvara:n:
sch:kAmbala,28465:kAmbala:n:
sch:kAmbava,10399:kAmbava:n:
sch:kAmbojaka,28467:kAmbojaka:n:
sch:kAmyayAjyA,10400:kAmyayAjyA:n:
sch:kAyaBAra,28469:kAyaBAra:n:
sch:kAyamAna,10412:kAyamAna:n:
sch:kAraRika,28470:kAraRika:n:
sch:kAraRyakAraka,10423:kAraRyakAraka:n:
sch:kArAniketa,28472:kArAniketa:n:
sch:kArApaka,10436:kArApaka:n:
sch:kAruRyavant,28474:kAruRyavant:n:
sch:kArotara,10446:kArotara:n:
sch:kArmaRaka,28477:kArmaRaka:n:
sch:kArmanAmika,10459:kArmanAmika:n:
sch:kArmAntika,28478:kArmAntika:n:
sch:kArmAraka,10461:kArmAraka:n:
sch:kArmika,28480:kArmika:n:
sch:kArmuka,10462:kArmuka:n:
sch:kAlacitra,28481:kAlacitra:n:
sch:kAlajihva,10482:kAlajihva:n:
sch:kAlatAmra,28483:kAlatAmra:n:
sch:kAladamana,10485:kAladamana:n:
sch:kAlapattraka,28484:kAlapattraka:n:
sch:kAlaparipAka,10493:kAlaparipAka:n:
sch:kAlaparvataka,28485:kAlaparvataka:n:
sch:kAlapfzwa,10495:kAlapfzwa:n:
sch:kAlarUpa,28486:kAlarUpa:n:
sch:kAlalavaRa,10505:kAlalavaRa:n:
sch:kAlasnigDa,28487:kAlasnigDa:n:
sch:kAlahariRa,10518:kAlahariRa:n:
sch:kAlAkzI,28488:kAlAkzI:n:
sch:kAlAgaru,10522:kAlAgaru:n:
sch:kAliNgaka,28490:kAliNgaka:n:
sch:kAlita,10535:kAlita:n:
sch:kAlInAga,28492:kAlInAga:n:
sch:kAlecaryA,10544:kAlecaryA:n:
sch:kAleyaka,28493:kAleyaka:n:
sch:kAlopa,10546:kAlopa:n:
sch:kASahrada,28494:kASahrada:n:
sch:kASIkArikA,10569:kASIkArikA:n:
sch:kASmakarAzwraka,28495:kASmakarAzwraka:n:
sch:kASmalya,10571:kASmalya:n:
sch:kASmIrIrasa,28496:kASmIrIrasa:n:
sch:kASmIropala,10576:kASmIropala:n:
sch:kAzWAkara,28497:kAzWAkara:n:
sch:kAzWAmuni,10588:kAzWAmuni:n:
sch:kAzWAyate,28498:kAzWAyate:n:
sch:kAzWAluka,10589:kAzWAluka:n:
sch:kiwika,28500:kiwika:n:
sch:kiwikA,10622:kiwikA:n:
sch:kiraRamAlin,28501:kiraRamAlin:n:
sch:kirAtatA,10651:kirAtatA:n:
sch:kirAtatikta,28502:kirAtatikta:n:
sch:kirAtaveza,10652:kirAtaveza:n:
sch:kilAwa,28504:kilAwa:n:
sch:kilAqa,10663:kilAqa:n:
sch:kisaliya,28505:kisaliya:n:
sch:kIkawa,10678:kIkawa:n:
sch:kIrtirAja,28508:kIrtirAja:n:
sch:kIrtirAya,10699:kIrtirAya:n:
sch:kuYjarOpavAhya,28509:kuYjarOpavAhya:n:
sch:kuYjavant,10747:kuYjavant:n:
sch:kuwIrakzaka,28510:kuwIrakzaka:n:
sch:kuwIrI,10755:kuwIrI:n:
sch:kuwwaka,28511:kuwwaka:n:
sch:kuwwana,10761:kuwwana:n:
sch:kuqaNgeSvara,28516:kuqaNgeSvara:n:
sch:kuqaja,10768:kuqaja:n:
sch:kuqumba,28517:kuqumba:n:
sch:kuqUla,10770:kuqUla:n:
sch:kuRa,28518:kuRa:n:
sch:kuRapa,10774:kuRapa:n:
sch:kuRqalikA,28519:kuRqalikA:n:
sch:kuRqalita,10784:kuRqalita:n:
sch:kutupa,28520:kutupa:n:
sch:kutUhalavftti,10801:kutUhalavftti:n:
sch:kunIti,28521:kunIti:n:
sch:kunta,10817:kunta:n:
sch:kuntalita,28522:kuntalita:n:
sch:kuntalin,10821:kuntalin:n:
sch:kupyopajIvin,28527:kupyopajIvin:n:
sch:kuprayukta,10836:kuprayukta:n:
sch:kuBrAmi,28528:kuBrAmi:n:
sch:kumatisAgara,10847:kumatisAgara:n:
sch:kumArI,28529:kumArI:n:
sch:kumArga,10857:kumArga:n:
sch:kumudasuhfd,28524:kumudasuhfd:n:
sch:kumudAyate,10866:kumudAyate:n:
sch:kumpaka,28525:kumpaka:n:
sch:kumpala,10873:kumpala:n:
sch:kumBakukzika,28530:kumBakukzika:n:
sch:kumBakft,10874:kumBakft:n:
sch:kuraNgakadfS,28531:kuraNgakadfS:n:
sch:kuraNgaketu,10890:kuraNgaketu:n:
sch:kurumba,28532:kurumba:n:
sch:kurumbikA,10918:kurumbikA:n:
sch:kuSikyA,28534:kuSikyA:n:
sch:kuSIlava,10996:kuSIlava:n:
sch:kuzWaganDi,28535:kuzWaganDi:n:
sch:kuzWagala,11004:kuzWagala:n:
sch:kuhunA,28536:kuhunA:n:
sch:kuhU,11048:kuhU:n:
sch:kUwamudrA,28537:kUwamudrA:n:
sch:kUwayantra,11058:kUwayantra:n:
sch:kUwAvapAta,28538:kUwAvapAta:n:
sch:kUwI,11071:kUwI:n:
sch:kUrpasa,28542:kUrpasa:n:
sch:kUrpAsa,11096:kUrpAsa:n:
sch:kUrmaka,28543:kUrmaka:n:
sch:kUrmakuwIraka,11099:kUrmakuwIraka:n:
sch:kftakarRika,28544:kftakarRika:n:
sch:kftakzaRa,11124:kftakzaRa:n:
sch:kftaSulka,28545:kftaSulka:n:
sch:kftasatkfti,11151:kftasatkfti:n:
sch:kftASaMsa,28546:kftASaMsa:n:
sch:kftASraya,11163:kftASraya:n:
sch:kftivid,28547:kftivid:n:
sch:kftodvAha,11167:kftodvAha:n:
sch:kftyetara,28548:kftyetara:n:
sch:kftrimatA,11173:kftrimatA:n:
sch:kelimant,28550:kelimant:n:
sch:kelivApI,11306:kelivApI:n:
sch:kevalaBft,28551:kevalaBft:n:
sch:kevalam,11311:kevalam:n:
sch:keSakAra,28552:keSakAra:n:
sch:keSakft,11317:keSakft:n:
sch:keSarapASa,11330:keSarapASa:n:
sch:keSavaSrezWin,11321:keSavaSrezWin:n:
sch:kEraveSa,28553:kEraveSa:n:
sch:kErAwaka,11355:kErAwaka:n:
sch:kokilasaMcArin,28554:kokilasaMcArin:n:
sch:kokunda,11366:kokunda:n:
sch:koCarabA,28555:koCarabA:n:
sch:kowanaka,11369:kowanaka:n:
sch:kowiveDarasa,28556:kowiveDarasa:n:
sch:kowiSatatama,11381:kowiSatatama:n:
sch:koWamaRqalacitra,28557:koWamaRqalacitra:n:
sch:koRa,11388:koRa:n:
sch:koSAkAraparvataka,28558:koSAkAraparvataka:n:
sch:koSAtakI,11415:koSAtakI:n:
sch:koSADipa,28559:koSADipa:n:
sch:koSADyakza,11416:koSADyakza:n:
sch:kONkuRadeSIya,28562:kONkuRadeSIya:n:
sch:kONga,11430:kONga:n:
sch:kOwa,28563:kOwa:n:
sch:kOwumbya,11433:kOwumbya:n:
sch:kOtukin,28564:kOtukin:n:
sch:kOtUhalajAta,11440:kOtUhalajAta:n:
sch:kOmudacandra,28565:kOmudacandra:n:
sch:kOmudIjAgara,11450:kOmudIjAgara:n:
sch:kOleya,28566:kOleya:n:
sch:kOlya,11465:kOlya:n:
sch:kOzWeyaka,28567:kOzWeyaka:n:
sch:kOsIdya,11475:kOsIdya:n:
sch:kramamudrA,28568:kramamudrA:n:
sch:kramayogAt,11490:kramayogAt:n:
sch:krayima,28570:krayima:n:
sch:krayya,11499:krayya:n:
sch:krimitAna,28571:krimitAna:n:
sch:krimRa,11508:krimRa:n:
sch:kriyAvipanna,28572:kriyAvipanna:n:
sch:kriyAviSAla,11513:kriyAviSAla:n:
sch:krIqASuka,28573:krIqASuka:n:
sch:krIqAsadman,11531:krIqAsadman:n:
sch:krozwfka,28576:krozwfka:n:
sch:krOYca,11556:krOYca:n:
sch:klizwaGAtam,28578:klizwaGAtam:n:
sch:klIta,11563:klIta:n:
sch:kzatta,28579:kzatta:n:
sch:kzattar,11597:kzattar:n:
sch:kzayAhan,28580:kzayAhan:n:
sch:kzayya,11645:kzayya:n:
sch:kzIrapaka,28582:kzIrapaka:n:
sch:kzIramftsna,11694:kzIramftsna:n:
sch:kzudraka,28583:kzudraka:n:
sch:kzudraDamanI,11710:kzudraDamanI:n:
sch:kzurapramAlA,28584:kzurapramAlA:n:
sch:kzuraprin,11717:kzuraprin:n:
sch:kzetrapati,28586:kzetrapati:n:
sch:kzetrapAlaDUpa,11728:kzetrapAlaDUpa:n:
sch:kzetrADipati,28587:kzetrADipati:n:
sch:kzetrAnukramaRI,11731:kzetrAnukramaRI:n:
sch:kzetrin,28588:kzetrin:n:
sch:kzetriya,11732:kzetriya:n:
sch:kzemarAtri,28590:kzemarAtri:n:
sch:kzemAvatI,11738:kzemAvatI:n:
sch:kzoRIpa,28591:kzoRIpa:n:
sch:kzoRIBartar,11744:kzoRIBartar:n:
sch:kzvelA,28592:kzvelA:n:
sch:kzvelita,11768:kzvelita:n:
sch:Kacaya,28593:Kacaya:n:
sch:KaYja,11774:KaYja:n:
sch:KaRqapraSasti,28594:KaRqapraSasti:n:
sch:KaRqaPulla,11818:KaRqaPulla:n:
sch:KaRqasaMGAtya,28596:KaRqasaMGAtya:n:
sch:KaRqasPuwa,11822:KaRqasPuwa:n:
sch:KaRqenduSiromaRi,11831:KaRqenduSiromaRi:n:
sch:KaRqopala,11830:KaRqopala:n:
sch:Kattaka,28597:Kattaka:n:
sch:Kadana,11832:Kadana:n:
sch:KanI,28598:KanI:n:
sch:Kanya,11838:Kanya:n:
sch:KanyaDyakza,28599:KanyaDyakza:n:
sch:KanyavAda,11839:KanyavAda:n:
sch:Kalli,28600:Kalli:n:
sch:KalvakA,11896:KalvakA:n:
sch:KAtapOruza,28601:KAtapOruza:n:
sch:KAtA,11910:KAtA:n:
sch:KiNga,28603:KiNga:n:
sch:Kiqga,11919:Kiqga:n:
sch:KilatA,28604:KilatA:n:
sch:Killita,11922:Killita:n:
sch:KecarIcakra,28606:KecarIcakra:n:
sch:Kew,11934:Kew:n:
sch:Keqa,28607:Keqa:n:
sch:Keqqa,11937:Keqqa:n:
sch:gaHsukA,12237:gaHsukA:n:
sch:gaganakamala,11950:gaganakamala:n:
sch:gaganagAminI,28608:gaganagAminI:n:
sch:gaganagirimunIndracarita,11954:gaganagirimunIndracarita:n:
sch:gaNgA,28609:gaNgA:n:
sch:gaNgAstava,11967:gaNgAstava:n:
sch:gaRqikA,28612:gaRqikA:n:
sch:gaRqirAkowitA,12061:gaRqirAkowitA:n:
sch:gatagara,28614:gatagara:n:
sch:gataGfRa,12068:gataGfRa:n:
sch:gatatarA,28615:gatatarA:n:
sch:gatatfzRa,12070:gatatfzRa:n:
sch:ganDasuKa,28616:ganDasuKa:n:
sch:ganDasragdAmavant,12118:ganDasragdAmavant:n:
sch:gamBIriman,28617:gamBIriman:n:
sch:gaya,12139:gaya:n:
sch:garuqabanDa,12274:garuqabanDa:n:
sch:garuqamaRi,12152:garuqamaRi:n:
sch:gartApUrI,28618:gartApUrI:n:
sch:gartezWA,12165:gartezWA:n:
sch:gardaBadanta,28619:gardaBadanta:n:
sch:gardaBAkrAnta,12170:gardaBAkrAnta:n:
sch:garBaDAraRa,28620:garBaDAraRa:n:
sch:garBanAga,12174:garBanAga:n:
sch:garBiRikAvarja,12275:garBiRikAvarja:n:
sch:garBita,12196:garBita:n:
sch:galiNga,28622:galiNga:n:
sch:galita,12222:galita:n:
sch:gaveDuka,28624:gaveDuka:n:
sch:gahanarUpa,12238:gahanarUpa:n:
sch:gAqarAraGawwa,28625:gAqarAraGawwa:n:
sch:gAQavarcas,12248:gAQavarcas:n:
sch:gAnDArapaNka,12276:gAnDArapaNka:n:
sch:gAmBIra,12267:gAmBIra:n:
sch:gArBiRa,28627:gArBiRa:n:
sch:gAlana,12284:gAlana:n:
sch:giRigiRat,28628:giRigiRat:n:
sch:girika,12289:girika:n:
sch:giriDArin,28629:giriDArin:n:
sch:girinadikA,12295:girinadikA:n:
sch:giriSAgAra,28630:giriSAgAra:n:
sch:girisuta,12306:girisuta:n:
sch:gItarasikA,28631:gItarasikA:n:
sch:gItAgUQArTadIpikA,12310:gItAgUQArTadIpikA:n:
sch:guptaveza,28633:guptaveza:n:
sch:guptitas,12360:guptitas:n:
sch:gumP,28635:gumP:n:
sch:gumPanikA,12367:gumPanikA:n:
sch:gurUdara,28636:gurUdara:n:
sch:gurUpasattivijaya,12379:gurUpasattivijaya:n:
sch:gUQAjIva,28637:gUQAjIva:n:
sch:gUQAjIvin,12414:gUQAjIvin:n:
sch:goLikA,12492:goLikA:n:
sch:gokaRwaka,12478:gokaRwaka:n:
sch:goRqita,28639:goRqita:n:
sch:gotra,12495:gotra:n:
sch:gotrajA,28640:gotrajA:n:
sch:gotraDAtrIDara,12496:gotraDAtrIDara:n:
sch:godAvarI,28641:godAvarI:n:
sch:goDa,12509:goDa:n:
sch:gonaSa,28642:gonaSa:n:
sch:gonAsa,12518:gonAsa:n:
sch:gopAlaka,28644:gopAlaka:n:
sch:gopAlagiri,12527:gopAlagiri:n:
sch:gomatI,28645:gomatI:n:
sch:gomaya,12542:gomaya:n:
sch:gozWika,28647:gozWika:n:
sch:gozWikakarma,12572:gozWikakarma:n:
sch:grahagati,28649:grahagati:n:
sch:grahagocaraPala,12621:grahagocaraPala:n:
sch:grahatA,28650:grahatA:n:
sch:grahatva,12628:grahatva:n:
sch:grEveyakarma,28651:grEveyakarma:n:
sch:grEzma,12679:grEzma:n:
sch:GawaSatAyate,28653:GawaSatAyate:n:
sch:GawA,12694:GawA:n:
sch:GawikAgfha,28656:GawikAgfha:n:
sch:GawikAcallamAhAtmya,12697:GawikAcallamAhAtmya:n:
sch:GAtuka,28660:GAtuka:n:
sch:GArikA,12761:GArikA:n:
sch:cauliNga,28680:cauliNga:n:
sch:cakawi,12823:cakawi:n:
sch:cakraBramam,28663:cakraBramam:n:
sch:cakramOlin,12852:cakramOlin:n:
sch:cakzuHSravas,12870:cakzuHSravas:n:
sch:cakzurapeta,12867:cakzurapeta:n:
sch:caRqaBAnu,28664:caRqaBAnu:n:
sch:caRqaBAva,12911:caRqaBAva:n:
sch:caRquka,28665:caRquka:n:
sch:caRqeSvara,12931:caRqeSvara:n:
sch:catuHsarika,28666:catuHsarika:n:
sch:catuHsIta,13004:catuHsIta:n:
sch:catuHsvarya,13202:catuHsvarya:n:
sch:catura,12933:catura:n:
sch:catvAriMSatkulI,28667:catvAriMSatkulI:n:
sch:catvAriMSanmAna,13008:catvAriMSanmAna:n:
sch:candanI,28668:candanI:n:
sch:candira,13017:candira:n:
sch:candrAvalI,28669:candrAvalI:n:
sch:candrASma,13063:candrASma:n:
sch:camarikA,28671:camarikA:n:
sch:camarIruha,13086:camarIruha:n:
sch:campA,28672:campA:n:
sch:cayanakArikA,13099:cayanakArikA:n:
sch:caladala,28677:caladala:n:
sch:calana,13155:calana:n:
sch:calAcalatA,28678:calAcalatA:n:
sch:calita,13160:calita:n:
sch:cANgadeva,28681:cANgadeva:n:
sch:cAciReSvara,13175:cAciReSvara:n:
sch:cAdiga,28683:cAdiga:n:
sch:cAndra,13204:cAndra:n:
sch:cAmuRqarAja,28684:cAmuRqarAja:n:
sch:cAmuRqAmuKA,13224:cAmuRqAmuKA:n:
sch:cArarAtri,28685:cArarAtri:n:
sch:cAriwI,13234:cAriwI:n:
sch:cAhaqa,28687:cAhaqa:n:
sch:ci,13249:ci:n:
sch:citkArin,13363:citkArin:n:
sch:citta,13273:citta:n:
sch:cittaraNga,28689:cittaraNga:n:
sch:cittavikzepa,13282:cittavikzepa:n:
sch:citrakasidDi,28690:citrakasidDi:n:
sch:citrakAya,13295:citrakAya:n:
sch:citrakArin,28691:citrakArin:n:
sch:citrakft,13297:citrakft:n:
sch:citrapadAti,28692:citrapadAti:n:
sch:citrapadDati,13301:citrapadDati:n:
sch:cintAyikatva,28693:cintAyikatva:n:
sch:cipiwa,13335:cipiwa:n:
sch:culukay,28695:culukay:n:
sch:culukI,13394:culukI:n:
sch:culhI,28696:culhI:n:
sch:cuScuzA,13401:cuScuzA:n:
sch:cetaHSilA,13434:cetaHSilA:n:
sch:cetaka,13430:cetaka:n:
sch:cetanAcetanika,28698:cetanAcetanika:n:
sch:cetanAyate,13433:cetanAyate:n:
sch:cetam,28697:cetam:n:
sch:cetasa,13435:cetasa:n:
sch:cEtyaSalAkA,28699:cEtyaSalAkA:n:
sch:cEtra,13456:cEtra:n:
sch:CattraSilA,28700:CattraSilA:n:
sch:Cattrodaka,13508:Cattrodaka:n:
sch:CadiHsaMmita,13516:CadiHsaMmita:n:
sch:CadirdarSa,13514:CadirdarSa:n:
sch:CandaHSloka,13524:CandaHSloka:n:
sch:CandadAyaka,13520:CandadAyaka:n:
sch:CalaGAtin,28701:CalaGAtin:n:
sch:Calana,13535:Calana:n:
sch:jagadISitar,28702:jagadISitar:n:
sch:jagadISIya,13598:jagadISIya:n:
sch:jaNGAgra,28703:jaNGAgra:n:
sch:jaNGAcArika,13611:jaNGAcArika:n:
sch:janakfSa,28704:janakfSa:n:
sch:janaMgama,13655:janaMgama:n:
sch:janiBft,28705:janiBft:n:
sch:janimant,13673:janimant:n:
sch:jayataladevI,28706:jayataladevI:n:
sch:jayana,13714:jayana:n:
sch:jaradgavI,28707:jaradgavI:n:
sch:jaradgu,13732:jaradgu:n:
sch:jalajanetra,28708:jalajanetra:n:
sch:jalajAta,13757:jalajAta:n:
sch:java,28709:java:n:
sch:javatA,13804:javatA:n:
sch:javana,28710:javana:n:
sch:javanaprajYa,13805:javanaprajYa:n:
sch:jahnujA,28711:jahnujA:n:
sch:ja|u,13803:ja|u:n:
sch:jANgulIvid,28713:jANgulIvid:n:
sch:jANmAyana,13826:jANmAyana:n:
sch:jAnakIjAni,28714:jAnakIjAni:n:
sch:jAnana,13859:jAnana:n:
sch:jAbAlipura,28715:jAbAlipura:n:
sch:jAmadagnya,13868:jAmadagnya:n:
sch:jAmeya,28716:jAmeya:n:
sch:jAmba,13871:jAmba:n:
sch:jitakASitA,28718:jitakASitA:n:
sch:jitakAsin,13903:jitakAsin:n:
sch:jIrRaBuj,28719:jIrRaBuj:n:
sch:jIrvi,13927:jIrvi:n:
sch:joza,28720:joza:n:
sch:jozaDizaRa,13989:jozaDizaRa:n:
sch:jyotizkendra,28723:jyotizkendra:n:
sch:jyotizpaTa,14036:jyotizpaTa:n:
sch:jyotistamaHparAyaRa,14039:jyotistamaHparAyaRa:n:
sch:jyotismati,14038:jyotismati:n:
sch:JaRajJaRatkArin,14066:JaRajJaRatkArin:n:
sch:JaRajJaRiti,14064:JaRajJaRiti:n:
sch:JaRaJaRat,28724:JaRaJaRat:n:
sch:JaRaJaRatkAra,14067:JaRaJaRatkAra:n:
sch:JolikAvihAra,28725:JolikAvihAra:n:
sch:w,14106:w:n:
sch:waMkArayati,28726:waMkArayati:n:
sch:waMkfti,14113:waMkfti:n:
sch:qamPa,28727:qamPa:n:
sch:qambarika,14137:qambarika:n:
sch:QaNkaSAlA,28728:QaNkaSAlA:n:
sch:QArikA,14158:QArikA:n:
sch:tapaHsuta,14314:tapaHsuta:n:
sch:tapatapanakAla,14302:tapatapanakAla:n:
sch:tapanatanaya,28729:tapanatanaya:n:
sch:tapanaduhitf,14304:tapanaduhitf:n:
sch:taraRitanUjA,28731:taraRitanUjA:n:
sch:taraRitIriRI,14359:taraRitIriRI:n:
sch:tarRakapAla,28732:tarRakapAla:n:
sch:tarpa,14390:tarpa:n:
sch:tasarikA,14422:tasarikA:n:
sch:tA,14167:tA:n:
sch:tAdAtvika,14448:tAdAtvika:n:
sch:tAdAyani,14444:tAdAyani:n:
sch:tApikA,28733:tApikA:n:
sch:tApicCa,14458:tApicCa:n:
sch:tArADipAsyA,28734:tArADipAsyA:n:
sch:tArADiBU,14501:tArADiBU:n:
sch:tAlApacAra,28735:tAlApacAra:n:
sch:tAlAvacAra,14530:tAlAvacAra:n:
sch:tirojanapada,28737:tirojanapada:n:
sch:tirohitatva,14584:tirohitatva:n:
sch:tuhinagirinandinI,28739:tuhinagirinandinI:n:
sch:tuhinataru,14725:tuhinataru:n:
sch:tfRAvartaka,28740:tfRAvartaka:n:
sch:tfRAhAra,14769:tfRAhAra:n:
sch:tfzRAvArin,28741:tfzRAvArin:n:
sch:teja,14779:teja:n:
sch:toqara,28742:toqara:n:
sch:tottar,14798:tottar:n:
sch:triHsamfdDatva,14983:triHsamfdDatva:n:
sch:trika,14845:trika:n:
sch:tridivati,28743:tridivati:n:
sch:tridivadruma,14876:tridivadruma:n:
sch:tripadI,28744:tripadI:n:
sch:triparivartam,14899:triparivartam:n:
sch:dalatA,28747:dalatA:n:
sch:dalavIwaka,15194:dalavIwaka:n:
sch:daSamitA,28748:daSamitA:n:
sch:daSamIsTa,15221:daSamIsTa:n:
sch:daSAsyArAti,28750:daSAsyArAti:n:
sch:daSottara,15245:daSottara:n:
sch:dAvapAvaka,28751:dAvapAvaka:n:
sch:dAS,15320:dAS:n:
sch:dAsati,28752:dAsati:n:
sch:dAsI,15325:dAsI:n:
sch:duHsPowa,15575:duHsPowa:n:
sch:dukUla,15447:dukUla:n:
sch:dUradUzaRa,28753:dUradUzaRa:n:
sch:dUraBAj,15585:dUraBAj:n:
sch:dfgaMSa,28754:dfgaMSa:n:
sch:dfgambu,15600:dfgambu:n:
sch:doHsADika,15757:doHsADika:n:
sch:doNgaka,15734:doNgaka:n:
sch:dOHsTya,15774:dOHsTya:n:
sch:dOgDikasasya,15761:dOgDikasasya:n:
sch:dviHsama,15960:dviHsama:n:
sch:dvikAlam,15893:dvikAlam:n:
sch:naBaHsad,16367:naBaHsad:n:
sch:naBaScara,16365:naBaScara:n:
sch:naBoga,16370:naBoga:n:
sch:naBoNgaRa,16369:naBoNgaRa:n:
sch:niHsveda,17212:niHsveda:n:
sch:nikawa,16686:nikawa:n:
sch:nEHsargika,17373:nEHsargika:n:
sch:nEkawika,17332:nEkawika:n:
sch:pakzaMbfhat,17435:pakzaMbfhat:n:
sch:pakzarakta,17434:pakzarakta:n:
sch:payaHsPAti,17758:payaHsPAti:n:
sch:payasijanilaya,17755:payasijanilaya:n:
sch:parokta,18069:parokta:n:
sch:parokzabanDu,18067:parokzabanDu:n:
sch:punaHsaMBava,18671:punaHsaMBava:n:
sch:punarAgati,18656:punarAgati:n:
sch:puraHsTa,18698:puraHsTa:n:
sch:puradrohin,18677:puradrohin:n:
sch:pratiniHsfjya,19187:pratiniHsfjya:n:
sch:pratinikAyam,19181:pratinikAyam:n:
sch:pratipradeSam,19212:pratipradeSam:n:
sch:pratipranayapreyasi,19210:pratipranayapreyasi:n:
sch:prANmuKAYcana,19737:prANmuKAYcana:n:
sch:prAcAra,19717:prAcAra:n:
sch:prAtaHSEla,19740:prAtaHSEla:n:
sch:prAtaraSana,19738:prAtaraSana:n:
sch:prAtipakzya,28755:prAtipakzya:n:
sch:prAtipaTika,19744:prAtipaTika:n:
sch:bahiHstomaBAgam,20114:bahiHstomaBAgam:n:
sch:bahitra,20098:bahitra:n:
sch:BAMkfti,20548:BAMkfti:n:
sch:BAjanacArika,20530:BAjanacArika:n:
sch:maDyemArgam,21124:maDyemArgam:n:
sch:maDyelikam,21120:maDyelikam:n:
sch:manaHsuKa,21141:manaHsuKa:n:
sch:manana,21131:manana:n:
sch:mAhAnasika,21645:mAhAnasika:n:
sch:mAhAnasikI,21377:mAhAnasikI:n:
sch:yAminI,22231:yAminI:n:
sch:yAminIpriyatama,22228:yAminIpriyatama:n:
sch:rAjadana,22600:rAjadana:n:
sch:rAjadvizwa,22576:rAjadvizwa:n:
sch:vaNgulIjAla,23429:vaNgulIjAla:n:
sch:vaNgerikA,23078:vaNgerikA:n:
sch:vatUlIBrama,23464:vatUlIBrama:n:
sch:vattura,23129:vattura:n:
sch:viSvadfSvan,24175:viSvadfSvan:n:
sch:viSvadyuti,24173:viSvadyuti:n:
sch:SAlaka,24970:SAlaka:n:
sch:SAlate,24969:SAlate:n:
sch:SiraHsnAnIya,25043:SiraHsnAnIya:n:
sch:Sirastra,25041:Sirastra:n:
sch:Sirovezwana,25052:Sirovezwana:n:
sch:SirosTi,25048:SirosTi:n:
sch:saMyAtatilakA,25686:saMyAtatilakA:n:
sch:saMyAtI,25492:saMyAtI:n:
sch:salaya,26260:salaya:n:
sch:salAkAnyAsa,24868:salAkAnyAsa:n:
sch:sAmAyika,26426:sAmAyika:n:
sch:sAmAloka,26002:sAmAloka:n:
sch:sidD,26577:sidD:n:
sch:sidDacUrRa,26561:sidDacUrRa:n:
sch:sutraSAlA,26906:sutraSAlA:n:
sch:sutrAmatA,26669:sutrAmatA:n:
sch:srotoYjana,27269:srotoYjana:n:
sch:srotonugata,27268:srotonugata:n:
sch:svaHsvEriRI,27349:svaHsvEriRI:n:
sch:svakaraRa,27274:svakaraRa:n:
sch:hiRqanaka,27576:hiRqanaka:n:
sch:hiRqolA,27573:hiRqolA:n:
