sch:aMSu,9:aMSu:n:
sch:apUrvin,3650:apUrvin:n:
sch:apfTagASraya,27868:apfTagASraya:n:
sch:apetavant,3657:apetavant:n:
sch:apetaSaNkam,27869:apetaSaNkam:n:
sch:apratiraTa,3748:apratiraTa:n:
sch:apratirAgin,27871:apratirAgin:n:
sch:aprativiDAna,3758:aprativiDAna:n:
sch:aprativiDi,27873:aprativiDi:n:
sch:apratizWAyuka,3775:apratizWAyuka:n:
sch:apratizWita,3774:apratizWita:n:
sch:apratisADya,3781:apratisADya:n:
sch:apratihata,27874:apratihata:n:
sch:apraBUta,3817:apraBUta:n:
sch:apraBUzRu,27875:apraBUzRu:n:
sch:apravedita,3840:apravedita:n:
sch:apraveSana,27876:apraveSana:n:
sch:aprApta,3855:aprApta:n:
sch:aprAptaka,27878:aprAptaka:n:
sch:abDivikfti,3948:abDivikfti:n:
sch:abDiSaya,27880:abDiSaya:n:
sch:aBayaruci,3972:aBayaruci:n:
sch:aBayavana,27881:aBayavana:n:
sch:aBalla,3976:aBalla:n:
sch:aBava,27882:aBava:n:
sch:aBinIla,4074:aBinIla:n:
sch:aBineya,27885:aBineya:n:
sch:aBirudgatA,4155:aBirudgatA:n:
sch:aBirUpadAyaka,27887:aBirUpadAyaka:n:
sch:aBivivAsa,4179:aBivivAsa:n:
sch:aBivIkzA,27888:aBivIkzA:n:
sch:aBisaMGarza,4207:aBisaMGarza:n:
sch:aBisaBam,27889:aBisaBam:n:
sch:aBisfti,4216:aBisfti:n:
sch:aBisftvarI,27890:aBisftvarI:n:
sch:aBUmida,4243:aBUmida:n:
sch:aBUmiDara,27891:aBUmiDara:n:
sch:aBUri,4245:aBUri:n:
sch:aBfta,27892:aBfta:n:
sch:aByamitrIRa,4264:aByamitrIRa:n:
sch:aByarRajuz,27893:aByarRajuz:n:
sch:aByavacAruka,4269:aByavacAruka:n:
sch:aByavapatti,27894:aByavapatti:n:
sch:aByArohuka,4289:aByArohuka:n:
sch:aByASajuz,27896:aByASajuz:n:
sch:aByAhitAgni,4292:aByAhitAgni:n:
sch:aByukza,27897:aByukza:n:
sch:aByucCrAya,4293:aByucCrAya:n:
sch:aByujjvalana,27898:aByujjvalana:n:
sch:aByudayana,4297:aByudayana:n:
sch:aByudayika,27899:aByudayika:n:
sch:aBravAwika,4333:aBravAwika:n:
sch:aBravilAyam,27900:aBravilAyam:n:
sch:amantrin,4370:amantrin:n:
sch:amandarAga,27902:amandarAga:n:
sch:amarapuraMDrI,4390:amarapuraMDrI:n:
sch:amaraBartf,27903:amaraBartf:n:
sch:amaramuni,4393:amaramuni:n:
sch:amarayozit,27904:amarayozit:n:
sch:amarANganA,4406:amarANganA:n:
sch:amarAdri,27905:amarAdri:n:
sch:amAra,4443:amAra:n:
sch:amArikAripaYcakula,27907:amArikAripaYcakula:n:
sch:amuzita,4467:amuzita:n:
sch:amUrKa,27909:amUrKa:n:
sch:amftakara,4475:amftakara:n:
sch:amftakaramuKI,27910:amftakaramuKI:n:
sch:amftabinduskandopanizad,4492:amftabinduskandopanizad:n:
sch:amftaBAnu,27911:amftaBAnu:n:
sch:amftarocis,4502:amftarocis:n:
sch:amftavant,27914:amftavant:n:
sch:amftasamudra,4504:amftasamudra:n:
sch:amftAMSuka,27916:amftAMSuka:n:
sch:amftAsaNga,4510:amftAsaNga:n:
sch:amftodaka,27918:amftodaka:n:
sch:amfdita,4515:amfdita:n:
sch:amfdu,27919:amfdu:n:
sch:amokzaRIya,4524:amokzaRIya:n:
sch:amokzya,27921:amokzya:n:
sch:ambarIza,4548:ambarIza:n:
sch:ambazWa,27923:ambazWa:n:
sch:ambujapati,4557:ambujapati:n:
sch:ambujalocanA,27925:ambujalocanA:n:
sch:amBojabanDu,4592:amBojabanDu:n:
sch:amBojarAga,27927:amBojarAga:n:
sch:amBojinI,4595:amBojinI:n:
sch:amBojinIpati,27928:amBojinIpati:n:
sch:amBoBft,4600:amBoBft:n:
sch:amBoruhalocanA,27930:amBoruhalocanA:n:
sch:amradiman,4601:amradiman:n:
sch:amlaSIDu,27933:amlaSIDu:n:
sch:ayaHsUcikA,4636:ayaHsUcikA:n:
sch:ayajurvedaDArin,4608:ayajurvedaDArin:n:
sch:ayajYopavItin,4612:ayajYopavItin:n:
sch:ayatAtmatA,27934:ayatAtmatA:n:
sch:ayatta,4613:ayatta:n:
sch:ayatnavat,27935:ayatnavat:n:
sch:ayukta,4653:ayukta:n:
sch:ayuktakArin,27936:ayuktakArin:n:
sch:ayukparRa,4656:ayukparRa:n:
sch:ayugacakzus,27938:ayugacakzus:n:
sch:ayugalaparRa,4657:ayugalaparRa:n:
sch:ayugalocana,27939:ayugalocana:n:
sch:ayugmacCada,4661:ayugmacCada:n:
sch:ayugmabARa,27941:ayugmabARa:n:
sch:aye,4674:aye:n:
