mci:vAruRi,302:vAruRi:n:
mci:vArzReya,2513:vArzReya:n:
mci:vArzReya,2513:vArzReya:n:
mci:vAlakowi,1647:vAlakowi:n:
mci:vAsizWa,782:vAsizWa:n:
mci:vAsuki,308:vAsuki:n:
mci:vAsuki,308:vAsuki:n:
mci:vAsukes,1649:vAsukes:n:
mci:vAsudeva,2515:vAsudeva:n:
mci:vAstu,1650:vAstu:n:
mci:vicakra,576:vicakra:n:
mci:vicitrA,1651:vicitrA:n:
mci:vijaya,577:vijaya:n:
mci:vitastA,1652:vitastA:n:
mci:vidarAyAS,785:vidarAyAS:n:
mci:vidarBa,2522:vidarBa:n:
mci:vidarBa,2522:vidarBa:n:
mci:vidiSA,1653:vidiSA:n:
mci:vidurAgamana,784:vidurAgamana:n:
mci:videha,2523:videha:n:
mci:videha,2523:videha:n:
mci:vidyAtIrTa,1654:vidyAtIrTa:n:
mci:vinatAsUnu,313:vinatAsUnu:n:
mci:vinaSaRa,1656:vinaSaRa:n:
mci:vinaSaRa,1656:vinaSaRa:n:
mci:vinaSana,1655:vinaSana:n:
mci:vinDyapulaka,2525:vinDyapulaka:n:
mci:vipApA,1659:vipApA:n:
mci:viBor,2015:viBor:n:
mci:vimala,1661:vimala:n:
mci:vimalapiRqaka,314:vimalapiRqaka:n:
mci:vimalASoka,1663:vimalASoka:n:
mci:virasa,316:virasa:n:
mci:virAwanagara,2016:virAwanagara:n:
mci:vivAja,318:vivAja:n:
mci:viSalyA,1667:viSalyA:n:
mci:viSAKA,940:viSAKA:n:
mci:viSAlA,1669:viSAlA:n:
mci:viSozaRa,580:viSozaRa:n:
mci:viSravasaH,2017:viSravasaH:n:
mci:viSvAmitra,941:viSvAmitra:n:
mci:viSvAmitranadI,1670:viSvAmitranadI:n:
mci:viSvAmitrASrama,2018:viSvAmitrASrama:n:
mci:viSveSvarasTAna,1673:viSveSvarasTAna:n:
mci:vizRuDanvan,320:vizRuDanvan:n:
mci:vizRupada,1674:vizRupada:n:
mci:vihaNga,321:vihaNga:n:
mci:vItahavya,2526:vItahavya:n:
mci:vIraka,2527:vIraka:n:
mci:vIrapramokza,1677:vIrapramokza:n:
mci:vIrASrama,2022:vIrASrama:n:
mci:vIriRI,1680:vIriRI:n:
mci:vftta,322:vftta:n:
mci:vfdDakanyAyAs,1681:vfdDakanyAyAs:n:
mci:vfndAwaka,2024:vfndAwaka:n:
mci:vfzadaMSa,1682:vfzadaMSa:n:
mci:vfzaDvajasya,2025:vfzaDvajasya:n:
mci:vfzaprasTa,1683:vfzaprasTa:n:
mci:vfzRi,2528:vfzRi:n:
mci:vfzRipura,2026:vfzRipura:n:
mci:vegavAhana,324:vegavAhana:n:
mci:veRika,2529:veRika:n:
mci:veRiskanDa,325:veRiskanDa:n:
mci:veRupa,2530:veRupa:n:
mci:veRumaRqala,2531:veRumaRqala:n:
mci:veRRA,1687:veRRA:n:
mci:vetrakIyagfha,2028:vetrakIyagfha:n:
mci:vetravatI,1690:vetravatI:n:
mci:vEjayantI,581:vEjayantI:n:
mci:vEqUryaparvata,1697:vEqUryaparvata:n:
mci:vEdarBa,2532:vEdarBa:n:
mci:vEdasinI,1702:vEdasinI:n:
mci:vEnateya,326:vEnateya:n:
mci:vEnandI,1703:vEnandI:n:
mci:vEnyopAKyAna,786:vEnyopAKyAna:n:
mci:vEmAnika,1704:vEmAnika:n:
mci:vErAwa,787:vErAwa:n:
mci:vErAma,2535:vErAma:n:
mci:vEvasvata,942:vEvasvata:n:
mci:vEvasvatasya,1705:vEvasvatasya:n:
mci:vESAlAkza,791:vESAlAkza:n:
mci:vESAleyAH,328:vESAleyAH:n:
mci:vESAleyAH,328:vESAleyAH:n:
mci:vESravaRasya,2032:vESravaRasya:n:
mci:vEsAKa,943:vEsAKa:n:
mci:vEhAyasa,1706:vEhAyasa:n:
mci:vyAla,585:vyAla:n:
mci:vyAsavana,1708:vyAsavana:n:
mci:vyUha,586:vyUha:n:
mci:vyomagaNgA,1710:vyomagaNgA:n:
mci:vrIhidrORika,792:vrIhidrORika:n:
mci:Saka,2536:Saka:n:
mci:SakawavyUha,587:SakawavyUha:n:
mci:Sakuni,329:Sakuni:n:
mci:Sakti,588:Sakti:n:
mci:Sakrapura,2037:Sakrapura:n:
mci:Sakravijaya,793:Sakravijaya:n:
mci:Sakrasya,1711:Sakrasya:n:
mci:SaNkukarRa,332:SaNkukarRa:n:
mci:SaNkukarReSvara,2039:SaNkukarReSvara:n:
mci:SaNKa,333:SaNKa:n:
mci:SaNKatIrTa,1713:SaNKatIrTa:n:
mci:SaNKaSIrza,336:SaNKaSIrza:n:
mci:SaNKinI,1714:SaNKinI:n:
mci:SaRqa,2537:SaRqa:n:
mci:SatakumBA,1715:SatakumBA:n:
mci:SataGaRwA,593:SataGaRwA:n:
mci:Satadru,1716:Satadru:n:
mci:SatapaTa,794:SatapaTa:n:
mci:SatabalA,1717:SatabalA:n:
mci:SataBizaj,945:SataBizaj:n:
mci:SatayUpASrama,2041:SatayUpASrama:n:
mci:SatarudrIya,795:SatarudrIya:n:
mci:SataSfNga,1718:SataSfNga:n:
mci:SanEScara,946:SanEScara:n:
mci:Santanos,1722:Santanos:n:
mci:SaraRa,338:SaraRa:n:
mci:SaradaRqa,2539:SaradaRqa:n:
mci:SaraBa,339:SaraBa:n:
mci:SaraBaNgASrama,2042:SaraBaNgASrama:n:
mci:SaraBaNgASrama,2042:SaraBaNgASrama:n:
mci:SarayU,1723:SarayU:n:
mci:SarolbaRa,596:SarolbaRa:n:
mci:Sarmaka,2540:Sarmaka:n:
mci:Sarmila,2542:Sarmila:n:
mci:SaryAtivana,1724:SaryAtivana:n:
mci:Salapotaka,341:Salapotaka:n:
mci:Salu,1725:Salu:n:
mci:SavaRa,952:SavaRa:n:
mci:SaSayAna,1726:SaSayAna:n:
mci:SaSaroman,343:SaSaroman:n:
mci:SaSikAntA,1727:SaSikAntA:n:
mci:SAkadvIpa,2543:SAkadvIpa:n:
mci:SAkamBarI,1729:SAkamBarI:n:
mci:SAkra,597:SAkra:n:
mci:SAnavatya,2545:SAnavatya:n:
mci:SAntiparvan,799:SAntiparvan:n:
mci:SArNga,598:SArNga:n:
mci:SArNga,598:SArNga:n:
mci:SArdUlI,344:SArdUlI:n:
mci:SArdUlI,344:SArdUlI:n:
mci:SAlagrAma,2044:SAlagrAma:n:
mci:SAlipIRqa,345:SAlipIRqa:n:
mci:SAliSUrpa,1730:SAliSUrpa:n:
mci:SitikaRWa,347:SitikaRWa:n:
mci:Sini,2548:Sini:n:
mci:SibikA,599:SibikA:n:
mci:SirIzaka,348:SirIzaka:n:
mci:SilISalakara,350:SilISalakara:n:
mci:Siva,2045:Siva:n:
mci:Siva,2045:Siva:n:
mci:SivA,1732:SivA:n:
mci:SiSumAra,947:SiSumAra:n:
mci:SiSumArapura,2046:SiSumArapura:n:
mci:SiSumArapura,2046:SiSumArapura:n:
mci:SIGrA,1734:SIGrA:n:
mci:Suka,600:Suka:n:
mci:Sukasya,2047:Sukasya:n:
mci:SukI,351:SukI:n:
mci:SuktimatI,1736:SuktimatI:n:
mci:Suci,950:Suci:n:
mci:SuBaskanDa,1738:SuBaskanDa:n:
mci:SUrasena,2554:SUrasena:n:
mci:SUrpAraka,1739:SUrpAraka:n:
mci:SUla,601:SUla:n:
mci:SfNga,1740:SfNga:n:
mci:SfNgavega,352:SfNgavega:n:
mci:SfNgaverapura,2049:SfNgaverapura:n:
mci:SfNgAwaka,602:SfNgAwaka:n:
mci:SfNgin,2555:SfNgin:n:
mci:Seza,353:Seza:n:
mci:SEneya,2556:SEneya:n:
mci:SEbya,2557:SEbya:n:
mci:SErIzaka,2050:SErIzaka:n:
mci:SElAstra,603:SElAstra:n:
mci:SElodA,1741:SElodA:n:
mci:SEvala,2558:SEvala:n:
mci:SESira,1742:SESira:n:
mci:SyAma,951:SyAma:n:
mci:SyAmAyA,2051:SyAmAyA:n:
mci:SyenakapotIya,801:SyenakapotIya:n:
mci:SyenI,354:SyenI:n:
mci:SravizWA,953:SravizWA:n:
mci:SrAdDaparvan,802:SrAdDaparvan:n:
mci:SrAvaRa,954:SrAvaRa:n:
mci:SrAvastI,2052:SrAvastI:n:
mci:SrAvastI,2052:SrAvastI:n:
mci:SrIkuYja,1745:SrIkuYja:n:
mci:SrIpaYcamI,955:SrIpaYcamI:n:
mci:SrIparvata,1747:SrIparvata:n:
mci:Srutasena,357:Srutasena:n:
mci:SreRi,2560:SreRi:n:
mci:Svasana,358:Svasana:n:
mci:SvAnalomApanayana,1748:SvAnalomApanayana:n:
mci:Sveta,359:Sveta:n:
mci:Svetaketor,2053:Svetaketor:n:
mci:SvetA,360:SvetA:n:
mci:zaRqa,2564:zaRqa:n:
mci:zaRqa,2564:zaRqa:n:
mci:zazwihrada,1750:zazwihrada:n:
mci:zazWI,957:zazWI:n:
mci:saMyamana,2054:saMyamana:n:
mci:saMvartamaruttIya,803:saMvartamaruttIya:n:
mci:saMvartasya,1751:saMvartasya:n:
mci:saMvftta,362:saMvftta:n:
mci:saMvedya,1752:saMvedya:n:
mci:saMSaptakavaDa,804:saMSaptakavaDa:n:
mci:saMsTAna,2566:saMsTAna:n:
mci:saMhatANgada,363:saMhatANgada:n:
mci:sakaca,2568:sakaca:n:
mci:sakzaddruh,2570:sakzaddruh:n:
mci:saMgama,1753:saMgama:n:
mci:saMjayayAna,805:saMjayayAna:n:
mci:satiya,2571:satiya:n:
mci:satiya,2571:satiya:n:
mci:satrAvasAna,1755:satrAvasAna:n:
mci:saMtAna,605:saMtAna:n:
mci:saMDyA,1758:saMDyA:n:
mci:saMnyastapAda,2567:saMnyastapAda:n:
mci:saptagaNga,1760:saptagaNga:n:
mci:saptarzi,958:saptarzi:n:
mci:saptarzikuRqa,1762:saptarzikuRqa:n:
mci:saptavAra,364:saptavAra:n:
mci:saptasArasvata,1763:saptasArasvata:n:
mci:saBAparvan,806:saBAparvan:n:
mci:samakza,2573:samakza:n:
mci:samaNga,2574:samaNga:n:
mci:samaNgA,1764:samaNgA:n:
mci:samudIrRa,606:samudIrRa:n:
mci:samfdDa,365:samfdDa:n:
mci:saMpAta,607:saMpAta:n:
mci:saMpAti,366:saMpAti:n:
mci:saMboDana,608:saMboDana:n:
mci:samBalagrAma,2057:samBalagrAma:n:
mci:saMBavaparvan,808:saMBavaparvan:n:
mci:saMmohana,609:saMmohana:n:
mci:samyaNmanas,809:samyaNmanas:n:
mci:saraka,1765:saraka:n:
mci:saramA,369:saramA:n:
mci:sarayU,1766:sarayU:n:
mci:sarasvatitIrTa,1769:sarasvatitIrTa:n:
mci:sarasvatI,1768:sarasvatI:n:
mci:sariddvIpa,370:sariddvIpa:n:
mci:sarpadarvI,1770:sarpadarvI:n:
mci:sarvatoBadra,610:sarvatoBadra:n:
mci:sarvadevahrada,1771:sarvadevahrada:n:
mci:sarvasAraNga,373:sarvasAraNga:n:
mci:salilarAjasya,1773:salilarAjasya:n:
mci:savitur,612:savitur:n:
mci:saveRu,1804:saveRu:n:
mci:sahasraGnI,613:sahasraGnI:n:
mci:sahya,1774:sahya:n:
mci:sAgarAnUpaga,2576:sAgarAnUpaga:n:
mci:sAgarodaka,1776:sAgarodaka:n:
mci:sADya,614:sADya:n:
mci:sADyagaRasya,2061:sADyagaRasya:n:
mci:sAmaveda,812:sAmaveda:n:
mci:sAmudraka,1777:sAmudraka:n:
mci:sArasvata,813:sArasvata:n:
mci:sArasvatamunes,1778:sArasvatamunes:n:
mci:sArisfkva,376:sArisfkva:n:
mci:sAlveyaka,2580:sAlveyaka:n:
mci:sAvitrI,814:sAvitrI:n:
mci:sAvitrIputrakAYcala,2581:sAvitrIputrakAYcala:n:
mci:sAvitrIputrakAYcala,2581:sAvitrIputrakAYcala:n:
mci:sAhasraka,1780:sAhasraka:n:
mci:siMhala,2582:siMhala:n:
mci:sikatAkza,1781:sikatAkza:n:
mci:sidDa,2583:sidDa:n:
mci:sidDagaRasya,2064:sidDagaRasya:n:
mci:sinIvAlI,960:sinIvAlI:n:
mci:sinDu,1782:sinDu:n:
mci:sirAla,2585:sirAla:n:
mci:sItA,1785:sItA:n:
mci:sIra,617:sIra:n:
mci:sukuwi,2586:sukuwi:n:
mci:sukumAra,377:sukumAra:n:
mci:sukumArI,1788:sukumArI:n:
mci:suKaketu,378:suKaketu:n:
mci:suganDA,1789:suganDA:n:
mci:suGoza,618:suGoza:n:
mci:sutIrTaka,1790:sutIrTaka:n:
mci:sudarSana,619:sudarSana:n:
mci:sudAman,2590:sudAman:n:
mci:sudASArRa,2591:sudASArRa:n:
mci:sudina,1792:sudina:n:
mci:sudozRa,2593:sudozRa:n:
mci:suDarmA,2065:suDarmA:n:
mci:suDarmA,2065:suDarmA:n:
mci:suDAman,1793:suDAman:n:
mci:sunAman,381:sunAman:n:
mci:sunika,2594:sunika:n:
mci:sunITa,817:sunITa:n:
mci:sunetra,382:sunetra:n:
mci:sunetra,382:sunetra:n:
mci:sundaravega,2595:sundaravega:n:
mci:sundaravega,2595:sundaravega:n:
mci:sundarikAtIrTa,1795:sundarikAtIrTa:n:
mci:sundopasundayor,818:sundopasundayor:n:
mci:suparRa,383:suparRa:n:
mci:supratika,386:supratika:n:
mci:supratIka,384:supratIka:n:
mci:supratIka,384:supratIka:n:
mci:supraBA,1796:supraBA:n:
mci:suBadrAharaRa,819:suBadrAharaRa:n:
mci:suBARqa,2066:suBARqa:n:
mci:suBARqa,2066:suBARqa:n:
mci:suBUmika,1798:suBUmika:n:
mci:sumanomuKa,391:sumanomuKa:n:
mci:sumallika,2596:sumallika:n:
mci:surasA,401:surasA:n:
mci:surAzwra,2597:surAzwra:n:
mci:surUpA,403:surUpA:n:
mci:suroda,1799:suroda:n:
mci:suvarRacUqa,405:suvarRacUqa:n:
mci:suvarRAkza,1800:suvarRAkza:n:
mci:suvAja,406:suvAja:n:
mci:suvAmA,1801:suvAmA:n:
mci:suvIra,2598:suvIra:n:
mci:suveRA,1803:suveRA:n:
mci:suzeRa,408:suzeRa:n:
mci:susTara,2599:susTara:n:
mci:susvara,409:susvara:n:
mci:suhma,2600:suhma:n:
mci:sUcI,622:sUcI:n:
mci:sUrpAraka,1807:sUrpAraka:n:
mci:sUrya,961:sUrya:n:
mci:sUryatIrTa,1808:sUryatIrTa:n:
mci:sUryaputra,411:sUryaputra:n:
mci:sUryodayagiri,1809:sUryodayagiri:n:
mci:sfta,623:sfta:n:
mci:sEnDava,2602:sEnDava:n:
mci:sEnDava,2602:sEnDava:n:
mci:sEnDavAraRya,1810:sEnDavAraRya:n:
mci:sEnya,412:sEnya:n:
mci:sEranDra,2603:sEranDra:n:
mci:soma,963:soma:n:
mci:somaka,2604:somaka:n:
mci:somaka,2604:somaka:n:
mci:somakasya,2067:somakasya:n:
mci:somakula,2605:somakula:n:
mci:somagiri,1811:somagiri:n:
mci:somadEvata,964:somadEvata:n:
mci:somapurapraBa,2068:somapurapraBa:n:
mci:somaBojana,413:somaBojana:n:
mci:somavaMSa,2606:somavaMSa:n:
mci:somavaMSa,2606:somavaMSa:n:
mci:somaSravAyaRa,1814:somaSravAyaRa:n:
mci:somAnvavAya,2607:somAnvavAya:n:
mci:somASrama,2069:somASrama:n:
mci:sOkanya,820:sOkanya:n:
mci:sOganDikavana,1816:sOganDikavana:n:
mci:sOptika,821:sOptika:n:
mci:sObalya,2609:sObalya:n:
mci:sObalya,2609:sObalya:n:
mci:sOBa,2070:sOBa:n:
mci:sOBa,2070:sOBa:n:
mci:sOBadra,1817:sOBadra:n:
mci:sOBavaDAKyAna,823:sOBavaDAKyAna:n:
mci:sOmya,625:sOmya:n:
mci:sOra,626:sOra:n:
mci:sOraBI,414:sOraBI:n:
mci:sOraseyAH,420:sOraseyAH:n:
mci:sOrAzwra,2610:sOrAzwra:n:
mci:sOvIra,2611:sOvIra:n:
mci:stanakuRqa,1818:stanakuRqa:n:
mci:strIparvan,825:strIparvan:n:
mci:sTARutIrTa,1819:sTARutIrTa:n:
mci:sTURAkarRa,627:sTURAkarRa:n:
mci:sTUlakeSASrama,2072:sTUlakeSASrama:n:
mci:sTUlakeSASrama,2072:sTUlakeSASrama:n:
mci:sTUlavAlukA,1821:sTUlavAlukA:n:
mci:svayaMvara,827:svayaMvara:n:
mci:svayana,1822:svayana:n:
mci:svargArohaRika,829:svargArohaRika:n:
mci:svarRabindu,1826:svarRabindu:n:
mci:svarBAnu,965:svarBAnu:n:
mci:svastika,423:svastika:n:
mci:svastika,423:svastika:n:
mci:svastipura,1827:svastipura:n:
mci:svAyaMBuva,967:svAyaMBuva:n:
mci:haMsakA,424:haMsakA:n:
mci:haMsakAkIya,830:haMsakAkIya:n:
mci:haMsakAyana,2612:haMsakAyana:n:
mci:haMsakAyana,2612:haMsakAyana:n:
mci:haMsakUwa,1828:haMsakUwa:n:
mci:haMsapada,2613:haMsapada:n:
mci:haMsaprapatana,1829:haMsaprapatana:n:
mci:haraRahArika,832:haraRahArika:n:
mci:hari,426:hari:n:
mci:harika,429:harika:n:
mci:harigiri,1830:harigiri:n:
mci:harigItA,833:harigItA:n:
mci:hariRa,430:hariRa:n:
mci:harivaMSa,834:harivaMSa:n:
mci:harivarza,2615:harivarza:n:
mci:harivarza,2615:harivarza:n:
mci:harisrAvA,1831:harisrAvA:n:
mci:hala,628:hala:n:
mci:halika,432:halika:n:
mci:hasta,968:hasta:n:
mci:hastipada,434:hastipada:n:
mci:hastiBadra,435:hastiBadra:n:
mci:hastisomA,1832:hastisomA:n:
mci:hArahURa,2617:hArahURa:n:
mci:hAstinapura,2074:hAstinapura:n:
mci:hAstinapura,2074:hAstinapura:n:
mci:hiqimbavana,1833:hiqimbavana:n:
mci:hiraRyapura,2075:hiraRyapura:n:
mci:hiraRyabindu,1835:hiraRyabindu:n:
mci:hiraRyavAha,436:hiraRyavAha:n:
mci:hiraRyaSiKara,1836:hiraRyaSiKara:n:
mci:hfdika,2620:hfdika:n:
mci:hemakUwa,1839:hemakUwa:n:
mci:hemavarRa,438:hemavarRa:n:
mci:hemaSfNga,1840:hemaSfNga:n:
mci:hEqimba,835:hEqimba:n:
mci:hEma,1841:hEma:n:
mci:hEraRyaka,2622:hEraRyaka:n:
mci:hEraRvatI,1842:hEraRvatI:n:
mci:hradapraveSana,836:hradapraveSana:n:
mci:hrAda,439:hrAda:n:
