pgn:pur,365:pur:n:
pgn:puraMdara,238:puraMdara:n:
pgn:puzyamitra,45:puzyamitra:n:
pgn:puzyamitras,329:puzyamitras:n:
pgn:pUrugupta,9:pUrugupta:n:
pgn:pUrRRanAgagrAma,404:pUrRRanAgagrAma:n:
pgn:pfTivIzeRa,80:pfTivIzeRa:n:
pgn:pfTu,302:pfTu:n:
pgn:pfzWimapottaka,421:pfzWimapottaka:n:
pgn:pottaka,420:pottaka:n:
pgn:pottaka,420:pottaka:n:
pgn:prajApati,136:prajApati:n:
pgn:pratyanta,455:pratyanta:n:
pgn:pradeSa,353:pradeSa:n:
pgn:pradeSa,353:pradeSa:n:
pgn:praBakIrtti,251:praBakIrtti:n:
pgn:praBakIrtti,251:praBakIrtti:n:
pgn:praBamitra,193:praBamitra:n:
pgn:praBAkara,33:praBAkara:n:
pgn:praBucandra,109:praBucandra:n:
pgn:prArjUnas,328:prArjUnas:n:
pgn:bawwasvAmin,215:bawwasvAmin:n:
pgn:banDuvarmman,54:banDuvarmman:n:
pgn:balavarmman,53:balavarmman:n:
pgn:balavarmman,53:balavarmman:n:
pgn:bali,298:bali:n:
pgn:bAhlIka,337:bAhlIka:n:
pgn:budDa,299:budDa:n:
pgn:budDa,299:budDa:n:
pgn:budDamitra,281:budDamitra:n:
pgn:budDAkakzetra,425:budDAkakzetra:n:
pgn:buDagupta,11:buDagupta:n:
pgn:brahmadatta,74:brahmadatta:n:
pgn:brahmasvAmin,216:brahmasvAmin:n:
pgn:brahmasvAmin,216:brahmasvAmin:n:
pgn:Bawanandin,112:Bawanandin:n:
pgn:Bawwisoma,280:Bawwisoma:n:
pgn:Badra,278:Badra:n:
pgn:Badra,278:Badra:n:
pgn:Badradeva,181:Badradeva:n:
pgn:BadrapuzkarakagrAma,391:BadrapuzkarakagrAma:n:
pgn:Bava,227:Bava:n:
pgn:Bava,227:Bava:n:
pgn:Bavadatta,177:Bavadatta:n:
pgn:Bavarakzita,199:Bavarakzita:n:
pgn:BAnugupta,17:BAnugupta:n:
pgn:BAmaha,85:BAmaha:n:
pgn:BAraqidasamada,392:BAraqidasamada:n:
pgn:BAraqidasamada,392:BAraqidasamada:n:
pgn:BAskara,226:BAskara:n:
pgn:BAskara,226:BAskara:n:
pgn:BIma,101:BIma:n:
pgn:BImavarman,55:BImavarman:n:
pgn:Bukti,342:Bukti:n:
pgn:Bukti,342:Bukti:n:
pgn:BfkuRWasiMha,254:BfkuRWasiMha:n:
pgn:BfkuRWasiMha,254:BfkuRWasiMha:n:
pgn:Boyila,228:Boyila:n:
pgn:Boyila,228:Boyila:n:
pgn:maGaSarmman,207:maGaSarmman:n:
pgn:maRwarAja,48:maRwarAja:n:
pgn:maRqala,350:maRqala:n:
pgn:matidatta,99:matidatta:n:
pgn:matila,64:matila:n:
pgn:matila,64:matila:n:
pgn:matfvizRu,38:matfvizRu:n:
pgn:matfvizRu,38:matfvizRu:n:
pgn:madra,288:madra:n:
pgn:mahAkAntAra,388:mahAkAntAra:n:
pgn:mahAsena,249:mahAsena:n:
pgn:mahipAlakzetra,429:mahipAlakzetra:n:
pgn:mahI,236:mahI:n:
pgn:mahendragiri,44:mahendragiri:n:
pgn:mAtfdAsa,174:mAtfdAsa:n:
pgn:mADava,63:mADava:n:
pgn:mAraviza,166:mAraviza:n:
pgn:mAlava,325:mAlava:n:
pgn:mitradevI,23:mitradevI:n:
pgn:miduvilAlakzetra,431:miduvilAlakzetra:n:
pgn:muruRqas,327:muruRqas:n:
pgn:muruRqas,327:muruRqas:n:
pgn:mlecCa,326:mlecCa:n:
pgn:yajYarAtakzetra,440:yajYarAtakzetra:n:
pgn:yaSodAma,131:yaSodAma:n:
pgn:yODeya,338:yODeya:n:
pgn:ratiBadra,170:ratiBadra:n:
pgn:ratiBadra,170:ratiBadra:n:
pgn:ravila,160:ravila:n:
pgn:rAja,52:rAja:n:
pgn:rAjavihArakzetra,435:rAjavihArakzetra:n:
pgn:rAjavihArakzetra,435:rAjavihArakzetra:n:
pgn:rAjya,358:rAjya:n:
pgn:rAjya,358:rAjya:n:
pgn:rAjyanAga,194:rAjyanAga:n:
pgn:rAjyanAga,194:rAjyanAga:n:
pgn:rAma,148:rAma:n:
