agniSabdAkAra:PD;10828
agniSabdABiDeya:PD;10829
agniSabdokta:PD;10832
agniSabdoccAraRa:PD;10833
agniSabdodAhfti:PD;10834
agniSabdoddeSa:PD;10835
agnizwudyAgasaMbanDin:PD;10939
agnizwomabrAhmaRa:PD;10968
agnizwomebrAhmaRACaMsinaHprayogaH:ACC;89
agnisaMyogabalAt:PD;11092
agnisaMbadDa:PD;11285
agnisaMbanDa:PD;11286
agnisaMbanDajanita:PD;11287
agnisaMbanDatas:PD;11288
agnisaMbanDaboDaka:PD;11289
agnisaMbanDaSaNkA:PD;11291
agnisaMbanDasAmya:PD;11293
agnisaMbanDasidDi:PD;11294
agnisaMbanDAnapAya:PD;11295
agnisaMbanDin:PD;11300
agnisaMbanDipuroqASa:PD;11301
agnihotfbrAhmaRa:MW;1136.1
agnihotrabrAhmaRa:PD;11557
agnihotraSabda:PD;11586
agnihotraSabdaka:PD;11587
agnihotrasaMbanDa:PD;11609
agnihotrasaMbanDin:PD;11611
agnihotrAdigocaraboDa:PD;11685
agnihotrABisaMbanDa:PD;11745
agnihotrAhutisaMbanDa:PD;11764
agnIzomasaMbanDa:PD;11878
agnIzomasaMbanDArTa:PD;11879
agnIzomasaMbanDArTam:PD;11880
agnIzomABisaMbanDa:PD;11891
agnIzomIyabrAhmaRa:PD;11943
agnIzomIyasaMbanDa:PD;11967
agnIzomIyasaMbanDin:PD;11968
agnIzomIyAdisaMbanDa:PD;11997
agnyanubanDin:PD;12107
agnyabADita:PD;12156
agnyaboDakatA:PD;12157
agnyAbADa:PD;12449
agrajabaDa:PD;12684
agratibadDapaNkaja:PD;12843
agrabanDana:PD;12951
agrabanDu:PD;12953
agrabahala:PD;12954
agrabAhalya:PD;12955
agrabAhu:PD;12956
agrabAhusTAna:PD;12957
agrabindunipAta:PD;12958
agrabindupAta:PD;12959
agrabIja:MW;1252,PD;12960,PW;758,PWG;118005
agrabudDi:PD;12961
agraboDi:MW;1258.1
agrayAyibala:PD;13044
agralambaka:PD;13061
agralambana:PD;13062
agrahaRanibanDana:PD;13203
agrahaRaboDana:PD;13217
agrahaRAnubanDa:PD;13232
agrahabanDana:PD;13248
agrAgrakasaMbanDa:PD;13301
agrAmyabudDi:PD;13368
agrAmyaSabda:PD;13376
agrAmyaSabdABiDAna:PD;13377
agrASanabrAhmaRa:PD;13420
agrimamantrabala:PD;13523
agrimalIlAsaMbanDa:PD;13528
agrimalIlAsaMbanDin:PD;13529
agrimaSabdAramBa:PD;13545
agriyaSabdayukta:PD;13586
agrIyalepyamayabimba:PD;13592
agryabudDi:PD;13711
aGawAdiSabda:PD;13841
aGanibarhaRa:PD;13901
aGabudDi:PD;13935
aGaSabda:PD;14022
aGasaMbanDa:PD;14046
aGorabIjamantra:PD;14173
aGorabrahman:PD;14174
aNkakabanDa:PD;14323
aNkacumbin:PD;14356
aNkapAlikAlamba:PD;14444
aNkabanDa:MW;1443,PD;14463,PW;879,PWG;635,VCP;473
aNkabarhiRa:PD;14464
aNkalabDa:PD;14493
aNkAdibAhya:PD;14573
aNkAbDikfta:PD;14594
aNkAropitabAla:PD;14609
aNkurAdyasaMbanDa:PD;14807
aNkuritAmftabindu:PD;14871
aNkuSakarAmbuja:PD;14915
aNkuSabIja:PD;14950
aNkuSahastAbja:PD;14985
aNkowabIja:PD;15050
aNkolabIja:PD;15077
aNkolabIjaka:PD;15078
aNkollabIja:PD;15091
aNgakambala:PD;15121
aNgacumbin:PD;15247
aNgajabARa:PD;15293
aNgajidbrAhmaRa:PD;15322
