1-0294b:agarukAzWa:37574,37575:agaru-ks2oda:agarukzoda
1-0297a:agarhyavarhiHSeza:37875,37877:agarhyabarhin2-s4es2a:agarhyabarhiRSeza
1-0298b:agastISvara:38101,38103:agati1s4vara:agatISvara
1-0300a:agastyagItA:38312,38314:agastya-gi1ta:agastyagIta
1-0304a:agasyotdayanirviza:38813,38816:agastyodaya-nirvis2a:agastyodayanirviza
1-0310a:agItoha:39574,39576:agitoha:agitoha
1-0310a:agIyamAnasAmamantratA:39577,39579:agiyama1nasa1mamantra-ta1:agiyamAnasAmamantratA
1-0310b:aguqapizwASITuja:39608,39611:a-gud2apis2t2as4i1thuja:aguqapizwaSITuja
1-0311b:aguRatA:39731,39737:agun2a-t2a1:aguRawA
1-0312b:aguRaSIla:39863,39865:a-gun2as4ila:aguRaSila
1-0316a:agurvAdya:40343,40345:agurva-a1dya:agurvaAdya
1-0317b:agfhasTa:40497,40500:a-gr2hast2ha:agfhasWa
1-0318a:agfhItakAlaniyama:40570,40572:agr2hi1ta-ka1aniyama:agfhItakAaniyama
1-0318a:agfhItacApamaDya:40620,40622:agr2hita-ca1pamadhya:agfhitacApamaDya
1-0318b:agfhItapayo'nta:40675,40677:agr2hi1ta-payonta:agfhItapayonta
1-0319a:agfhItarikTa:40747,40751:agr2hi1t2a-riktha:agfhIwarikTa
1-0319b:agfhItaviSeza:40771,40773:agr2hita-vis4es2a:agfhitaviSeza
1-0319b:agfhItaviSezaRa:40774,40784:agr2hi1ta-vi1s4es2an2a:agfhItavISezaRa
1-0320b:agfhItasamaya:40913,40915:agr2hi1t2a-samaya:agfhIwasamaya
1-0341a:agnikarmaka:43528,43531:aganikarma-ka:aganikarmaka
1-0341a:agnikarmaka:43532,43534:aganikarma-ka:aganikarmaka
1-0343a:agnikAryaprasidDayarTam:43792,43794:agnika1ryaprasiddhy-artham:agnikAryaprasidDyarTam
1-0352b:agnirTasamudBUta:44981,44983:agniti1rtha-samudbhu1ta:agnitIrTasamudBUta
1-0361a:agninirvaRa:46103,46105:agni-nirva1n2a:agninirvARa
1-0367a:agnipradakziRa:46833,46837:agni-pradaks2ina:agnipradakzina
1-0369b:agnibalasaMkzaya:47186,47188:agn2ibala-san3ks2aya:agRibalasaNkzaya
1-0375a:agnimAndyArRava:47895,47897:agnima1ndya1rnava:agnimAndyArnava
1-0377a:agnimUzAhiraRyavat:48143,48144:agn2imu1s2a1hiran2ya-vat:agRimUzAhiraRyavat
1-0379a:agnirocizRu:48371,48372:agni-r2ocis2n2u:agnifocizRu
1-0379a:agniroman:48379,48382:agn2i-roman:agRiroman
1-0379b:agnalokajYAna:48469,48471:agniloka-jn5a1na:agnilokajYAna
1-0381b:agnivarRaSalAkA:48718,48721:agnivarn2a-s4alaka1:agnivarRaSalakA
1-0383a:agniviDAtajanyakratu:48865,48867:agnivigha1tajanya-kratu:agniviGAtajanyakratu
1-0386b:agnivyatirikta:49346,49348:agni-vya1tirikta:agnivyAtirikta
1-0396a:agnizwomAdisaMsTatva:50548,50551:agnis2t2oma1disam3sastha-tva:agnizwomAdisaMsasTatva
1-0422b:agnihotrecCizwavrata:53928,53930:agnihotrocchis2t2a-vrata:agnihotroCizwavrata
1-0423b:agnIDrAdi:54082,54084:agnidhra1di:agniDrAdi
1-0423b:agnIndrO:54090,54093:agni1ndr-a4u:agnIndrau
1-0424a:agnIzoma:54164,54197:agni14-s2o4ma, once in AV. agni1-s2oma4:agnIzoma, once in AV. agnIzoma
1-0426a:agnIzomahavis:54373,54375:agn2i1s2oma-havis:agRIzomahavis
1-0427b:agnozomIyaDarmatva:54591,54594:agni1s2omi1yadharma-tva:agnIzomIyaDarmatva
1-0427b:agnozomIyanirapekza:54595,54598:agni1s2omi1ya-nirapeks2a:agnIzomIyanirapekza
1-0428a:agnIzomIyapaSuvikfti:54657,54660:agni1s2omi1yapas4u-vikr2ti1:agnIzomIyapaSuvikftI
1-0428b:agnIzomIyapaSvarTa:54680,54684:agnis2omi1yapas4vartha:agnizomIyapaSvarTa
1-0432a:agnIzogya:55138,55142:agni1s2omya:agnIzomya
1-0432a:agnerhadaya:55166,55168:agner-hr2daya:agnerhfdaya
1-0440b:agnyAdiboDakatva:56277,56279:agnya1di1bodhaka-tva:agnyAdIboDakatva
1-0441b:agnyAdiviSiwa:56363,56365:agnya1di-vis4is2t2a:agnyAdiviSizwa
1-0442a:agnyAdISAnaparyanta:56421,56422:agyna1di1s4a1naparyanta:agynAdISAnaparyanta
1-0442b:agnyAdyupacAra:56512,56514:agya1dy-upaca1ra:agyAdyupacAra
1-0443a:agnyADAnakriyA:56554,56557:agnyadha1na-kriya1:agnyaDAnakriyA
1-0443a:agnyADAnasidDayarTam:56581,56583:agnya1dha1nasiddhy-artham:agnyADAnasidDyarTam
1-0447b:agnyOpAnuvAkyAmnAta:57132,57134:agnyaupa1nu1va1kya1mna1ta:agnyOpAnUvAkyAmnAta
1-0447b:agnyOzRayaprakASa:57140,57142:agnyaus2n2ya-praka1s4a:agnyOzRyaprakASa
1-0452a:agragamitA:57727,57729:agraga1mi-ta1:agragAmitA
1-0453b:agrajanitA:57922,57923:agrajani1-ta1:agrajanItA
