pui:wavargamaRqiwAkAra,5258:wavargamaRqiwAkAra:n:qiw
pw:WuWuka,43891:WuWuka:n:WuW
pwg:qaqAha,74674:qaqAha:n:qaq
acc:qohara,8454:qohara:n:qoh
bur:tAtyajmi,7852:tAtyajmi:n:jmi
gra:tigmaBfsti,3733:tigmaBfsti:n:Bfs
bur:titrapse,7937:titrapse:n:pse
acc:tippABawwa,40105:tippABawwa:n:ppA
acc:tiruppuwkulimAhAtmya,9065:tiruppuwkulimAhAtmya:n:uwk
pw:tUTa,46585:tUTa:n:tUT
acc:tEwIki,9205:tEwIki:n:EwI,tEw
bur:tozwucye,8174:tozwucye:n:cye
acc:ttkApratyayArTavicAra,5214:ktvApratyayArTavicAra:t:Seen in 'k' headwords.
acc:triSiKibrAhmaRopanizad,9417:triSiKibrAhmaRopanizad:n:Kib
vcp:tryaSOti,23957:tryaSIti:t:SOt
bhs:Tera,7176:Tera:n:Ter
acc:dattAtreyagorzasaMvAda,40155:dattAtreyagorzasaMvAda:n:orz
pw:daDiTAKya,48776:daDitTAKya:t:DiT,iTA
pui:dantakARvoSana,5821:dantakARvoSana:n:voS
bhs:dAWin,7270:dAWin:n:dAW
bur:deBus,8967:deBus:n:deB
acc:dehfRa,10414:dehfRa:n:ehf
vcp:dOgarha,26286:dOgarha:n:dOg
sch:dODikaPala,15762:dODikaPala:n:dOD
vcp:dOstra,26320:dOstra:n:dOs
sch:dOsTitya,15773:dOsTitya:n:dOs
pw:dOsTya,53144:dOsTya:n:dOs
sch:dyUdyAna,15802:dyUdyAna:n:yUd
pui:draviqeSvara,6397:draviqeSvara:n:iqe
bur:dvODa,9228:dvODa:n:vOD,dvO
bhs:DarmajvalanArciHsAgaraGoza,7737:DarmajvalanArciHsAgaraGoza:n:ciH
pw:DarmameGaTyAna,54823:DarmameGaDyAna:t:GaT
bhs:DarmArciHparvataketurAja,7861:DarmArciHparvataketurAja:n:ciH
bhs:DarmArciHsaMtejorAja,7865:DarmArciHsaMtejorAja:n:ciH
pui:DfQanemi,6697:DfQanemi:n:DfQ
pui:DfQasena,6698:DfQasena:n:DfQ
pw:Dfzwadmumna,55763:Dfzwadyumna:p:dmu
acc:naYjagUqurAmappa,10973:naYjagUqurAmappa:n:gUq
bur:naBoquha,9563:naBoduha:t:Boq
bhs:navutpattika,8113:navutpattika:n:avu
pe:nAwowippAwwu,4780:nAwowippAwwu:n:ppA
acc:nAsadAsItsUkta,11749:nAsadAsItsUkta:n:Its
pui:nAsiKyas,7106:nAsiKyas:n:siK
bur:nigUhe,9756:nigUhe:n:Uhe
acc:nityArADanaviDiwokA,34125:nityArADanaviDiwIkA:t:iwo
bur:nirvfRajmi,10046:nirvfRajmi:n:jmi
pui:niSiTA,7248:niSiTA:n:iTA
bhs:nistAqeti,8603:nistAqeti:n:qet
bur:nihfvaye,10234:nihvaye:t:hfv
cae:nihvuta,17169:nihnuta:t:hvu
cae:nihvuti,17170:nihnuti:t:hvu
sch:nIcEScara,17220:nIcEScara:n:cES
acc:nfsiMhfsarasvatI,12152:nfsiMhasarasvatI:t:hfs
acc:paYcamuKihanumatkavaca,34317:paYcamuKihanumatkavaca:n:Kih
pe:patinewwarakkavi,5103:patinewwarakkavi:n:new
acc:padyaveRo,31121:padyaveRI:t:eRo
ap90:pAMcaBEtika,18582:pAMcaBOtika:t:BEt
vcp:pAWAqyacUrRa,31518:pAWAqyacUrRa:n:WAq
pwg:pipaWis,45344:pipaWis:n:Wis
pui:pIppalI,7949:pIppalI:n:Ipp
pui:pulova,8128:pulova:n:lov
pw:pUrvaBUmft,69156:pUrvaBUBft:t:Umf
pw:pUrvABiBuKa,69252:pUrvABimuKa:t:BuK
pwg:pUvakowi,46768:pUrvakowi:p:pUv
pwg:pfpaDra,78937:pfzaDra:t:pfp
acc:periyappA,34668:periyappA:n:ppA
bhs:posaTa,9812:posaTa:n:pos
pw:pOjizWa,69982:pOjizWa:n:pOj
bur:praquzyAmi,11848:praduzyAmi:t:quz
pui:praDAnapuruzO,8582:praDAnapuruzO:n:uzO
bur:praroce,11985:praroce:n:oce
shs:praloQa,27321:praloQa:n:loQ
ap90:prAvoSika,21246:prAveSika:t:voS
vcp:priTa,34820:priya:t:riT
pui:prTivI,8281:pfTivI:t:prT
pui:prvAhana,8659:pravAhana:p:prv
skd:PalAWyA,23783:PalAQyA:t:lAW
wil:bahuvIrhi,27785:bahuvrIhi:t:Irh
