pe:अङ्गालम्म,299:अङ्गालम्म:n:म्म
bur:मिमीहि,13372:मिमीहि:n:मीह्
acc:मिराखान्,17806:मिराखान्:n:राख्
ccs:मृक्तिक,19185:मृक्तिक:n:मृक्
mw:मौनि,168772:मौनि:n:औनि
acc:मौनिमाहात्म्यव्रत,35896:मौनिमाहात्म्यव्रत:n:औनि
bur:म्रिये,13672:म्रिये:n:इये
inm:युधिष्ठिराश्वास,12634:युधिष्ठिराश्वास:n:ठिर्
mw:योगेन,172324:योगेन:n:ओगे
acc:राजराजेश्वरयोग,46082:राजराजेश्वरयोग:n:आजे
mw:राजराजेश्वरी,176583.9:राजराजेश्वरी:n:आजे
mw:राजेन्द्रदशावधान,176811:राजेन्द्रदशावधान:n:आजे
mw:वक्राख्य,184443:वक्राख्य:n:राख्
mw:वरिवो,186656:वरिवो:n:इवो
mw:वाङ्मयाधिकृतता,190137:वाङ्मयाधिकृतता:n:ङ्म
pui:वारिमेजय,12599:वारिमेजय:n:मेज्
mw:विश्वनाथाचार्य,201146:विश्वनाथाचार्य:n:थाच्
pui:वीच्य,13353:वीच्य:n:ईच्य्
mw:वीरम्मन्य,203735:वीरम्मन्य:n:म्म
mw:वेदान्तसम्मतकर्मतत्त्व,206026:वेदान्तसम्मतकर्मतत्त्व:n:म्म
mw:वैकुण्ठदीपिकानाथाचार्य,206629:वैकुण्ठदीपिकानाथाचार्य:n:थाच्
bhs:वैश्यायनी,14596:वैश्यायनी:n:ऐश्य्
mw:वैहती,208110:वैहती:n:ऐह
pui:वौषडि,13804:वौषडि:n:वौष्
mw:शंकराख्य,213176:शंकराख्य:n:राख्
acc:शङ्कराख्य,24380:शङ्कराख्य:n:राख्
mw:शनकैश्चर,212496:शनकैश्चर:n:कैश्
vei:शर्कराख्य,3189:शर्कराख्य:n:राख्
vcp:शूद्राधिकरण,43881:शूद्राधिकरण:n:ऊद्र्
acc:शूद्राह्निकाचार,47307:शूद्राह्निकाचार:n:ऊद्र्
mw:शौवादंष्ट्र,221928:शौवादंष्ट्र:n:शौव्
mw:श्रियम्मन्य,222850:श्रियम्मन्य:n:म्म
gra:श्वसीवस्,9005:श्वसीवस्:n:सीव्
acc:षोडशसंस्क्रारपद्धति,47501:षोडशसंस्क्रारपद्धति:n:स्क्र्
stc:संसर्पद्ध्वजिनी,20870:संसर्पद्ध्वजिनी:n:द्ध्व्
mw:संहराख्य,227505:संहराख्य:n:राख्
bur:सम्प्रिये,18002:सम्प्रिये:n:इये
mw:सम्मनिमन्,237119:सम्मनिमन्:n:म्म
mw72:सम्मन्त्रयित्वा,51230:सम्मन्त्रयित्वा:n:म्म
bur:सम्महामि,18042:सम्महामि:n:म्म
bur:सम्मिञ्जन,18047:सम्मिञ्जन:n:म्मि
mw:सर्वज्ञम्मन्य,238287:सर्वज्ञम्मन्य:n:म्म
pwg:सर्वरुतसंग्रहणिलिपि,106962:सर्वरुतसंग्रहणिलिपि:n:णिल्
mw:सर्ववादिसम्मत,238695:सर्ववादिसम्मत:n:म्म
mw:सर्वसम्मतशिक्षा,238847:सर्वसम्मतशिक्षा:n:म्म
bhs:सिंहोरस्क,16820:सिंहोरस्क:n:होर्
acc:सौदर्शनीप्रायश्चित्त,38908:सौदर्शनीप्रायश्चित्त:n:सौद्
mw:सौदर्शनीय,253412:सौदर्शनीय:n:सौद्
shs:स्कम्मन,45318:स्कम्मन:n:म्म
mw:स्त्रियम्मन्य,255132:स्त्रियम्मन्य:n:म्म
mw:स्निग्धपाणिलेखता,256339:स्निग्धपाणिलेखता:n:णिल्
mw:स्योनाक,257524:स्योनाक:n:स्यो
pui:स्वर्गमेजय,17052:स्वर्गमेजय:n:मेज्
mw:हरिनाथाचार्य,261029:हरिनाथाचार्य:n:थाच्
acc:हरिश्चन्द्राख्यान,48161:हरिश्चन्द्राख्यान:n:राख्
mw:हैतनामन्,264431:हैतनामन्:n:हैत्
ccs:होतुत्व,29636:होतुत्व:n:ओतु
ccs:होतुषदन,29639:होतुषदन:n:ओतु
acc:होराचिह्नप्रकाशन,48218:होराचिह्नप्रकाशन:n:होर्
mw:होरामकरन्दोहरण,264606:होरामकरन्दोहरण:n:होर्
acc:होराहस्कर,39259:होराहस्कर:n:होर्
