bur:Agantu,2046: Verb form
bur:Agahi,2050: Verb form
bur:AGUrRe,2063: Verb form
bur:Acakze,2069: Verb form
bur:AcaKyO,2070: Verb form
bur:AcarAmi,2072: Verb form
bur:Acikzam,2075: Verb form
bur:Acinomi,2076: Verb form
bur:ACAdayAmi,2077: Verb form
bur:ACinadmi,2078: Verb form
bur:Aja,2081: Verb form
bur:AjaGAna,2085: Verb form
bur:Ajahrus,2086: Verb form
bur:AjAnAmi,2087: Verb form
bur:AjiGrAmi,2090: Verb form
bur:AjuhAva,2092: Verb form
bur:AYjigam,2098: Verb form
bur:AYjizam,2100: Verb form
bur:AYjiham,2101: Verb form
bur:AwayAmi,2102: Verb form
bur:ARa,2112: Verb form
bur:ARAYcakAra,2114: Verb form
bur:Ata,2117: Verb form
bur:AtatanTa,2120: Verb form
bur:AtAmye,2126: Verb form
bur:Atizam,2130: Verb form
bur:AtizWAmi,2131: Verb form
bur:AtudAmi,2133: Verb form
bur:AtolayAmi,2136: Verb form
bur:AtTa,2138: Verb form
bur:Adade,2144: Verb form
bur:AdaDAmi,2145: Verb form
bur:Adam,2146: Verb form
bur:Adas,2149: Verb form
bur:AdiSAmi,2155: Verb form
bur:AdIpayAmi,2156: Verb form
bur:Adunve,2157: Verb form
bur:AdDve,2161: Verb form
bur:AdravAmi,2165: Verb form
bur:Adriye,2166: Verb form
bur:ADAvAmi,2171: Verb form
bur:ADunomi,2176: Verb form
bur:Anakza,2184: Verb form
bur:Anakze,2185: Verb form
bur:AnaNke,2186: Verb form
bur:AnaNga,2187: Verb form
bur:AnaNGe,2188: Verb form
bur:AnaYca,2189: Verb form
bur:AnaYja,2190: Verb form
bur:Anawwe,2191: Verb form
bur:Anaqqa,2192: Verb form
bur:AnaBra,2197: Verb form
bur:Anam,2198: Verb form
bur:AnamAmi,2199: Verb form
bur:Anambe,2200: Verb form
bur:AnayAmi,2201: Verb form
bur:AnayAmi,2202: Verb form
bur:Anarca,2203: Verb form
bur:AnarcCa,2204: Verb form
bur:Anarja,2205: Verb form
bur:AnarRa,2206: Verb form
bur:Anarta,2207: Verb form
bur:AnartayAmi,2208: Verb form
bur:Anarda,2209: Verb form
bur:AnarDa,2210: Verb form
bur:AnarPa,2211: Verb form
bur:Anarba,2212: Verb form
bur:Anarha,2213: Verb form
bur:AnaSe,2214: Verb form
bur:AnaMhe,2215: Verb form
bur:AnAYcCa,2216: Verb form
bur:AnAdayAmi,2217: Verb form
bur:AnAmayAmi,2218: Verb form
bur:Anfje,2227: Verb form
bur:ApatAmi,2241: Verb form
bur:ApaprO,2244: Verb form
bur:ApivAmi,2254: Verb form
bur:ApiMSAmi,2255: Verb form
bur:ApIqayAmi,2256: Verb form
bur:ApUrayAmi,2259: Verb form
bur:ApfcCAmi,2260: Verb form
bur:Apnuhi,2265: Verb form
bur:ApyAyAmi,2267: Verb form
bur:AprAmi,2270: Verb form
bur:Aprekze,2272: Verb form
bur:AbaDnAmi,2275: Verb form
bur:ABAze,2280: Verb form
bur:Ama,2291: Verb form
bur:AmaTnAmi,2298: Verb form
bur:AmanAmi,2300: Verb form
bur:AmantrayAmi,2301: Verb form
bur:AmArjmi,2307: Verb form
bur:Amine,2309: Verb form
bur:AmuYcAmi,2312: Verb form
bur:AmfdnAmi,2316: Verb form
bur:AyacCAmi,2325: Verb form
bur:AyatAmi,2327: Verb form
bur:Ayam,2330: Verb form
bur:AyasyAmi,2334: Verb form
bur:AyAmi,2337: Verb form
bur:AyuDyAmi,2343: Verb form
bur:Ayunajmi,2344: Verb form
bur:AyoDayAmi,2350: Verb form
bur:Ara,2351: Verb form
bur:AraBe,2362: Verb form
bur:Aram,2363: Verb form
bur:Arame,2364: Verb form
bur:ArasAmi,2367: Verb form
bur:ArADayAmi,2372: Verb form
bur:Aruje,2377: Verb form
bur:AruRaDmi,2378: Verb form
bur:Aruroha,2381: Verb form
bur:Arocaye,2386: Verb form
bur:ArohAmi,2388: Verb form
bur:Arcizam,2390: Verb form
bur:ArDirzam,2399: Verb form
bur:AlakzayAmi,2404: Verb form
bur:AlapAmi,2407: Verb form
bur:AlaBe,2408: Verb form
bur:Alambe,2409: Verb form
bur:AliKAmi,2422: Verb form
bur:AliNge,2423: Verb form
bur:AlimpAmi,2427: Verb form
bur:AlIye,2430: Verb form
bur:Aloke,2435: Verb form
bur:Aloce,2436: Verb form
bur:AloqayAmi,2437: Verb form
bur:Ava,2439: Verb form
bur:Ava,2440: Verb form
bur:AvapAmi,2441: Verb form
bur:AvayAmi,2442: Verb form
bur:Avarje,2444: Verb form
bur:Avarte,2445: Verb form
bur:AvalgAmi,2448: Verb form
bur:AvasAmi,2450: Verb form
bur:AvADe,2452: Verb form
bur:AvArayAmi,2456: Verb form
bur:AviDyAmi,2463: Verb form
bur:AvinajAmi,2465: Verb form
bur:AvindayAmi,2466: Verb form
bur:AviSAmi,2468: Verb form
bur:AvfRAmi,2471: Verb form
bur:AvfRomi,2472: Verb form
bur:AvfSce,2476: Verb form
bur:AvedayAmi,2479: Verb form
bur:AvrajAmi,2482: Verb form
bur:ASa,2484: Verb form
bur:aSaMsAmi,2490: Verb form
bur:ASAsAmi,2494: Verb form
bur:ASoSucAmi,2505: Verb form
bur:ASrAvayAmi,2510: Verb form
bur:ASlizyAmi,2514: Verb form
bur:ASvasimi,2518: Verb form
bur:Azwa,2523: Verb form
bur:Asatsi,2530: Verb form
bur:AsadAmi,2531: Verb form
bur:AsayAmi,2536: Verb form
bur:AsayAmi,2537: Verb form
bur:AsAdayAmi,2539: Verb form
bur:Asi,2542: Verb form
bur:Asisam,2543: Verb form
bur:AsIt,2544: Verb form
bur:AsodAmi,2545: Verb form
bur:AsIna,2546: Verb form
bur:AsfjAmi,2549: Verb form
bur:AsecayAmi,2550: Verb form
bur:AsevAmi,2551: Verb form
bur:AstfRAmi,2556: Verb form
bur:AsTam,2557: Verb form
bur:AsPowayAmi,2562: Verb form
bur:Aha,2569: Verb form
bur:Ahanmi,2570: Verb form
bur:AharAmi,2571: Verb form
bur:Ahus,2580: Verb form
bur:AhUya,2582: Verb form
bur:AhlAdayAmi,2586: Verb form
bur:AMhizi,2588: Verb form
bur:iNKa,2597: Verb form
bur:ita,2613: Verb form
bur:itam,2615: Verb form
bur:itas,2618: Verb form
bur:itya,2624: Verb form
bur:iTas,2630: Verb form
bur:iDye,2635: Verb form
bur:iyanti,2652: Verb form
bur:iyarmi,2654: Verb form
bur:iyAja,2655: Verb form
bur:iyAt,2656: Verb form
bur:iyAya,2658: Verb form
bur:iyfmas,2659: Verb form
bur:iyeKa,2660: Verb form
bur:iyewa,2661: Verb form
bur:iyela,2662: Verb form
bur:iyeza,2663: Verb form
bur:irajyAmi,2664: Verb form
bur:irasyAmi,2667: Verb form
bur:iryAmi,2672: Verb form
bur:ivas,2687: Verb form
bur:iha,2705: Verb form
bur:Ikze,2710: Verb form
bur:Icikzize,2712: Verb form
bur:IjAna,2714: Verb form
bur:Ijihize,2715: Verb form
bur:Iwwe,2716: Verb form
bur:IpsAmi,2722: Verb form
bur:Imahe,2723: Verb form
bur:IyAm,2724: Verb form
bur:IrtsAmi,2728: Verb form
bur:IryAmi,2731: Verb form
bur:IrzizAmi,2734: Verb form
bur:Izat,2743: Verb form
bur:IzizAmi,2747: Verb form
bur:uccawayAmi,2768: Verb form
bur:uccarAmi,2774: Verb form
bur:uccalAmi,2775: Verb form
bur:ucCinadmi,2783: Verb form
bur:ucCrayAmi,2790: Verb form
bur:ucCvasimi,2791: Verb form
bur:ucyAsam,2792: Verb form
bur:ucye,2793: Verb form
bur:ujjagAra,2795: Verb form
bur:ujjiGnat,2798: Verb form
bur:ujjihe,2799: Verb form
bur:uqqIye,2810: Verb form
bur:uqQi,2812: Verb form
bur:utkarzAmi,2825: Verb form
bur:utkirAmi,2831: Verb form
bur:utkfntAmi,2836: Verb form
bur:utkrAmAmi,2839: Verb form
bur:utkroSAmi,2840: Verb form
bur:utkzipAmi,2841: Verb form
bur:utKanAmi,2842: Verb form
bur:uttarAmi,2848: Verb form
bur:uttArayAmi,2856: Verb form
bur:uttizWAmi,2859: Verb form
bur:utTApayAmi,2865: Verb form
bur:utpatAmi,2868: Verb form
bur:utpadye,2869: Verb form
bur:utpAwayAmi,2873: Verb form
bur:utpAdayAmi,2875: Verb form
bur:utpinazmi,2878: Verb form
bur:utpIqayAmi,2879: Verb form
bur:utpucCaye,2880: Verb form
bur:utplave,2882: Verb form
bur:utPAlayAmi,2883: Verb form
bur:utBinadmi,2884: Verb form
bur:utmandAmi,2885: Verb form
bur:utsarpAmi,2890: Verb form
bur:utsahe,2893: Verb form
bur:utsAdayAmi,2894: Verb form
bur:utsArayAmi,2895: Verb form
bur:utsisAhayizAmi,2898: Verb form
bur:utsIdAmi,2899: Verb form
bur:utsfjAmi,2902: Verb form
bur:utsmayAmi,2904: Verb form
bur:udAvahAmi,2942: Verb form
bur:udAharAmi,2945: Verb form
bur:uditvA,2947: Verb form
bur:udIkze,2948: Verb form
bur:udore,2950: Verb form
bur:udemi,2954: Verb form
bur:udgacCAni,2955: Verb form
bur:udgAyAmi,2958: Verb form
bur:udgFRAmi,2961: Verb form
bur:udGarzAmi,2966: Verb form
bur:udGAwayAmi,2968: Verb form
bur:udGozayAmi,2970: Verb form
bur:uddiSAmi,2977: Verb form
bur:uddIpayAmi,2979: Verb form
bur:udDanmi,2985: Verb form
bur:udDarAmi,2986: Verb form
bur:udDUnomi,2992: Verb form
bur:udBAmi,2997: Verb form
bur:udBAvayAmi,2998: Verb form
bur:udBAsayAmi,2999: Verb form
bur:udBramAmi,3002: Verb form
bur:udya,3003: Verb form
bur:udyacCe,3005: Verb form
bur:udyAmi,3007: Verb form
bur:udyuYje,3008: Verb form
bur:udricye,3012: Verb form
bur:udvapAmi,3014: Verb form
bur:udvamAmi,3015: Verb form
bur:udvarAmi,3016: Verb form
bur:udvarte,3018: Verb form
bur:udvahAmi,3022: Verb form
bur:udvASye,3025: Verb form
bur:udvijAmi,3028: Verb form
bur:udvIkze,3029: Verb form
bur:udvIje,3030: Verb form
bur:udvfhAmi,3032: Verb form
bur:udvejayAmi,3034: Verb form
bur:udvepe,3035: Verb form
bur:uDrasnAmi,3037: Verb form
bur:unnadAmi,3043: Verb form
bur:unnamAmi,3044: Verb form
bur:unnayAmi,3046: Verb form
bur:unnahyAmi,3047: Verb form
bur:unnAmayAmi,3048: Verb form
bur:unmajjAmi,3052: Verb form
bur:unmaTnAmi,3054: Verb form
bur:unmAdyAmi,3059: Verb form
bur:unmizAmi,3061: Verb form
bur:unmIlAmi,3062: Verb form
bur:unmuYcAmi,3065: Verb form
bur:unmUlayAmi,3066: Verb form
bur:upakaromi,3071: Verb form
bur:upakalpe,3072: Verb form
bur:upakUjAmi,3076: Verb form
bur:upakrIRAmi,3082: Verb form
bur:upagacCAmi,3085: Verb form
bur:upagAyAmi,3086: Verb form
bur:upagUhAmi,3088: Verb form
bur:upagfhRAmi,3089: Verb form
bur:upacarAmi,3094: Verb form
bur:upacinomi,3097: Verb form
bur:upajagmivas,3099: Verb form
bur:upajalpAmi,3101: Verb form
bur:upajAye,3103: Verb form
bur:upajIvAmi,3105: Verb form
bur:upatapAmi,3108: Verb form
bur:upatizWAmi,3109: Verb form
bur:upadadAmi,3111: Verb form
bur:upadaDAmi,3112: Verb form
bur:upadarSayAmi,3113: Verb form
bur:upadasyAmi,3114: Verb form
