bur:cIv,6684: Root
bur:cukk,6696: Root
bur:cuw,6709: Root
bur:cuw,6710: Root
bur:cuww,6711: Root
bur:cuq,6712: Root
bur:cuR,6714: Root
bur:cuRw,6715: Root
bur:cuRw,6716: Root
bur:cud,6720: Root
bur:cup,6723: Root
bur:cup,6724: Root
bur:cub,6725: Root
bur:cur,6729: Root
bur:cur,6730: Root
bur:cul,6734: Root
bur:cull,6737: Root
bur:cUR,6747: Root
bur:cUrR,6750: Root
bur:cUz,6758: Root
bur:cft,6760: Root
bur:cft,6761: Root
bur:cfp,6762: Root
bur:cel,6787: Root
bur:cezw,6789: Root
bur:cyu,6828: Root
bur:cyu,6829: Root
bur:cyut,6830: Root
bur:cyus,6834: Root
bur:Cad,6848: Root
bur:Cad,6849: Root
bur:Cad,6850: Root
bur:Cand,6856: Root
bur:Cand,6857: Root
bur:Cam,6862: Root
bur:Camp,6864: Root
bur:Card,6865: Root
bur:Caz,6872: Root
bur:Cid,6891: Root
bur:Cuw,6901: Root
bur:Cup,6903: Root
bur:Cur,6905: Root
bur:Cfd,6909: Root
bur:Cfd,6910: Root
bur:Cfp,6911: Root
bur:Co,6920: Root
bur:Cyu,6924: Root
bur:jaj,6972: Root
bur:jaw,6982: Root
bur:jan,6998: Root
bur:jap,7032: Root
bur:jaB,7034: Root
bur:jaB,7035: Root
bur:jarc,7076: Root
bur:jarj,7077: Root
bur:jal,7088: Root
bur:jal,7089: Root
bur:jal,7090: Root
bur:jalp,7092: Root
bur:jaz,7103: Root
bur:jas,7104: Root
bur:jas,7105: Root
bur:jas,7106: Root
bur:jaMs,7125: Root
bur:ji,7207: Root
bur:jinv,7262: Root
bur:jim,7263: Root
bur:jiz,7268: Root
bur:jIv,7299: Root
bur:ju,7323: Root
bur:juNg,7335: Root
bur:juq,7340: Root
bur:juq,7341: Root
bur:jut,7342: Root
bur:jun,7343: Root
bur:jurv,7346: Root
bur:juz,7347: Root
bur:jUr,7369: Root
bur:jUz,7374: Root
bur:jf,7377: Root
bur:jfB,7378: Root
bur:jF,7382: Root
bur:jF,7383: Root
bur:jez,7401: Root
bur:jeh,7404: Root
bur:jE,7410: Root
bur:jYA,7438: Root
bur:jyA,7447: Root
bur:jyu,7452: Root
bur:jyut,7453: Root
bur:jri,7469: Root
bur:jri,7470: Root
bur:jvar,7471: Root
bur:jval,7473: Root
bur:Jaw,7481: Root
bur:Jam,7485: Root
bur:Jaz,7501: Root
bur:Ju,7518: Root
bur:JF,7522: Root
bur:Jyu,7525: Root
bur:waNk,7533: Root
bur:wal,7544: Root
bur:wik,7547: Root
bur:wip,7549: Root
bur:wIk,7550: Root
bur:wOk,7556: Root
bur:wval,7557: Root
bur:qap,7563: Root
bur:qamb,7568: Root
bur:qamB,7569: Root
bur:qip,7583: Root
bur:qip,7584: Root
bur:qimp,7586: Root
bur:qimB,7590: Root
bur:qI,7592: Root
bur:qumB,7596: Root
bur:QOk,7607: Root
bur:tak,7612: Root
bur:takz,7619: Root
bur:taNk,7625: Root
bur:taNg,7628: Root
bur:taYc,7630: Root
bur:taYc,7631: Root
bur:taYj,7632: Root
bur:taw,7633: Root
bur:taw,7634: Root
bur:taq,7636: Root
bur:taRq,7640: Root
bur:tan,7676: Root
bur:tan,7677: Root
bur:tantr,7687: Root
bur:tap,7697: Root
bur:tam,7713: Root
bur:tamb,7736: Root
bur:tay,7738: Root
bur:tark,7770: Root
bur:tark,7771: Root
bur:tarj,7778: Root
bur:tard,7788: Root
bur:tarb,7792: Root
bur:tal,7798: Root
bur:tas,7816: Root
bur:taMs,7830: Root
bur:tik,7910: Root
bur:tik,7911: Root
bur:tig,7913: Root
bur:tij,7916: Root
bur:tip,7947: Root
bur:tim,7948: Root
bur:tir,7953: Root
bur:til,7963: Root
bur:til,7964: Root
bur:till,7970: Root
bur:tIk,7987: Root
bur:tIm,7989: Root
bur:tIr,7990: Root
bur:tIv,7995: Root
bur:tuj,8004: Root
bur:tuj,8005: Root
bur:tuYj,8006: Root
bur:tuYj,8007: Root
bur:tuw,8008: Root
bur:tuq,8010: Root
bur:tuqq,8011: Root
bur:tuR,8012: Root
bur:tuRq,8014: Root
bur:tutT,8021: Root
bur:tud,8023: Root
bur:tund,8024: Root
bur:tup,8030: Root
bur:tumb,8038: Root
bur:tur,8042: Root
bur:turv,8052: Root
bur:tul,8053: Root
bur:tuz,8062: Root
bur:tus,8076: Root
bur:tuh,8080: Root
bur:tUR,8082: Root
bur:tUr,8085: Root
bur:tUl,8092: Root
bur:tUz,8096: Root
bur:tfkz,8099: Root
bur:tfR,8103: Root
bur:tfd,8106: Root
bur:tfp,8107: Root
bur:tfP,8115: Root
bur:tfmp,8118: Root
bur:tfz,8119: Root
bur:tfh,8126: Root
bur:tfMh,8127: Root
bur:tF,8128: Root
bur:tej,8131: Root
bur:tep,8145: Root
bur:tev,8148: Root
bur:toq,8164: Root
bur:tyaj,8182: Root
bur:traNk,8189: Root
bur:traNg,8190: Root
bur:trad,8192: Root
bur:trap,8193: Root
bur:tras,8200: Root
bur:tras,8201: Root
bur:traMs,8205: Root
bur:triNK,8231: Root
bur:truw,8309: Root
bur:trup,8312: Root
bur:truP,8313: Root
bur:trump,8314: Root
bur:trE,8317: Root
bur:trOk,8328: Root
bur:tvakz,8337: Root
bur:tvakz,8338: Root
bur:tvaNg,8341: Root
bur:tvac,8343: Root
bur:tvaYc,8345: Root
bur:tvar,8348: Root
bur:tviz,8354: Root
bur:tsar,8357: Root
bur:Taq,8361: Root
bur:TuD,8362: Root
bur:Turv,8363: Root
