pui:अकारादिक्षकारान्तवर्णमूर्ति,11:अकारादिक्षकारान्तवर्णमूर्ति:n:र्ति
acc:दशाध्यायी,9778:दशाध्यायी:n:शाध्
acc:दशावतारमूर्तिस्तोत्र,9787:दशावतारमूर्तिस्तोत्र:n:र्ति
pw:दातोस्,49609:दातोस्:n:तोस्
bur:दाध्वर्ये,8581:दाध्वर्ये:n:र्ये
bur:दिधीषामि,8709:दिधीषामि:n:धीष्
mw:दिधीषु,92121:दिधीषु:n:धीष्
pw:दिवोदासेश्वर,50351:दिवोदासेश्वर:n:सेश्
acc:दुर्गामाहात्म्यबीजानि,10357:दुर्गामाहात्म्यबीजानि:n:अबी
mw:दुवो,94740:दुवो:n:उवो
vcp:दौष्यन्त्य,26319:दौष्यन्त्य:n:औष्य्
mw:द्वासप्ततीष्टक,98196.1:द्वासप्ततीष्टक:n:तीष्
skd:द्वीपी,17525:द्वीपी:n:ईपी
bhs:द्वीहिक,7646:द्वीहिक:n:वीह्
mw:धार्तेयी,101132:धार्तेयी:n:र्ते
vcp:ध्माङ्क्षोली,27594:ध्माङ्क्षोली:n:षोल्
acc:नयनामयवर्ति,44231:नयनामयवर्ति:n:र्ति
sch:नाकिवधू,16528:नाकिवधू:n:किव्
pui:नागेयस्,7026:नागेयस्:n:आगे
mw:नागेश्वरी,105198:नागेश्वरी:n:आगे
pui:नाडायनीय,7032:नाडायनीय:n:आडा
ccs:निःसीसन्,12654:निःसीसन्:n:ःसी
bur:निःस्त्वन,10221:निःस्त्वन:n:ःस्त्
mw:नित्यर्तु,108394:नित्यर्तु:n:र्तु
bhs:निन्दिय,8264:निन्दिय:n:दिय्
acc:निम्बादित्यव्रतसिद्धान्तज्योत्स्ना,44408:निम्बादित्यव्रतसिद्धान्तज्योत्स्ना:n:बाद्
acc:निम्बार्ककुलकीर्तिप्रकाशिका,44411:निम्बार्ककुलकीर्तिप्रकाशिका:n:र्ति
pwg:निर्गौर्व,39396:निर्गौर्व:n:र्गौ
bur:निर्वर्ते,10024:निर्वर्ते:n:र्ते
gra:नृजीत्,5064:नृजीत्:n:जीत्
mw:नैकद्रव्योच्चयवत्,102701:नैकद्रव्योच्चयवत्:n:योच्
pw:नैकिनी,61178:नैकिनी:n:ऐकि
acc:न्यायामालावैयासिकी,34255:न्यायामालावैयासिकी:n:आवै
vcp:पञ्चसिद्धीषधिक,30173:पञ्चसिद्धीषधिक:n:धीष्
bhs:परापृष्ठीकरण,8931:परापृष्ठीकरण:n:ठीक्
mw:परिनिःस्तन्,117812:परिनिःस्तन्:n:ःस्त्
bur:परिवर्ते,10685:परिवर्ते:n:र्ते
mw:परिह्णुत,119202:परिह्णुत:n:ह्णु
bur:पर्यवर्ते,10842:पर्यवर्ते:n:र्ते
mw:पर्यूर्णु,119912:पर्यूर्णु:n:र्यू
pw:पर्येतवे,64851:पर्येतवे:n:र्ये
bhs:पश्चाच्छिराशयन,9329:पश्चाच्छिराशयन:n:छिर्
vcp:पारितीषिक,31842:पारितीषिक:n:तीष्
sch:पारिहीणिक,18397:पारिहीणिक:n:ईणि
bhs:पिण्डोपधान,9522:पिण्डोपधान:n:डोप्
gra:पुरःस्तातृ,5534:पुरःस्तातृ:n:ःस्त्
vcp:पूर्वोत्तरा,33065:पूर्वोत्तरा:n:र्वो
mw:पूर्वोत्तरे,128240:पूर्वोत्तरे:n:र्वो
bur:प्रतिनिवर्ते,11604:प्रतिनिवर्ते:n:र्ते
bur:प्रतिमोदे,11643:प्रतिमोदे:n:ओदे
bur:प्रतिवर्ते,11664:प्रतिवर्ते:n:र्ते
bur:प्रतीषिषामि,11745:प्रतीषिषामि:n:तीष्
acc:प्रथमचक्रवर्तिलक्षणक्रोड,14117:प्रथमचक्रवर्तिलक्षणक्रोड:n:र्ति
acc:प्रथमचक्रवर्तिलक्षणविवेचन,14119:प्रथमचक्रवर्तिलक्षणविवेचन:n:र्ति
mw:प्रपन्नार्तिहर,135135:प्रपन्नार्तिहर:n:र्ति
ap90:प्रभ्रांशेत,20509:प्रभ्रांशेत:n:शेत्
bur:प्रवर्ते,12008:प्रवर्ते:n:र्ते
acc:प्रश्नादर्श,34846:प्रश्नादर्श:n:श्ना
acc:प्रश्नामृत,34847:प्रश्नामृत:n:श्ना
acc:प्रश्नार्क,34848:प्रश्नार्क:n:श्ना
inm:प्रातीपीय,8625:प्रातीपीय:n:ईपी
yat:प्राथ्य,26576:प्राथ्य:n:आथ्य्
mw:प्राप्तर्तु,140069:प्राप्तर्तु:n:र्तु
sch:प्रावर्तिम,19800:प्रावर्तिम:n:र्ति
bhs:प्रीतिसौमनस्यजात,10759:प्रीतिसौमनस्यजात:n:इसौ
mw:प्लोक्,141579.1:प्लोक्:n:प्लो
bhs:प्लोष्ट,10790:प्लोष्ट:n:प्लो
sch:प्लोष्टर्,19905:प्लोष्टर्:n:प्लो
vcp:फगुन,35029:फगुन:n:फग्
vcp:बहुबल्ली,35418:बहुबल्ली:n:हुब्
bhs:बहुबुद्धसूत्र,10901:बहुबुद्धसूत्र:n:हुब्
pui:बादीय,8993:बादीय:n:बाद्
