bhs:अकम्पिय,14:अकम्पिय:n:पिय्
acc:कालीकुलक्रम,4039:कालीकुलक्रम:n:ईकु
acc:कालीकुलबलि,4040:कालीकुलबलि:n:ईकु
acc:कालीकुलसर्वस्वे,42588:कालीकुलसर्वस्वे:n:ईकु
acc:कालीकुलसहस्रनामन्,39629:कालीकुलसहस्रनामन्:n:ईकु
acc:कालीतत्त्वामृत,4045:कालीतत्त्वामृत:n:लीत्
acc:कालीसपर्यास्तवन,39635:कालीसपर्यास्तवन:n:लीस्
acc:कालीसर्वस्वसंपुट,42599:कालीसर्वस्वसंपुट:n:लीस्
acc:कालीसर्वस्वे,39636:कालीसर्वस्वे:n:लीस्
sch:कालोरगाद्रि,10548:कालोरगाद्रि:n:लोर्
pwg:कासृकायन,17122:कासृकायन:n:आसृ
acc:कितवोल्लास,32196:कितवोल्लास:n:वोल्,ओल्ल्
pw:किरातकाव्यदुर्घट,27934:किरातकाव्यदुर्घट:n:उर्घ्
mw:किशोरी,50640:किशोरी:n:ओरी
mw:कुक्षिगतीकृ,51394:कुक्षिगतीकृ:n:षिग्
ccs:कुचुमशयन,5180:कुचुमशयन:n:उचु
acc:कुमारीकवचोल्लास,4388:कुमारीकवचोल्लास:n:ओल्ल्
bhs:कूहक,5102:कूहक:n:कूह्
mw:कृष्णभट्टी,55347:कृष्णभट्टी:n:ट्टी
sch:कृष्णाजाजी,11249:कृष्णाजाजी:n:जाज्
sch:कैकषेय,11334:कैकषेय:n:अषे
acc:कोटीश्वरीव्रतकथा,5098:कोटीश्वरीव्रतकथा:n:टीश्
sch:कोल्लापुर,11407:कोल्लापुर:n:ओल्ल्
ccs:क्रीदामुद्,5579:क्रीदामुद्:n:ईदा
pw:क्रोडिन्,32013:क्रोडिन्:n:ओडि
bhs:क्रोड्य,5319:क्रोड्य:n:ओड्य्
bhs:क्रोशिक,5323:क्रोशिक:n:ओशि
shs:क्लीतकिक,12137:क्लीतकिक:n:लीत्
acc:क्षितिवंशावलीचरित,5295:क्षितिवंशावलीचरित:n:लीच्
pw:क्षुद्रघाली,32746:क्षुद्रघाली:n:घाल्
pw:खद्योताय्,33440:खद्योताय्:n:ओता
mw:खाध्वनीन,60814.1:खाध्वनीन:n:खाध्
pw:खालिय,33800:खालिय:n:लिय्
pw:खुलुङ्गिका,33867:खुलुङ्गिका:n:खुल्
vcp:खेटितान,16627:खेटितान:n:एटि
ap90:गंगीभूत,12229:गंगीभूत:n:गीभ्
pw:गड्यालक,34173:गड्यालक:n:ड्या,अड्य्
skd:गणरूपी,10392:गणरूपी:n:ऊपी
sch:गण्डिराकोटिता,12061:गण्डिराकोटिता:n:डिर्
acc:गरुडाचलमाहात्म्य,5833:गरुडाचलमाहात्म्य:n:डाच्
vcp:गालोडि,17470:गालोडि:n:ओडि
bhs:गिरिवल्गुसमागम,5729:गिरिवल्गुसमागम:n:गुस्
pgn:गुणेकाग्रहारग्राम,398:गुणेकाग्रहारग्राम:n:उणे
mw:गेहे,66840:गेहे:n:एहे
acc:गोचरणफल,6216:गोचरणफल:n:णफ्
acc:गोचाराध्याय,6219:गोचाराध्याय:n:ओचा
acc:गौरचन्द्रस्याष्टकाललीलास्मरणदशक,43214:गौरचन्द्रस्याष्टकाललीलास्मरणदशक:n:याष्
bhs:घोररूपी,5983:घोररूपी:n:ऊपी
bhs:घोषिलाराम,5992:घोषिलाराम:n:षिल्
mw:चकृवत्,70310:चकृवत्:n:कृव्
mw:चकोरी,70311:चकोरी:n:ओरी
acc:चण्डीकुचपञ्चाशिका,32821:चण्डीकुचपञ्चाशिका:n:ईकु
sch:चतुर्योगिनीसंपुट,12978:चतुर्योगिनीसंपुट:n:नीस्
acc:चरणाकृतिचिह्नादि,43349:चरणाकृतिचिह्नादि:n:ह्ना
bur:चाचल्मि,6509:चाचल्मि:n:चाच्
shs:चित्रन्नेत्रा,15168:चित्रन्नेत्रा:n:न्ने
mw:चिलिचीम,74363:चिलिचीम:n:इची
sch:चिलीचिम,13358:चिलीचिम:n:लीच्
bhs:चुलुचुलायति,6316:चुलुचुलायति:n:उचु
acc:चैतन्याष्टक,7493:चैतन्याष्टक:n:याष्
acc:चैतन्याष्टोत्तरशतनामन्,7494:चैतन्याष्टोत्तरशतनामन्:n:याष्
acc:चैतन्याष्टोत्तरशतनामस्तोत्र,43427:चैतन्याष्टोत्तरशतनामस्तोत्र:n:याष्
mw:छन्ने,75514:छन्ने:n:न्ने
acc:छागयाज्ञिकचक्रचूडाचिन्तामणि,43448:छागयाज्ञिकचक्रचूडाचिन्तामणि:n:डाच्
vcp:छेकापह्नुति,20393:छेकापह्नुति:n:ह्नु
mci:जमदग्नेर्,1914:जमदग्नेर्:n:नेर्
vcp:जलोरगा,20985:जलोरगा:n:लोर्
bur:जाजक्षे,7148:जाजक्षे:n:जाज्
mw:जाजलायनि,78512:जाजलायनि:n:जाज्
bur:जाज्यामि,7153:जाज्यामि:n:जाज्
bur:जाज्वल्मि,7154:जाज्वल्मि:n:जाज्
acc:जातकपद्धतिकल्पवल्ल्युदाहरण,43532:जातकपद्धतिकल्पवल्ल्युदाहरण:n:ल्यु,ल्ल्य्
acc:ज्वालावलीतन्त्र,8423:ज्वालावलीतन्त्र:n:लीत्
