acc:चण्डीस्तोत्रान्तर्गतमूर्तिरहस्यटीका,6953:चण्डीस्तोत्रान्तर्गतमूर्तिरहस्यटीका:n:ईस्त्
acc:चन्द्रप्रभीय,7095:चन्द्रप्रभीय:n:भीय्
pe:चन्द्रहर्ता,1437:चन्द्रहर्ता:n:र्ता
acc:चन्नबसवेश्वरस्वामिन्,7160:चन्नबसवेश्वरस्वामिन्:n:बस्
bur:चरिकरीमि,6448:चरिकरीमि:n:ईमि
bur:चरीकररीमि,6453:चरीकररीमि:n:ईमि
bur:चर्करीमि,6459:चर्करीमि:n:ईमि
pw:चिन्दुनृत्य,40213:चिन्दुनृत्य:n:उनृ
bur:चेक्षयीमि,6770:चेक्षयीमि:n:ईमि
skd:छागभोजी,12949:छागभोजी:n:ओजी
mw:जानोवादिक,78854:जानोवादिक:n:नोव्
bur:जिग्लासामि,7228:जिग्लासामि:n:इग्ल्
bur:जेजयीमि,7390:जेजयीमि:n:ईमि,जेज्
bur:ज्ञगिति,7434:ज्ञगिति:n:ञग्
pwg:ज्ञानर्पिभास्कराचार्य,27879:ज्ञानर्पिभास्कराचार्य:n:पिभ्
acc:ज्येष्ठाकनिष्ठामहालक्ष्मीपूजा,8296:ज्येष्ठाकनिष्ठामहालक्ष्मीपूजा:n:ईपू
acc:ज्येष्ठाकनिष्ठाव्रत,8297:ज्येष्ठाकनिष्ठाव्रत:n:ठाव्
cae:डुडुमडुण्डुभ,11719:डुडुमडुण्डुभ:n:डुड्
acc:तडागादिप्रतिष्ठापद्धति,8486:तडागादिप्रतिष्ठापद्धति:n:ठाप्
acc:तडागादिप्रतिष्ठाविधि,8487:तडागादिप्रतिष्ठाविधि:n:ठाव्
bhs:तनुकीभूत,6835:तनुकीभूत:n:कीभ्
pw:तार्तीयिक,45508:तार्तीयिक:n:र्ती
bur:तिष्ठासामि,7979:तिष्ठासामि:n:ठास्
acc:त्रिपुरसुन्दरीस्तुतिकाव्य,9311:त्रिपुरसुन्दरीस्तुतिकाव्य:n:ईस्त्
mw:त्रिविषूक,88264.1:त्रिविषूक:n:षूक्
pwg:त्रुट्यवयब,31267:त्रुट्यवयब:n:उट्य्
acc:दर्शपौर्णमासौ,43918:दर्शपौर्णमासौ:n:आसौ
pw:दशकण्ठाय्,49239:दशकण्ठाय्:n:ठाय्
mw:दशरथयज्ञारम्भ,90931.40:दशरथयज्ञारम्भ:n:ञार्
acc:दाशरथीयतन्त्र,9936:दाशरथीयतन्त्र:n:थीय्
cae:दीध्यत्,13795:दीध्यत्:n:ईध्य्
md:दुःखयितृ,9382:दुःखयितृ:n:खय्
bhs:दुःखापयति,7355:दुःखापयति:n:ःखा
pwg:दुबन्यसद्,33871:दुबन्यसद्:n:दुब्
acc:दुर्वासौपपुराण,10164:दुर्वासौपपुराण:n:आसौ
acc:दुष्टजलाशयप्रतिष्ठाविधि,44036:दुष्टजलाशयप्रतिष्ठाविधि:n:ठाव्
sch:दुष्ठुलारोचन,15562:दुष्ठुलारोचन:n:ठुल्
acc:देवप्रतिष्ठावापीकूपतडागोत्सर्गविधि,33703:देवप्रतिष्ठावापीकूपतडागोत्सर्गविधि:n:ठाव्
pwg:दैक्ष्य,76198:दैक्ष्य:n:दैक्
bhs:दौर्मनस्यित,7568:दौर्मनस्यित:n:स्यि
ccs:द्वीत्र,10732:द्वीत्र:n:ईत्र्
bhs:धर्मधातुतलभेदज्ञानाभिज्ञाराज,7752:धर्मधातुतलभेदज्ञानाभिज्ञाराज:n:ञार्
bhs:धर्ममेघविघुष्टकीर्तिराज,7814:धर्ममेघविघुष्टकीर्तिराज:n:इघु
bhs:धुर्धूरक,7943:धुर्धूरक:n:र्धू
sch:धूलीकदम्बायते,16212:धूलीकदम्बायते:n:बाय्
shs:नत्युह,20994:नत्युह:n:युह्
sch:नर्तावनी,16428:नर्तावनी:n:र्ता
acc:नवमूर्तिप्रतिष्ठाविधि,11248:नवमूर्तिप्रतिष्ठाविधि:n:ठाव्
acc:नह्नीदत्त,11308:नह्नीदत्त:n:ह्नी
mw:नागनासोरू,105026:नागनासोरू:n:सोर्
acc:नागार्जुनोविद्या,44303:नागार्जुनोविद्या:n:नोव्
stc:नातिरमणियता,11466:नातिरमणियता:n:णिय्
pw:नाभानेदिष्ठीय,57846:नाभानेदिष्ठीय:n:ठीय्
yat:निःखादु,21052:निःखादु:n:इःख्,ःखा
pw:निबिडी,58687:निबिडी:n:बिड्
bur:निवर्तामि,10066:निवर्तामि:n:र्ता
sch:निष्कण्टकीभू,17104:निष्कण्टकीभू:n:कीभ्
mw:निष्कामषीभू,107471:निष्कामषीभू:n:षीभ्
bur:निष्टीव,10150:निष्टीव:n:टीव्
pui:निष्टीवी,7273:निष्टीवी:n:टीव्
ccs:निसिसध्,12619:निसिसध्:n:सिस्
bur:नुनुत्सामि,10273:नुनुत्सामि:n:उनु
bur:नेनिजीमि,10293:नेनिजीमि:n:ईमि
bhs:नेला,8667:नेला:n:नेल्
sch:नैजामषाह,17339:नैजामषाह:n:नैज्,ऐजा
pui:नैष्ठीय,7383:नैष्ठीय:n:ठीय्
ccs:पचचधा,13021:पचचधा:n:चध्
acc:पञ्चधापुत्रदोषनिवारणविधि,44552:पञ्चधापुत्रदोषनिवारणविधि:n:चध्
pui:पञ्चधाराशिक्षस्,7423:पञ्चधाराशिक्षस्:n:चध्
shs:पदष्टीव,23126:पदष्टीव:n:टीव्
bhs:परिकुद्दालेति,8963:परिकुद्दालेति:n:लेत्
pui:परिक्षेप्तापकञ्चुक,7619:परिक्षेप्तापकञ्चुक:n:एप्त्
pw:परितंसयध्यै,63836:परितंसयध्यै:n:ध्यै
bur:परिवर्धे,10686:परिवर्धे:n:र्धे
pw:परिव्रढय्,64278:परिव्रढय्:n:ढय्
bur:परिष्ठापयामि,10743:परिष्ठापयामि:n:ठाप्
bur:परिसङ्खयामि,10746:परिसङ्खयामि:n:खय्
mw:पर्युद्भृत,119875:पर्युद्भृत:n:द्भृ
sch:पर्युषणाविचारबृहदवचूर्णि,18106:पर्युषणाविचारबृहदवचूर्णि:n:अबृ
mw:पवित्रारोपणपुत्रदैकादशी,120476:पवित्रारोपणपुत्रदैकादशी:n:दैक्
mw:पश्चार्धे,120697:पश्चार्धे:n:र्धे
bhs:पश्यिन्,9338:पश्यिन्:n:श्यि
shs:पाप्नान्,24500:पाप्नान्:n:प्ना
mw:पारसीप्रकोश,122612.1:पारसीप्रकोश:n:सीप्
sch:पुराधिष्ठायिका,18708:पुराधिष्ठायिका:n:ठाय्
bur:प्रकर्तामि,11395:प्रकर्तामि:n:र्ता
ccs:प्रकशेतर,15107:प्रकशेतर:n:शेत्
mw:प्रणाडिकया,131121:प्रणाडिकया:n:णाड्
mw:प्रणाड्या,131121.2:प्रणाड्या:n:णाड्
mw:प्रतिनिःसृष्ट,132446:प्रतिनिःसृष्ट:n:ःसृ
bhs:प्रतिबिभर्ति,10043:प्रतिबिभर्ति:n:बिभ्
pw:प्रतिबिम्बय्,71271:प्रतिबिम्बय्:n:बय्
pwg:प्रतिविम्बय्,48571:प्रतिविम्बय्:n:बय्
cae:प्रथीयंस्,20625:प्रथीयंस्:n:थीय्
pw:प्रदघोस्,72277:प्रदघोस्:n:घोस्
bur:प्रवर्धे,12009:प्रवर्धे:n:र्धे
bhs:प्रशमसुखाभिज्ञा,10564:प्रशमसुखाभिज्ञा:n:खाभ्
pwg:प्रष्यर्ष,48924:प्रष्यर्ष:n:अष्य्
bur:प्रस्तवीमि,12113:प्रस्तवीमि:n:ईमि
mw72:प्रहरणिय,33388:प्रहरणिय:n:णिय्
ap90:प्रार्थीयतृ,21216:प्रार्थीयतृ:n:थीय्
sch:फेनावर्तायते,19957:फेनावर्तायते:n:र्ता
pw:बसवराज,76144:बसवराज:n:बस्
acc:बसवराजीय,14868:बसवराजीय:n:बस्
acc:बसवराजेन्द्र,14869:बसवराजेन्द्र:n:बस्
ccs:बस्ताजिन्,16569:बस्ताजिन्:n:बस्
yat:बस्नान्वित,27177:बस्नान्वित:n:बस्
pw:बस्वराज,76160:बस्वराज:n:बस्
bur:बाभामि,12492:बाभामि:n:बाभ्
bur:बाभ्यस्मि,12494:बाभ्यस्मि:n:बाभ्
mw:बाभ्रव्या,144422:बाभ्रव्या:n:बाभ्
pui:बालपाठ्यानि,9004:बालपाठ्यानि:n:ठ्या
mw:बालोपचरणिय,144708:बालोपचरणिय:n:णिय्
mw:बिडाला,145111:बिडाला:n:बिड्
pe:बिडालोपाख्यान,1231:बिडालोपाख्यान:n:बिड्
bop:बिभक्षयिष्,5724:बिभक्षयिष्:n:बिभ्
bur:बिभक्षामि,12523:बिभक्षामि:n:बिभ्
bur:बिभङ्क्षामि,12524:बिभङ्क्षामि:n:बिभ्
bhs:बिभत्स,10949:बिभत्स:n:बिभ्
bur:बिभत्सामि,12525:बिभत्सामि:n:बिभ्
bur:बिभरिषामि,12526:बिभरिषामि:n:बिभ्
bur:बिभाषिषे,12527:बिभाषिषे:n:बिभ्
bur:बिभासामि,12528:बिभासामि:n:बिभ्
bur:बिभासिषे,12529:बिभासिषे:n:बिभ्
bur:बिभिवस्,12531:बिभिवस्:n:बिभ्
bur:बिभीषामि,12532:बिभीषामि:n:बिभ्
ccs:बिभेत्यर्थ,16749:बिभेत्यर्थ:n:बिभ्
bur:बिभेद,12533:बिभेद:n:बिभ्
bur:बिभ्यसिषे,12534:बिभ्यसिषे:n:बिभ्
bur:बिभ्रंशिषामि,12536:बिभ्रंशिषामि:n:बिभ्
bur:बिभ्रमिषामि,12535:बिभ्रमिषामि:n:बिभ्
bur:बिभ्राजिषे,12537:बिभ्राजिषे:n:बिभ्
mw72:बिभ्राण,35717:बिभ्राण:n:बिभ्
bur:बिभ्राय,12538:बिभ्राय:n:बिभ्
