md:अकस्मादागन्तु,65:अकस्मादागन्तु:n:दाग्
acc:उपलक्षितवैशिथ्यज्ञानहेतुवाद,2705:उपलक्षितवैशिथ्यज्ञानहेतुवाद:n:तुव्
mw:उपसद्धोम,36107.1:उपसद्धोम:n:द्धो
sch:उपासकाध्ययन,8751:उपासकाध्ययन:n:काध्
bhs:उपाहिण्डते,3884:उपाहिण्डते:n:डत्
acc:उभयव्रतपूजाविधि,31881:उभयव्रतपूजाविधि:n:जाव्
bhs:उल्लाट्टयति,3925:उल्लाट्टयति:n:आट्ट्
mw:ऋक्षहरीश्वर,38679:ऋक्षहरीश्वर:n:रीश्
sch:ऋतुगामित्व,28315:ऋतुगामित्व:n:तुग्
bhs:एकदुकाये,4043:एकदुकाये:n:आये
sch:एकरसीकृ,9128:एकरसीकृ:n:सीक्
bhs:एकांसीकृत,4067:एकांसीकृत:n:सीक्
pe:एकादशपूजास्थान,2258:एकादशपूजास्थान:n:जास्
sch:एवंसुखदुःखप्रतिवेदिन्,9279:एवंसुखदुःखप्रतिवेदिन्:n:खप्
cae:ऐकशुत्य,6620:ऐकशुत्य:n:शुत्
pgn:ऐरावतगोराज्य,359:ऐरावतगोराज्य:n:गोर्
acc:ओडाशङ्कर,3065:ओडाशङ्कर:n:ओडा,डाश्
bhs:ओपुनति,4221:ओपुनति:n:ओपु
sch:औद्धाटिम,28339:औद्धाटिम:n:धाट्
acc:कङ्कालाध्याय,3140:कङ्कालाध्याय:n:लाध्
sch:कटकाधिपति,9507:कटकाधिपति:n:काध्
mw:कटाक्षावेषण,41966:कटाक्षावेषण:n:षाव्
pe:कदलिगर्भा,3044:कदलिगर्भा:n:लिग्
acc:कनकाधारस्तोत्र,3210:कनकाधारस्तोत्र:n:काध्
sch:कनकाम्बुज,9677:कनकाम्बुज:n:बुज्
acc:कनिकभद्र,31965:कनिकभद्र:n:कभ्
pw:कपायी,24180:कपायी:n:आयी
vcp:कपालाधिकरण,11838:कपालाधिकरण:n:लाध्
bhs:कपिष्ठलायन,4448:कपिष्ठलायन:n:ठल्
sch:करटिरिपु,9828:करटिरिपु:n:टिर्
sch:करणेश्वरी,28401:करणेश्वरी:n:णेश्
sch:करसीकरायित,9881:करसीकरायित:n:सीक्
mw:कर्कचन्द्रेश्वरतन्त्र,44636:कर्कचन्द्रेश्वरतन्त्र:n:रेश्
sch:कर्णेश्वर,28413:कर्णेश्वर:n:णेश्
acc:कर्मभ्रष्टोपाख्यान,3373:कर्मभ्रष्टोपाख्यान:n:ष्टो
sch:कलाधिनाथ,10097:कलाधिनाथ:n:लाध्
acc:कलिगजाङ्कुश,3422:कलिगजाङ्कुश:n:लिग्
acc:कवचजगद्रक्षाकर,42449:कवचजगद्रक्षाकर:n:षाक्
acc:कविशाब्दिकभूषण,3593:कविशाब्दिकभूषण:n:कभ्
vei:काण्डाविष,574:काण्डाविष:n:डाव्
acc:कातन्त्रशिक्षासंदोह,32054:कातन्त्रशिक्षासंदोह:n:षास्
acc:कामकेतुग्रामणीकथा,3744:कामकेतुग्रामणीकथा:n:तुग्
pw:कारीरेष्टि,26856:कारीरेष्टि:n:ईरे
acc:कालयोगशास्त्रे,3978:कालयोगशास्त्रे:n:गश्
sch:कालाधिपर,10526:कालाधिपर:n:लाध्
acc:कालिकाककाराद्यष्टोत्तरशत,39624:कालिकाककाराद्यष्टोत्तरशत:n:टोत्,ष्टो
vcp:काव्यार्थापत्ति,13476:काव्यार्थापत्ति:n:र्था
acc:काशीनाथभट्टचित्राम,4162:काशीनाथभट्टचित्राम:n:थभ्
acc:काशीभाष्यामृत,42632:काशीभाष्यामृत:n:शीभ्,ईभा
acc:काशीमुक्तिप्रकाशिका,4203:काशीमुक्तिप्रकाशिका:n:ईमु
mw:काषायी,49985:काषायी:n:आयी
shs:काष्ठाक्षक,10337:काष्ठाक्षक:n:ठाक्
mw:कुकूलाग्नि,51310:कुकूलाग्नि:n:लाग्
sch:कुञ्जरौपवाह्य,28509:कुञ्जरौपवाह्य:n:अरौ
mw:कुट्टकाध्याय,51690:कुट्टकाध्याय:n:काध्
bhs:कुट्मलीभूत,4933:कुट्मलीभूत:n:लीभ्
mw:कुड्मलाग्रदत्,51766:कुड्मलाग्रदत्:n:लाग्
acc:कुमाराष्टोत्तरशतनामावली,4384:कुमाराष्टोत्तरशतनामावली:n:टोत्,ष्टो
sch:कुरङ्गशावनेत्रा,10897:कुरङ्गशावनेत्रा:n:गश्
vcp:कुररोरुता,14210:कुररोरुता:n:रोर्
inm:कुरुकुलाधम,6285:कुरुकुलाधम:n:लाध्
mw:कुर्वद्रूप,52806:कुर्वद्रूप:n:द्रू
inm:कुलिन्दराजावरज,6094:कुलिन्दराजावरज:n:जाव्
