sch:अचन्द्रार्कग्रह,680:अचन्द्रार्कग्रह:n:कग्
skd:योगी,28745:योगी:n:ओगी
acc:रकारादिसहस्रनामन्,18834:रकारादिसहस्रनामन्:n:दिस्
pw:राणायिनीपुत्र,93713:राणायिनीपुत्र:n:ईपु
skd:रोगी,29913:रोगी:n:ओगी
pw:रोमाश्रयकला,95087:रोमाश्रयकला:n:माश्
bhs:लक्षणभूषितगात्र,12902:लक्षणभूषितगात्र:n:णभ्
mw:लक्ष्यलक्षणभाव,180689:लक्ष्यलक्षणभाव:n:णभ्
acc:लालबहादुर्,21078:लालबहादुर्:n:हाद्
sch:लिलङ्घिषु,22927:लिलङ्घिषु:n:घिष्
mw:लोहचुम्बकन्याय,183811.1:लोहचुम्बकन्याय:n:अचु
pw:लौहाभिसारिकप्रयोग,97071:लौहाभिसारिकप्रयोग:n:हाभ्
acc:वरदनारायणभट्टारक,46457:वरदनारायणभट्टारक:n:णभ्
mw:वरोली,187190:वरोली:n:ओली
stc:वर्षीयांस्,17970:वर्षीयांस्:n:र्षी
skd:वर्षीयान्,31457:वर्षीयान्:n:र्षी
stc:वास्तीमाण्डवीपुत्र,18098:वास्तीमाण्डवीपुत्र:n:ईपु
yat:विधेयाविमर्ष,34825:विधेयाविमर्ष:n:एया
wil:विन्ध्याबलीपुत्त्र,35335:विन्ध्याबलीपुत्त्र:n:ईपु
acc:विवाहादिकर्मानुष्ठानपद्धति,46714:विवाहादिकर्मानुष्ठानपद्धति:n:हाद्
bhs:विशोधेय,14250:विशोधेय:n:ओधे
acc:विषयलौकिकप्रत्यक्षकारणभावरहस्य,37141:विषयलौकिकप्रत्यक्षकारणभावरहस्य:n:णभ्
bhs:विस्थापयति,14325:विस्थापयति:n:इस्थ्
wil:वृषशचु,36580:वृषशचु:n:अचु
acc:वेगनाश्यकार्यकारणभावरहस्य,37283:वेगनाश्यकार्यकारणभावरहस्य:n:णभ्
mw:वेदिसम्भवा,206127:वेदिसम्भवा:n:दिस्
mw:वैद्यकग्रन्थपत्त्र,207158:वैद्यकग्रन्थपत्त्र:n:कग्
mw:व्यपगततिलकगात्रता,208721:व्यपगततिलकगात्रता:n:कग्
acc:व्रतशान्तिर्नानाविधा,24223:व्रतशान्तिर्नानाविधा:n:र्ना
gra:शविस्थ,8686:शविस्थ:n:इस्थ्
pui:शाखावती,14250:शाखावती:n:खाव्
skd:शालेया,35457:शालेया:n:एया
mw:शिरीषिणी,217251:शिरीषिणी:n:ईषि
acc:शैवागमाशौचदीपिका,47331:शैवागमाशौचदीपिका:n:माश्
acc:श्रीविद्यागोपालमन्त्र,38114:श्रीविद्यागोपालमन्त्र:n:आगो
stc:श्रेयांस्,20594:श्रेयांस्:n:एया
skd:श्रेयान्,36700:श्रेयान्:n:एया
vcp:सङ्खावत्,44863:सङ्खावत्:n:खाव्
acc:संख्येयाचार्य,26703:संख्येयाचार्य:n:एया
acc:सधुपर्कप्रयोग,16696:सधुपर्कप्रयोग:n:धुप्
acc:संभोगमहादुर्गामन्त्र,38433:संभोगमहादुर्गामन्त्र:n:हाद्
acc:सर्वज्ञसिद्धिप्रकरण,47697:सर्वज्ञसिद्धिप्रकरण:n:ञस्
ben:सर्वर्भूतात्मन्,15874:सर्वर्भूतात्मन्:n:र्भू
bhs:सामभिलषति,16699:सामभिलषति:n:लष्
acc:सामवेदमन्त्रखण्डभाष्य,47767:सामवेदमन्त्रखण्डभाष्य:n:डभ्
pe:सारमेयाशन,6280:सारमेयाशन:n:एया
