acc:अक्षोभ्यतन्त्रे,41695:अक्षोभ्यतन्त्रे:n:ओभ्य्
mw:परिहाप्य,119150:परिहाप्य:n:हाप्
bhs:पर्यधिगच्छति,9246:पर्यधिगच्छति:n:गच्
bhs:पर्यवदापक,9255:पर्यवदापक:n:दाप्
bhs:पर्यवदापन,9256:पर्यवदापन:n:दाप्
bhs:पर्यवदापयति,9257:पर्यवदापयति:n:दाप्
mw:पर्यवदापयितृ,119682:पर्यवदापयितृ:n:दाप्
bur:पर्यश्वसयामि,10843:पर्यश्वसयामि:n:सय्
mw:पाणिपूरान्न,121485:पाणिपूरान्न:n:ऊरा
mw:पातञ्जलसूत्रवृत्तिभाष्यच्छायाव्याख्या,121810:पातञ्जलसूत्रवृत्तिभाष्यच्छायाव्याख्या:n:आष्य्
md:पातोत्पात,11460:पातोत्पात:n:आतो
mw:पारम्पर्योपदेश,122534:पारम्पर्योपदेश:n:योप्
sch:पाहिणी,18452:पाहिणी:n:पाह्
sch:पुण्यपापेक्षितर्,18635:पुण्यपापेक्षितर्:n:आपे
acc:पुराणार्थसंग्रह,44772:पुराणार्थसंग्रह:n:णार्
pw:पैङ्गल्याबाध,69797:पैङ्गल्याबाध:n:आबा,याब्
pwg:प्रचीवल,47876:प्रचीवल:n:अची
bur:प्रजजन्मि,11477:प्रजजन्मि:n:जज्
bhs:प्रज्ञप्तापयति,9891:प्रज्ञप्तापयति:n:प्ता
bhs:प्रतिचिनोति,9966:प्रतिचिनोति:n:नोत्
mw:प्रतिवाते,131823:प्रतिवाते:n:आते
bhs:प्रतिविगच्छति,10100:प्रतिविगच्छति:n:गच्
ccs:प्रत्याभिज्ञा,15497:प्रत्याभिज्ञा:n:याभ्
bhs:प्रदक्षिणार्थ,10326:प्रदक्षिणार्थ:n:णार्
mw:प्रधनोत्तम,134881:प्रधनोत्तम:n:नोत्
yat:प्रमुदितेन्द्रिय,45163:प्रमुदितेन्द्रिय:n:इते
acc:प्रयोगपारिजाते,44912:प्रयोगपारिजाते:n:आते
bhs:प्रविभासयति,10527:प्रविभासयति:n:सय्
bhs:प्रसन्नवदनोत्पलगन्धकूट,10594:प्रसन्नवदनोत्पलगन्धकूट:n:नोत्
ap90:प्रह्रा,21037:प्रह्रा:n:अह्र्
bhs:प्रातिसीमन्तिक,10685:प्रातिसीमन्तिक:n:इसी
yat:प्रायोपविष्ठ,45171:प्रायोपविष्ठ:n:योप्
acc:प्रासादाधिवासन,45018:प्रासादाधिवासन:n:दाध्
mw:प्रियाभिधेय,140654.1:प्रियाभिधेय:n:याभ्
mw:प्रियोपपत्ति,140672:प्रियोपपत्ति:n:योप्
mw:प्रियोपभोग,140673:प्रियोपभोग:n:योप्
ap:प्रोच्छ्रत,24163:प्रोच्छ्रत:n:ओच्छ्
bur:प्रोच्छ्रयामि,12288:प्रोच्छ्रयामि:n:ओच्छ्
mw:प्रोद्वह्,141274:प्रोद्वह्:n:ओद्व्
cae:प्रोध्यत,21567:प्रोध्यत:n:ओध्य्
mw:बन्धाकि,142830:बन्धाकि:n:धाक्
pw:बहुरूपागर्भस्तोत्र,76464:बहुरूपागर्भस्तोत्र:n:पाग्
cae:बहुविधाकर,21957:बहुविधाकर:n:हुव्,धाक्
wil:बहुविलीर्ण,27782:बहुविलीर्ण:n:हुव्
acc:बहुव्रीहिसमासनिरूपण,34965:बहुव्रीहिसमासनिरूपण:n:हुव्
ccs:बह्रतर्षभ,17172:बह्रतर्षभ:n:अह्र्
sch:बाह्यानुवृत्त,20226:बाह्यानुवृत्त:n:ह्या
mw:बाह्यान्त,145088:बाह्यान्त:n:ह्या
mw:बाह्याभ्यन्तर,145090:बाह्याभ्यन्तर:n:ह्या,याभ्
mw:बाह्यार्थ,145092:बाह्यार्थ:n:ह्या
pgn:बुद्धाकक्षेत्र,425:बुद्धाकक्षेत्र:n:धाक्
sch:बुम्बारव,20295:बुम्बारव:n:बार्
bhs:बोध्यङ्गायुष्य,11047:बोध्यङ्गायुष्य:n:ओध्य्
bhs:बोध्यङ्गिक,11048:बोध्यङ्गिक:n:ओध्य्
pui:ब्रह्मतुण्डह्रद,9239:ब्रह्मतुण्डह्रद:n:अह्र्,डह्
mw:ब्रह्मदायोपहारिन्,146765:ब्रह्मदायोपहारिन्:n:योप्
mw:ब्रह्मसूत्रानुभाष्य,147118.50:ब्रह्मसूत्रानुभाष्य:n:आष्य्
acc:भगवत्सिद्धान्तविजयवाद,40588:भगवत्सिद्धान्तविजयवाद:n:त्सि
acc:भगवल्लक्षणार्थप्रकाश,45235:भगवल्लक्षणार्थप्रकाश:n:णार्
pw:भरहेशरवृत्ति,78917:भरहेशरवृत्ति:n:हेश्
mw:भरहेश्वरवृत्ति,148870:भरहेश्वरवृत्ति:n:हेश्
acc:भवदेवशर्मन्न्यायालंकारभट्टाचार्य,15752:भवदेवशर्मन्न्यायालंकारभट्टाचार्य:n:टाच्
acc:भारतामृत,45304:भारतामृत:n:आमृ
ccs:भिक्तिवेदिकाबन्ध,17418:भिक्तिवेदिकाबन्ध:n:काब्
cae:भित्तिवेदिकाबन्ध,22924:भित्तिवेदिकाबन्ध:n:काब्
acc:भीमटकलिञ्जरपति,16183:भीमटकलिञ्जरपति:n:मट्
acc:मण्डपोद्वासनप्रयोग,35400:मण्डपोद्वासनप्रयोग:n:ओद्व्
mw:मदनोत्सुक,155586:मदनोत्सुक:n:नोत्
mw:मदापनय,155427:मदापनय:n:दाप्
pwg:मध्यसिद्धान्तकौमदी,57195:मध्यसिद्धान्तकौमदी:n:अकौ
pw:मन्त्रणार्ह,83086:मन्त्रणार्ह:n:णार्
pui:मन्दकूरी,10186:मन्दकूरी:n:ऊरी
ccs:मन्दष्ठ,18167:मन्दष्ठ:n:दष्
sch:मयूराङ्कि,21256:मयूराङ्कि:n:ऊरा
bhs:मयूराङ्गहस्तक,11592:मयूराङ्गहस्तक:n:ऊरा
acc:मलयालवैद्य,35516:मलयालवैद्य:n:अवै
acc:महत्करभाष्य,17045:महत्करभाष्य:n:आष्य्
pw:महापङ्कि,84513:महापङ्कि:n:हाप्
sch:महापञ्चपातकिन्,21386:महापञ्चपातकिन्:n:हाप्
skd:महापत्रा,26686:महापत्रा:n:हाप्
bhs:महापदेश,11743:महापदेश:n:हाप्
