mw:अकर्मिका,196:अकर्मिका:n:र्मि
acc:वासिष्ठयोगकाण्ड,36879:वासिष्ठयोगकाण्ड:n:ठय्
bur:विबीभयामि,15590:विबीभयामि:n:इबी
mw:विवाहेच्छु,200084:विवाहेच्छु:n:हेच्
vcp:विशुद्धाद्वैत,41839:विशुद्धाद्वैत:n:धाद्
acc:वृन्दावनचन्द्रतर्कालंकारचक्रवर्तिन्,23272:वृन्दावनचन्द्रतर्कालंकारचक्रवर्तिन्:n:र्ति
mw:शिवभुजंगाष्टक,217731.2:शिवभुजंगाष्टक:n:गाष्
acc:शिवाद्यष्टोत्तरशतनांमन्,25357:शिवाद्यष्टोत्तरशतनांमन्:n:ंम
mw:शैलालिब्राह्मन,221202:शैलालिब्राह्मन:n:लिब्
bhs:शोल्लक,15215:शोल्लक:n:शोल्
pgn:संघिल,167:संघिल:n:घिल्
bhs:समपैति,15973:समपैति:n:अपै
bur:सम्वर्ते,18103:सम्वर्ते:n:र्ते
bhs:सर्वरुतसंग्रहणीलिपि,16505:सर्वरुतसंग्रहणीलिपि:n:णील्
ben:साधुशोलत्व,16006:साधुशोलत्व:n:शोल्
bhs:सांमितीय,16717:सांमितीय:n:ंमि
bur:सास्वर्मि,18521:सास्वर्मि:n:र्मि
mw:सिंहपूर्वार्धकायता,243834:सिंहपूर्वार्धकायता:n:आर्ध्
mw:सीलन्ध्र,245217.1:सीलन्ध्र:n:सील्
pw:सुधाद्रव्,126464:सुधाद्रव्:n:धाद्
bhs:सुनिर्मितध्वजप्रदीप,16970:सुनिर्मितध्वजप्रदीप:n:र्मि
vei:सुमित्रवाध्र्यस्व,3617:सुमित्रवाध्र्यस्व:n:आध्र्
bhs:सुविशुद्धधर्मधातुज्ञान,17183:सुविशुद्धधर्मधातुज्ञान:n:तुज्
sch:सूकरघृष्टक,26876:सूकरघृष्टक:n:अघृ
sch:सोमार्धशिरोमणि,26995:सोमार्धशिरोमणि:n:आर्ध्
pw:सोमार्धाय्,129752:सोमार्धाय्:n:आर्ध्
mw:स्थालीबिल्य,255313.1:स्थालीबिल्य:n:ईबि
mw:स्फिग्,256849:स्फिग्:n:फिग्
acc:स्मृतिकौस्तुभे,48016:स्मृतिकौस्तुभे:n:इकौ
acc:हठयोगाधिराज,29358:हठयोगाधिराज:n:ठय्
bhs:हर्मिक,17622:हर्मिक:n:र्मि
