shs:अक्षब्धु,187:अक्षब्धु:n:ब्धु
sch:जालूथ,13892:जालूथ:n:लूथ्
bur:जुजुर्वस्,7337:जुजुर्वस्:n:जुज्
bur:जुजुषिषे,7338:जुजुषिषे:n:जुज्
bur:जेगिल्ये,7384:जेगिल्ये:n:जेग्
bur:जेगेष्मि,7386:जेगेष्मि:n:जेग्
bhs:जेह्रीयते,6659:जेह्रीयते:n:एह्र्
bur:ज्ञटिति,7435:ज्ञटिति:n:ञट्
cae:ज्ञह्वुसुता,11213:ज्ञह्वुसुता:n:ह्वु,वुस्
bhs:ज्ञानार्चिःश्रीसागर,6710:ज्ञानार्चिःश्रीसागर:n:चिः
bhs:ज्वलनार्चिःपर्वतश्रीव्यूह,6749:ज्वलनार्चिःपर्वतश्रीव्यूह:n:चिः
vcp:झढक,21629:झढक:n:झढ्
pwg:झपकेतन,74637:झपकेतन:n:झप्
acc:झय्यटभट्ट,8425:झय्यटभट्ट:n:झय्
bhs:झाषयति,6758:झाषयति:n:झाष्
pwg:झिञ्झिका,74639:झिञ्झिका:n:झिक्
pui:टवर्गमण्डिटाकार,5258:टवर्गमण्डिटाकार:n:डिट्
pw:ठुठुक,43891:ठुठुक:n:ठुठ्
pwg:डडाह,74674:डडाह:n:डड्
acc:डोहर,8454:डोहर:n:डोह्
bur:तात्यज्मि,7852:तात्यज्मि:n:ज्मि
gra:तिग्मभृस्ति,3733:तिग्मभृस्ति:n:भृस्
bur:तित्रप्से,7937:तित्रप्से:n:प्से
acc:तिप्पाभट्ट,40105:तिप्पाभट्ट:n:प्पा
acc:तिरुप्पुट्कुलिमाहात्म्य,9065:तिरुप्पुट्कुलिमाहात्म्य:n:उट्क्
pw:तूथ,46585:तूथ:n:तूथ्
ccs:तेजोयंस्,8841:तेजोयंस्:n:जोय्
ccs:तैक्तिरीयप्रातिशाख्य,8853:तैक्तिरीयप्रातिशाख्य:n:ऐक्त्
ccs:तैक्तिरीयसंहिता,8856:तैक्तिरीयसंहिता:n:ऐक्त्
acc:तैटीकि,9205:तैटीकि:n:ऐटी,तैट्
bur:तोष्टुच्ये,8174:तोष्टुच्ये:n:च्ये
acc:त्त्काप्रत्ययार्थविचार,5214:त्त्काप्रत्ययार्थविचार:n:त्त्क्
acc:त्रिशिखिब्राह्मणोपनिषद्,9417:त्रिशिखिब्राह्मणोपनिषद्:n:खिब्
ccs:त्रैलोव्य,9135:त्रैलोव्य:n:लोव्
vcp:त्र्यशौति,23957:त्र्यशौति:n:शौत्
ccs:त्र्वि,9161:त्र्वि:n:त्र्व्
bhs:थेर,7176:थेर:n:थेर्
acc:दत्तात्रेयगोर्षसंवाद,40155:दत्तात्रेयगोर्षसंवाद:n:ओर्ष्
pw:दधिथाख्य,48776:दधिथाख्य:n:धिथ्,इथा
pui:दन्तकाण्वोशन,5821:दन्तकाण्वोशन:n:वोश्
bhs:दाठिन्,7270:दाठिन्:n:दाठ्
ccs:दुःखोक्तर,9873:दुःखोक्तर:n:खोक्
ccs:दूरेहृश्,10189:दूरेहृश्:n:एहृ,हृश्
ccs:दृढथन्वन्,10216:दृढथन्वन्:n:ढथ्
bur:देभुस्,8967:देभुस्:n:देभ्
acc:देहृण,10414:देहृण:n:एहृ
vcp:दौगर्ह,26286:दौगर्ह:n:दौग्
