vcp:अग्रेदिषिषूपति,428:अग्रेदिषिषूपति:n:षूप्
bur:विशोभे,15842:विशोभे:n:ओभे
acc:विश्वनाथीपद्धति,37101:विश्वनाथीपद्धति:n:थीप्
bhs:विष्ठिहति,14285:विष्ठिहति:n:ठिह्
shs:वैराठ्या,38677:वैराठ्या:n:राठ्
bhs:वैरोचनरत्नपद्मगर्भश्रीचूड,14575:वैरोचनरत्नपद्मगर्भश्रीचूड:n:ईचू
bur:व्येरयामि,16443:व्येरयामि:n:येर्
acc:शत्रूच्चाटनक्रिया,37600:शत्रूच्चाटनक्रिया:n:ऊच्च्
sch:शरव्यीकृत,24846:शरव्यीकृत:n:व्यी
skd:शास्त्रदर्शी,35500:शास्त्रदर्शी:n:र्शी
mw:शिखीन्द्र,216773:शिखीन्द्र:n:इखी
bur:शेशेमि,16981:शेशेमि:n:एशे
pw:शैशवयौनीय,114309:शैशवयौनीय:n:औनी
pui:शोशरेय,14792:शोशरेय:n:शोश्
bur:शोशुष्ये,17019:शोशुष्ये:n:शोश्
acc:श्राद्धषोडशविधि,41396:श्राद्धषोडशविधि:n:धष्
mw:षाण्मास्यी,225538:षाण्मास्यी:n:स्यी
mw:सकृदागामिफल,227812:सकृदागामिफल:n:मिफ्
mw72:सञ्जिगीवस्,48775:सञ्जिगीवस्:n:गीव्
acc:सपशुकैकाहिकचातुर्मास्यप्रायोग,27127:सपशुकैकाहिकचातुर्मास्यप्रायोग:n:उकै
acc:सरस्वतीसूक्तलक्ष्मीसूक्तमहाकालोसूक्त,38450:सरस्वतीसूक्तलक्ष्मीसूक्तमहाकालोसूक्त:n:लोस्
acc:सर्वतोभद्रहोस,27417:सर्वतोभद्रहोस:n:होस्
pui:सव्यी,15660:सव्यी:n:व्यी
bur:साघयामि,18352:साघयामि:n:साघ्
bhs:सिद्धैकवीर,16843:सिद्धैकवीर:n:धैक्
mci:सिन्धोस्,1784:सिन्धोस्:n:धोस्
wil:सुच्छची,42080:सुच्छची:n:छच्
cae:सुदुर्धष,37256:सुदुर्धष:n:धष्
yat:सुदुष्टोष्ठपुट,41898:सुदुष्टोष्ठपुट:n:टोष्
bhs:सुवण्णिन्,17127:सुवण्णिन्:n:ण्णि
bur:सुस्मूर्षे,18894:सुस्मूर्षे:n:स्मू
skd:सूक्ष्मदर्शी,39899:सूक्ष्मदर्शी:n:र्शी
bur:सेषीये,19002:सेषीये:n:ईये
bur:सेषेमि,19005:सेषेमि:n:एषे
ccs:सोमपिथ,28420:सोमपिथ:n:पिथ्
bur:सोषूये,19048:सोषूये:n:ऊये
pui:सौतेय,16823:सौतेय:n:औते
mw:स्नुघ्निका,256466:स्नुघ्निका:n:नुघ्
pw:स्फायत्कैरव्,131534:स्फायत्कैरव्:n:त्कै
acc:स्मार्तोल्लास,41614:स्मार्तोल्लास:n:र्तो
mw:स्मोत्तर,257061.11:स्मोत्तर:n:स्मो
pw:स्वप्नलब्य,132214:स्वप्नलब्य:n:अब्य्
sch:स्वर्गेभमेण्ठ,27312:स्वर्गेभमेण्ठ:n:गेभ्
pui:हाहाहूहूस्,17364:हाहाहूहूस्:n:हूस्
sch:हीरबेर,27597:हीरबेर:n:अबे
acc:हेमप्रभुसूरि,48205:हेमप्रभुसूरि:n:भुस्
