pe:अंशुधनपत्तन,222:अंशुधनपत्तन:n:शुध्
bhs:संगेरी,15570:संगेरी:n:एरी
acc:सनातनतर्काचार्य,47616:सनातनतर्काचार्य:n:र्का
mw:संदेहापनोदन,231507:संदेहापनोदन:n:एहा
mw:संधिच्छेद,231679:संधिच्छेद:n:धिच्
mw:सन्निमित्ते,230346:सन्निमित्ते:n:त्ते
sch:समर्थीकरण,25947:समर्थीकरण:n:र्थी,थीक्
bur:समाप्याये,17740:समाप्याये:n:प्या
bhs:सर्वव्याधिचिकित्सक,16519:सर्वव्याधिचिकित्सक:n:धिच्
mw:सस्रीवृक्ष,239777:सस्रीवृक्ष:n:ईवृ
pw:सहार्थी,123266:सहार्थी:n:र्थी
pw:सार्थी,124534:सार्थी:n:र्थी
acc:सिद्धारिकोष्ठप्रकार,47864:सिद्धारिकोष्ठप्रकार:n:ठप्
sch:सौस्नातिकी,27041:सौस्नातिकी:n:सौस्
skd:स्त्रीपण्योपजीवी,40525:स्त्रीपण्योपजीवी:n:ईवी
shs:स्थाप्यापहरण,45581:स्थाप्यापहरण:n:प्या
mw:स्थाप्याहरण,255552:स्थाप्याहरण:n:प्या
skd:स्नेहा,40776:स्नेहा:n:एहा
sch:स्नेहात्मक,27168:स्नेहात्मक:n:एहा
mw:स्नेहाभ्यक्त,256422:स्नेहाभ्यक्त:n:एहा
pw:स्रद्भू,131838:स्रद्भू:n:द्भू
mw:स्वल्पदेहा,259432:स्वल्पदेहा:n:एहा
pw:स्वल्पीयंस्,132758:स्वल्पीयंस्:n:ल्पी
pui:हलमुल्लुञ्च,17271:हलमुल्लुञ्च:n:ल्लु
mw:हिमोत्पन्न,263116:हिमोत्पन्न:n:मोत्
mw:हेतुहेतुमद्भाव,264044:हेतुहेतुमद्भाव:n:उहे
acc:होरिलशर्मन्,41682:होरिलशर्मन्:n:ओरि
skd:ह्रड,42180:ह्रड:n:रड्
